Champion,Opponent,WinRate (%)
aphelios,Jhin,53.57
aphelios,Jinx,54.21
aphelios,Smolder,52.0
aphelios,Caitlyn,51.47
aphelios,Ashe,55.17
aphelios,Senna,55.17
aphelios,Tristana,57.14
ashe,Lucian,54.55
ashe,Kai'Sa,55.42
ashe,Jhin,50.88
ashe,Caitlyn,56.25
ashe,Vayne,62.5
caitlyn,Kai'Sa,51.79
caitlyn,Jinx,56.84
caitlyn,Sivir,58.49
caitlyn,Xayah,54.29
corki,Kai'Sa,59.38
corki,Ezreal,58.06
draven,Lucian,54.43
draven,Ezreal,53.97
draven,Jhin,52.78
draven,Jinx,60.0
ezreal,Jhin,55.34
ezreal,Smolder,55.0
ezreal,Aphelios,51.28
ezreal,Varus,50.55
ezreal,Miss Fortune,53.01
ezreal,Ashe,55.74
jhin,Caitlyn,51.53
jhin,Jinx,53.06
jhin,Sivir,55.79
jhin,Senna,53.68
jhin,Tristana,51.65
jhin,Miss Fortune,55.56
jhin,Vayne,55.88
jhin,Xayah,56.82
jinx,Kai'Sa,51.56
jinx,Ezreal,57.45
jinx,Tristana,51.56
jinx,Vayne,52.63
jinx,Ashe,65.31
jinx,Samira,57.89
kaisa,Ezreal,53.33
kaisa,Jhin,54.58
kaisa,Xayah,57.23
kaisa,Zeri,52.59
kaisa,Aphelios,51.16
kaisa,Tristana,53.1
kaisa,Vayne,50.51
kaisa,Draven,53.33
kaisa,Twitch,51.16
lucian,Ezreal,54.68
lucian,Kai'Sa,52.51
lucian,Jhin,53.3
lucian,Caitlyn,51.41
lucian,Xayah,60.69
lucian,Senna,51.33
lucian,Varus,52.38
lucian,Sivir,53.68
lucian,Jinx,53.97
lucian,Zeri,52.0
lucian,Miss Fortune,51.02
lucian,Corki,59.21
lucian,Twitch,51.61
lucian,Nilah,64.52
missfortune,Kai'Sa,53.33
missfortune,Aphelios,54.41
missfortune,Sivir,51.02
missfortune,Xayah,57.14
nilah,Kai'Sa,57.89
samira,Lucian,60.23
samira,Kai'Sa,59.46
samira,Ezreal,68.63
samira,Jhin,58.7
samira,Aphelios,60.98
senna,Ezreal,50.43
senna,Kai'Sa,59.77
senna,Jinx,59.26
senna,Sivir,55.77
senna,Caitlyn,56.76
senna,Xayah,51.52
sivir,Kai'Sa,50.79
sivir,Ezreal,56.14
sivir,Smolder,51.28
sivir,Jinx,56.16
sivir,Tristana,50.91
sivir,Zeri,55.77
sivir,Aphelios,52.08
sivir,Ashe,66.67
sivir,Varus,59.52
sivir,Samira,65.71
smolder,Lucian,53.09
smolder,Kai'Sa,56.96
smolder,Jhin,53.85
smolder,Jinx,54.44
smolder,Senna,60.67
smolder,Caitlyn,51.43
smolder,Samira,61.9
smolder,Varus,55.26
tristana,Lucian,50.42
tristana,Ezreal,62.79
tristana,Zeri,52.0
tristana,Smolder,51.79
tristana,Miss Fortune,52.38
tristana,Caitlyn,52.63
tristana,Varus,54.05
twitch,Jhin,56.82
twitch,Jinx,55.81
twitch,Ezreal,61.29
varus,Jhin,51.4
varus,Kai'Sa,50.5
varus,Caitlyn,57.63
varus,Aphelios,51.79
varus,Zeri,62.75
varus,Jinx,55.1
varus,Miss Fortune,52.78
vayne,Sivir,62.0
vayne,Ezreal,59.52
vayne,Smolder,60.0
vayne,Caitlyn,57.89
vayne,Zeri,58.06
vayne,Aphelios,51.61
xayah,Ezreal,60.53
xayah,Smolder,57.14
xayah,Sivir,56.52
xayah,Aphelios,63.64
xayah,Samira,61.76
xayah,Zeri,53.33
zeri,Ezreal,52.38
zeri,Jinx,52.87
zeri,Jhin,56.98
zeri,Smolder,51.32
zeri,Aphelios,54.05
zeri,Caitlyn,54.76
zeri,Senna,51.35
