Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
ahri,,,,,,,,,,,,,,,,,,,,
akali,53.54%,46.46%,49.57%,50.43%,1.86 : 1,1.79 : 1,36.36%,38.27%,"23,442","25,580","16'56""","18'1""",53.54%,46.46%,49.98%,49.88%,10.07%,1.63%,12.28%,9.76%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,47.50%,52.50%,52.84%,47.16%,1.80 : 1,1.78 : 1,37.13%,37.44%,"22,446","23,507","15'57""","17'4""",47.50%,52.50%,49.98%,51.15%,10.06%,3.68%,12.28%,1.44%
cassiopeia,41.67%,58.33%,59.24%,40.76%,1.93 : 1,1.59 : 1,39.01%,36.11%,"20,763","24,083","17'29""","17'44""",41.67%,58.33%,49.98%,51.01%,10.07%,0.58%,12.28%,1.10%
chogath,51.25%,48.75%,57.49%,42.51%,2.10 : 1,1.80 : 1,38.91%,37.56%,"29,180","22,859","16'19""","17'28""",51.25%,48.75%,49.98%,51.77%,10.07%,3.21%,12.28%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,49.66%,50.34%,52.94%,47.06%,1.86 : 1,1.63 : 1,37.68%,35.35%,"22,112","21,213","17'3""","16'33""",49.66%,50.34%,49.98%,50.08%,10.06%,5.74%,12.28%,13.68%
diana,,,,,,,,,,,,,,,,,,,,
