Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
akali,48.43%,51.57%,49.08%,50.92%,2.42 : 1,2.35 : 1,44.80%,43.13%,"22,879","23,385","17'0""","18'19""",48.43%,51.57%,49.46%,50.97%,7.97%,6.66%,2.82%,10.13%
akshan,47.63%,52.37%,48.50%,51.50%,2.50 : 1,2.58 : 1,45.83%,50.34%,"20,470","25,937","17'6""","16'41""",47.63%,52.37%,49.46%,52.49%,7.97%,2.43%,2.82%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,49.09%,50.91%,48.30%,51.70%,2.77 : 1,2.52 : 1,47.49%,43.24%,"23,186","19,526","17'27""","17'8""",49.09%,50.91%,49.46%,52.39%,7.97%,2.22%,2.82%,1.84%
annie,47.80%,52.20%,54.69%,45.31%,2.45 : 1,2.28 : 1,45.11%,46.61%,"20,855","24,919","16'24""","18'31""",47.80%,52.20%,49.46%,51.85%,7.97%,2.77%,2.82%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,45.97%,54.03%,63.66%,36.34%,3.00 : 1,2.67 : 1,46.73%,48.78%,"24,160","24,579","16'26""","19'28""",45.97%,54.03%,49.46%,51.10%,7.97%,2.09%,2.82%,0.64%
azir,52.44%,47.56%,60.45%,39.55%,3.19 : 1,1.78 : 1,47.69%,39.28%,"23,533","23,606","17'8""","17'40""",52.44%,47.56%,49.46%,47.27%,7.97%,2.77%,2.82%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,46.02%,53.98%,60.15%,39.85%,2.87 : 1,1.93 : 1,47.24%,41.64%,"22,819","22,188","16'44""","19'25""",46.02%,53.98%,49.46%,51.10%,7.97%,1.25%,2.82%,1.22%
chogath,53.15%,46.85%,54.98%,45.02%,3.01 : 1,2.15 : 1,47.40%,42.07%,"26,836","20,932","18'3""","17'28""",53.15%,46.85%,49.46%,50.89%,7.97%,0.65%,2.82%,0.89%
corki,49.71%,50.29%,53.78%,46.22%,2.96 : 1,1.97 : 1,46.59%,43.86%,"21,628","24,442","17'50""","16'17""",49.71%,50.29%,49.46%,45.49%,7.97%,0.93%,2.82%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,47.90%,52.10%,50.85%,49.15%,2.54 : 1,2.08 : 1,46.19%,44.55%,"20,430","24,320","17'21""","15'43""",47.90%,52.10%,49.46%,51.71%,7.97%,4.20%,2.82%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,50.85%,49.15%,52.95%,47.05%,2.74 : 1,2.22 : 1,45.70%,43.72%,"22,776","22,362","17'38""","16'33""",50.85%,49.15%,49.46%,50.98%,7.97%,3.17%,2.82%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,47.74%,52.26%,44.81%,55.19%,2.30 : 1,2.30 : 1,44.65%,44.39%,"22,135","22,485","16'59""","16'51""",47.74%,52.26%,49.46%,50.26%,7.97%,2.70%,2.82%,3.02%
galio,52.53%,47.47%,56.40%,43.60%,3.06 : 1,2.66 : 1,47.50%,48.42%,"22,210","17,201","17'14""","18'52""",52.53%,47.47%,49.46%,51.26%,7.97%,4.52%,2.82%,3.30%
gangplank,45.36%,54.64%,54.76%,45.24%,2.61 : 1,2.44 : 1,46.22%,43.86%,"24,026","25,802","17'10""","17'16""",45.36%,54.64%,49.46%,52.04%,7.97%,0.57%,2.82%,4.54%
garen,,,,,,,,,,,,,,,,,,,,
