Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,51.57%,48.43%,50.92%,49.08%,2.35 : 1,2.42 : 1,43.13%,44.80%,"23,385","22,879","18'19""","17'0""",51.57%,48.43%,50.97%,49.46%,6.66%,7.97%,10.13%,2.82%
akshan,45.78%,54.22%,53.21%,46.79%,2.36 : 1,2.28 : 1,43.59%,47.72%,"24,438","27,004","18'24""","17'25""",45.78%,54.22%,50.97%,52.49%,6.66%,2.43%,10.13%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,51.72%,48.28%,48.42%,51.58%,2.45 : 1,2.66 : 1,43.62%,43.77%,"25,178","20,864","19'25""","17'51""",51.72%,48.28%,50.97%,52.39%,6.66%,2.22%,10.13%,1.84%
annie,52.97%,47.03%,57.26%,42.74%,2.54 : 1,2.00 : 1,45.34%,45.73%,"23,596","24,336","17'33""","18'34""",52.97%,47.03%,50.97%,51.85%,6.66%,2.77%,10.13%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,54.18%,45.82%,56.96%,43.04%,2.51 : 1,2.37 : 1,43.29%,48.80%,"25,792","25,550","16'54""","19'14""",54.18%,45.82%,50.97%,51.10%,6.66%,2.09%,10.13%,0.64%
azir,56.51%,43.49%,57.37%,42.63%,2.75 : 1,1.89 : 1,44.45%,40.98%,"25,539","25,562","19'19""","17'15""",56.51%,43.49%,50.97%,47.27%,6.66%,2.77%,10.13%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,58.33%,41.67%,62.55%,37.45%,2.80 : 1,1.69 : 1,47.13%,43.13%,"25,697","23,190","17'54""","17'30""",58.33%,41.67%,50.97%,51.10%,6.66%,1.25%,10.13%,1.22%
chogath,51.38%,48.62%,52.68%,47.32%,2.65 : 1,2.19 : 1,46.09%,43.44%,"27,586","22,393","18'33""","17'37""",51.38%,48.62%,50.97%,50.89%,6.66%,0.65%,10.13%,0.89%
corki,57.14%,42.86%,55.01%,44.99%,2.82 : 1,1.98 : 1,46.22%,44.50%,"24,871","25,727","18'53""","15'53""",57.14%,42.86%,50.97%,45.49%,6.66%,0.93%,10.13%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,48.86%,51.14%,52.18%,47.82%,2.34 : 1,1.92 : 1,44.92%,45.15%,"23,934","25,625","18'24""","15'51""",48.86%,51.14%,50.97%,51.71%,6.66%,4.20%,10.13%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,50.90%,49.10%,54.65%,45.35%,2.54 : 1,1.97 : 1,45.00%,42.18%,"26,808","22,380","18'47""","16'53""",50.90%,49.10%,50.97%,50.98%,6.66%,3.17%,10.13%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,55.28%,44.72%,52.25%,47.75%,2.42 : 1,2.01 : 1,45.31%,45.31%,"25,706","22,248","16'43""","16'32""",55.28%,44.72%,50.97%,50.26%,6.66%,2.70%,10.13%,3.02%
