Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,52.37%,47.63%,51.50%,48.50%,2.58 : 1,2.50 : 1,50.34%,45.83%,"25,937","20,470","16'41""","17'6""",52.37%,47.63%,52.49%,49.46%,2.43%,7.97%,3.49%,2.82%
akali,54.20%,45.80%,46.69%,53.31%,2.28 : 1,2.37 : 1,47.70%,43.61%,"26,967","24,424","17'22""","18'24""",54.20%,45.80%,52.49%,50.97%,2.43%,6.66%,3.49%,10.13%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,44.78%,55.22%,43.02%,56.98%,2.32 : 1,2.98 : 1,49.60%,45.97%,"27,099","21,691","17'52""","17'32""",44.78%,55.22%,52.49%,52.39%,2.43%,2.22%,3.49%,1.84%
annie,50.00%,50.00%,50.56%,49.44%,2.38 : 1,2.24 : 1,49.51%,46.98%,"24,541","25,522","17'20""","18'9""",50.00%,50.00%,52.49%,51.85%,2.43%,2.77%,3.49%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,56.14%,43.86%,56.97%,43.03%,2.73 : 1,2.62 : 1,48.59%,51.26%,"26,917","24,145","16'36""","20'36""",56.14%,43.86%,52.49%,51.10%,2.43%,2.09%,3.49%,0.64%
azir,57.32%,42.68%,55.11%,44.89%,2.77 : 1,2.02 : 1,49.11%,42.49%,"24,814","24,105","17'13""","17'1""",57.32%,42.68%,52.49%,47.27%,2.43%,2.77%,3.49%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,59.57%,40.43%,57.49%,42.51%,2.79 : 1,1.88 : 1,51.08%,42.68%,"27,220","22,274","16'52""","18'10""",59.57%,40.43%,52.49%,51.10%,2.43%,1.25%,3.49%,1.22%
chogath,56.25%,43.75%,62.50%,37.50%,2.73 : 1,1.82 : 1,47.05%,40.69%,"26,877","19,493","17'21""","16'21""",56.25%,43.75%,52.49%,50.89%,2.43%,0.65%,3.49%,0.89%
corki,63.93%,36.07%,55.45%,44.55%,3.01 : 1,1.85 : 1,49.89%,43.18%,"23,512","21,275","17'25""","16'31""",63.93%,36.07%,52.49%,45.49%,2.43%,0.93%,3.49%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,51.06%,48.94%,48.89%,51.11%,2.35 : 1,2.21 : 1,49.51%,47.35%,"24,029","25,032","17'28""","15'25""",51.06%,48.94%,52.49%,51.71%,2.43%,4.20%,3.49%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,48.21%,51.79%,50.00%,50.00%,2.29 : 1,2.42 : 1,48.76%,46.18%,"26,925","24,349","17'33""","15'41""",48.21%,51.79%,52.49%,50.98%,2.43%,3.17%,3.49%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,52.86%,47.14%,43.99%,56.01%,2.23 : 1,2.33 : 1,49.57%,44.98%,"24,651","21,115","16'7""","16'7""",52.86%,47.14%,52.49%,50.26%,2.43%,2.70%,3.49%,3.02%
galio,54.10%,45.90%,49.66%,50.34%,2.50 : 1,2.80 : 1,49.55%,49.73%,"26,027","17,955","16'47""","19'0""",54.10%,45.90%,52.49%,51.26%,2.43%,4.52%,3.49%,3.30%
