Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,60.42%,39.58%,51.12%,48.88%,2.81 : 1,2.37 : 1,50.62%,55.95%,60.42%,39.58%,51.10%,45.28%,6.24%,0.56%,2.63%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,52.22%,47.78%,47.14%,52.86%,2.69 : 1,3.08 : 1,56.86%,60.49%,52.22%,47.78%,51.10%,51.04%,6.24%,5.50%,2.63%,1.52%
belveth,,,,,,,,,,,,,,,,
blitzcrank,52.10%,47.90%,46.63%,53.37%,2.58 : 1,2.59 : 1,57.51%,54.45%,52.10%,47.90%,51.10%,50.76%,6.24%,4.95%,2.63%,12.59%
brand,49.13%,50.87%,51.33%,48.67%,2.55 : 1,2.14 : 1,52.87%,52.37%,49.13%,50.87%,51.10%,48.81%,6.24%,1.45%,2.63%,1.10%
braum,50.35%,49.65%,44.71%,55.29%,2.56 : 1,3.07 : 1,57.97%,60.44%,50.35%,49.65%,51.10%,52.49%,6.24%,8.01%,2.63%,14.42%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,51.60%,48.40%,50.23%,49.77%,2.73 : 1,2.21 : 1,57.37%,52.59%,51.60%,48.40%,51.10%,52.55%,6.24%,1.60%,2.63%,5.40%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,54.26%,45.74%,52.32%,47.68%,2.81 : 1,2.16 : 1,56.52%,52.38%,54.26%,45.74%,51.10%,51.20%,6.24%,1.00%,2.63%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,54.33%,45.67%,49.50%,50.50%,2.73 : 1,2.53 : 1,58.15%,56.57%,54.33%,45.67%,51.10%,50.94%,6.24%,0.60%,2.63%,2.76%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,38.30%,61.70%,42.97%,57.03%,2.14 : 1,2.76 : 1,54.47%,55.83%,38.30%,61.70%,51.10%,48.97%,6.24%,0.76%,2.63%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,47.43%,52.57%,41.63%,58.37%,2.43 : 1,3.68 : 1,54.64%,62.11%,47.43%,52.57%,51.10%,52.40%,6.24%,4.89%,2.63%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,50.56%,49.44%,44.94%,55.06%,2.57 : 1,2.90 : 1,56.13%,58.01%,50.56%,49.44%,51.10%,50.09%,6.24%,9.39%,2.63%,5.33%
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
