Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,51.06%,48.94%,2.40 : 1,2.32 : 1,48.05%,50.98%,"16,194","15,252",51.06%,48.94%,49.89%,51.17%,1.98%,1.95%,1.30%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,48.21%,51.79%,2.42 : 1,2.38 : 1,51.34%,52.63%,"18,112","22,165",48.21%,51.79%,49.89%,52.59%,1.98%,3.97%,1.30%,4.25%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,51.63%,48.37%,2.68 : 1,2.44 : 1,51.56%,52.58%,"17,943","22,989",51.63%,48.37%,49.89%,51.17%,1.98%,5.32%,1.30%,6.00%
drmundo,41.30%,58.70%,2.35 : 1,3.05 : 1,49.10%,50.31%,"18,197","20,070",41.30%,58.70%,49.89%,49.03%,1.98%,1.61%,1.30%,15.04%
draven,,,,,,,,,,,,,,,,
ekko,45.11%,54.89%,2.39 : 1,2.93 : 1,49.97%,52.78%,"17,002","21,937",45.11%,54.89%,49.89%,51.49%,1.98%,6.36%,1.30%,4.77%
elise,49.67%,50.33%,2.14 : 1,2.74 : 1,49.41%,52.55%,"16,281","21,562",49.67%,50.33%,49.89%,50.84%,1.98%,3.31%,1.30%,5.61%
evelynn,45.59%,54.41%,2.64 : 1,3.19 : 1,50.20%,54.20%,"16,944","24,324",45.59%,54.41%,49.89%,51.04%,1.98%,2.67%,1.30%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,43.85%,56.15%,2.35 : 1,3.11 : 1,50.98%,52.55%,"17,613","22,295",43.85%,56.15%,49.89%,52.24%,1.98%,3.05%,1.30%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,48.98%,51.02%,2.55 : 1,2.66 : 1,51.87%,51.01%,"19,960","22,422",48.98%,51.02%,49.89%,50.96%,1.98%,1.19%,1.30%,1.65%
graves,54.44%,45.56%,2.58 : 1,2.54 : 1,49.53%,53.06%,"15,568","21,664",54.44%,45.56%,49.89%,49.66%,1.98%,5.73%,1.30%,4.45%
gwen,55.56%,44.44%,2.72 : 1,2.60 : 1,48.80%,54.11%,"17,826","24,416",55.56%,44.44%,49.89%,50.93%,1.98%,1.25%,1.30%,8.41%
hecarim,55.10%,44.90%,2.52 : 1,2.77 : 1,51.90%,55.97%,"18,377","21,550",55.10%,44.90%,49.89%,49.85%,1.98%,4.29%,1.30%,4.62%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,43.08%,56.92%,2.41 : 1,4.29 : 1,53.13%,60.71%,"14,869","11,141",43.08%,56.92%,49.89%,52.00%,1.98%,1.45%,1.30%,0.82%
janna,,,,,,,,,,,,,,,,
jarvaniv,50.84%,49.16%,2.55 : 1,3.33 : 1,51.76%,63.74%,"17,316","17,493",50.84%,49.16%,49.89%,51.85%,1.98%,7.13%,1.30%,3.03%
