Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,50.91%,49.09%,51.70%,48.30%,2.52 : 1,2.77 : 1,43.24%,47.49%,"19,526","23,186","17'8""","17'27""",50.91%,49.09%,52.39%,49.46%,2.22%,7.97%,1.84%,2.82%
akali,48.28%,51.72%,51.58%,48.42%,2.66 : 1,2.45 : 1,43.77%,43.62%,"20,864","25,178","17'51""","19'25""",48.28%,51.72%,52.39%,50.97%,2.22%,6.66%,1.84%,10.13%
akshan,55.22%,44.78%,56.98%,43.02%,2.98 : 1,2.32 : 1,45.97%,49.60%,"21,691","27,099","17'32""","17'52""",55.22%,44.78%,52.39%,52.49%,2.22%,2.43%,1.84%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
annie,52.63%,47.37%,59.67%,40.33%,2.82 : 1,2.14 : 1,46.69%,46.41%,"21,453","25,394","16'14""","18'12""",52.63%,47.37%,52.39%,51.85%,2.22%,2.77%,1.84%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,43.85%,56.15%,61.22%,38.78%,2.75 : 1,2.62 : 1,44.22%,50.32%,"21,463","26,975","16'43""","19'29""",43.85%,56.15%,52.39%,51.10%,2.22%,2.09%,1.84%,0.64%
azir,56.80%,43.20%,55.33%,44.67%,3.10 : 1,1.94 : 1,45.72%,41.76%,"21,737","27,025","17'8""","17'32""",56.80%,43.20%,52.39%,47.27%,2.22%,2.77%,1.84%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,54.55%,45.45%,61.54%,38.46%,2.54 : 1,1.91 : 1,39.64%,40.16%,"20,034","23,709","17'16""","18'17""",54.55%,45.45%,52.39%,51.10%,2.22%,1.25%,1.84%,1.22%
chogath,53.33%,46.67%,63.74%,36.26%,3.18 : 1,1.98 : 1,44.17%,42.50%,"24,808","23,566","17'7""","17'29""",53.33%,46.67%,52.39%,50.89%,2.22%,0.65%,1.84%,0.89%
corki,41.67%,58.33%,55.00%,45.00%,2.65 : 1,2.35 : 1,42.95%,39.85%,"23,940","27,916","17'34""","16'44""",41.67%,58.33%,52.39%,45.49%,2.22%,0.93%,1.84%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,56.25%,43.75%,57.60%,42.40%,2.83 : 1,1.91 : 1,45.37%,44.64%,"19,656","24,664","16'53""","15'40""",56.25%,43.75%,52.39%,51.71%,2.22%,4.20%,1.84%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,44.50%,55.50%,56.52%,43.48%,2.71 : 1,2.26 : 1,45.04%,43.43%,"21,320","24,073","17'5""","16'36""",44.50%,55.50%,52.39%,50.98%,2.22%,3.17%,1.84%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,50.00%,50.00%,48.58%,51.42%,2.36 : 1,2.37 : 1,43.03%,46.65%,"19,367","22,686","16'28""","16'55""",50.00%,50.00%,52.39%,50.26%,2.22%,2.70%,1.84%,3.02%
galio,54.95%,45.05%,55.70%,44.30%,3.16 : 1,2.58 : 1,45.50%,47.68%,"19,600","18,039","18'7""","19'31""",54.95%,45.05%,52.39%,51.26%,2.22%,4.52%,1.84%,3.30%
gangplank,61.54%,38.46%,69.57%,30.43%,3.12 : 1,2.25 : 1,46.46%,48.82%,"20,043","25,298","17'27""","15'57""",61.54%,38.46%,52.39%,52.04%,2.22%,0.57%,1.84%,4.54%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,58.82%,41.18%,47.37%,52.63%,2.78 : 1,2.04 : 1,39.80%,40.83%,"20,648","23,377","16'56""","17'59""",58.82%,41.18%,52.39%,50.84%,2.22%,0.74%,1.84%,1.57%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,50.71%,49.29%,55.42%,44.58%,2.63 : 1,2.66 : 1,43.86%,47.99%,"20,144","28,834","18'32""","18'2""",50.71%,49.29%,52.39%,50.45%,2.22%,5.57%,1.84%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,48.00%,52.00%,56.25%,43.75%,2.64 : 1,1.60 : 1,44.97%,40.95%,"21,139","25,911","17'16""","15'9""",48.00%,52.00%,52.39%,49.42%,2.22%,2.65%,1.84%,13.77%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,41.38%,58.62%,54.69%,45.31%,2.80 : 1,2.14 : 1,46.89%,46.72%,"17,349","23,296","16'28""","17'31""",41.38%,58.62%,52.39%,48.80%,2.22%,0.93%,1.84%,7.82%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
