Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,52.45%,47.55%,45.23%,54.77%,2.29 : 1,2.46 : 1,46.64%,45.11%,"24,931","20,856","18'30""","16'21""",52.45%,47.55%,51.85%,49.46%,2.77%,7.97%,1.16%,2.82%
akali,47.03%,52.97%,42.74%,57.26%,2.00 : 1,2.54 : 1,45.73%,45.34%,"24,336","23,596","18'34""","17'33""",47.03%,52.97%,51.85%,50.97%,2.77%,6.66%,1.16%,10.13%
akshan,50.00%,50.00%,49.44%,50.56%,2.24 : 1,2.38 : 1,46.98%,49.51%,"25,522","24,541","18'9""","17'20""",50.00%,50.00%,51.85%,52.49%,2.77%,2.43%,1.16%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,47.37%,52.63%,40.33%,59.67%,2.14 : 1,2.82 : 1,46.41%,46.69%,"25,394","21,453","18'12""","16'14""",47.37%,52.63%,51.85%,52.39%,2.77%,2.22%,1.16%,1.84%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,54.72%,45.28%,56.95%,43.05%,2.70 : 1,2.18 : 1,46.44%,46.53%,"25,173","21,017","18'25""","18'40""",54.72%,45.28%,51.85%,51.10%,2.77%,2.09%,1.16%,0.64%
azir,53.46%,46.54%,53.63%,46.37%,2.48 : 1,1.83 : 1,46.70%,38.90%,"24,536","21,846","18'2""","16'46""",53.46%,46.54%,51.85%,47.27%,2.77%,2.77%,1.16%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,44.12%,55.88%,53.93%,46.07%,2.25 : 1,2.00 : 1,46.79%,44.20%,"24,205","23,646","19'21""","15'28""",44.12%,55.88%,51.85%,51.10%,2.77%,1.25%,1.16%,1.22%
chogath,57.14%,42.86%,49.04%,50.96%,2.42 : 1,2.33 : 1,45.16%,43.01%,"29,613","23,134","18'0""","18'35""",57.14%,42.86%,51.85%,50.89%,2.77%,0.65%,1.16%,0.89%
corki,55.32%,44.68%,52.10%,47.90%,2.49 : 1,2.01 : 1,48.45%,44.11%,"23,253","22,981","19'55""","14'58""",55.32%,44.68%,51.85%,45.49%,2.77%,0.93%,1.16%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,51.70%,48.30%,45.72%,54.28%,2.10 : 1,2.01 : 1,47.49%,47.15%,"22,604","24,475","19'34""","14'53""",51.70%,48.30%,51.85%,51.71%,2.77%,4.20%,1.16%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,43.84%,56.16%,45.90%,54.10%,2.25 : 1,2.34 : 1,47.81%,42.90%,"24,172","21,881","17'58""","16'11""",43.84%,56.16%,51.85%,50.98%,2.77%,3.17%,1.16%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,54.76%,45.24%,42.25%,57.75%,2.16 : 1,2.17 : 1,47.60%,45.22%,"24,459","21,366","17'49""","16'15""",54.76%,45.24%,51.85%,50.26%,2.77%,2.70%,1.16%,3.02%
galio,53.29%,46.71%,48.11%,51.89%,2.45 : 1,2.74 : 1,48.89%,51.41%,"23,326","18,506","18'45""","17'24""",53.29%,46.71%,51.85%,51.26%,2.77%,4.52%,1.16%,3.30%
gangplank,54.17%,45.83%,43.75%,56.25%,2.17 : 1,2.60 : 1,44.59%,50.81%,"25,407","27,827","17'22""","18'19""",54.17%,45.83%,51.85%,52.04%,2.77%,0.57%,1.16%,4.54%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,50.00%,50.00%,43.75%,56.25%,2.41 : 1,2.50 : 1,46.04%,43.69%,"24,795","23,446","16'37""","16'30""",50.00%,50.00%,51.85%,50.84%,2.77%,0.74%,1.16%,1.57%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,50.34%,49.66%,52.16%,47.84%,2.38 : 1,2.36 : 1,46.73%,46.01%,"24,113","25,066","19'34""","16'9""",50.34%,49.66%,51.85%,50.45%,2.77%,5.57%,1.16%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,52.17%,47.83%,49.61%,50.39%,2.30 : 1,1.59 : 1,48.27%,43.45%,"24,796","21,474","18'34""","14'43""",52.17%,47.83%,51.85%,49.42%,2.77%,2.65%,1.16%,13.77%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,50.91%,49.09%,47.43%,52.57%,2.46 : 1,2.04 : 1,50.88%,43.94%,"23,694","22,677","17'59""","15'21""",50.91%,49.09%,51.85%,48.80%,2.77%,0.93%,1.16%,7.82%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,46.26%,53.74%,49.17%,50.83%,2.11 : 1,2.47 : 1,44.92%,45.56%,"24,863","23,413","17'58""","17'23""",46.26%,53.74%,51.85%,50.49%,2.77%,2.48%,1.16%,2.49%
katarina,49.13%,50.87%,46.15%,53.85%,2.09 : 1,2.31 : 1,47.02%,49.58%,"24,590","23,372","17'36""","17'22""",49.13%,50.87%,51.85%,51.66%,2.77%,5.88%,1.16%,6.81%
kayle,51.49%,48.51%,50.35%,49.65%,2.49 : 1,1.95 : 1,45.90%,40.94%,"27,526","19,738","16'13""","19'53""",51.49%,48.51%,51.85%,52.21%,2.77%,1.62%,1.16%,4.52%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,53.62%,46.38%,47.14%,52.86%,2.17 : 1,2.40 : 1,47.28%,45.08%,"23,961","23,288","16'25""","19'2""",53.62%,46.38%,51.85%,52.41%,2.77%,1.03%,1.16%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,47.54%,52.46%,33.05%,66.95%,1.74 : 1,3.08 : 1,44.70%,47.27%,"23,601","23,769","19'5""","17'11""",47.54%,52.46%,51.85%,50.64%,2.77%,5.24%,1.16%,21.87%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,55.06%,44.94%,46.47%,53.53%,2.24 : 1,2.11 : 1,48.27%,44.98%,"25,293","19,981","18'21""","16'54""",55.06%,44.94%,51.85%,52.00%,2.77%,3.20%,1.16%,1.47%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,47.71%,52.29%,44.16%,55.84%,2.21 : 1,2.79 : 1,45.15%,48.27%,"23,719","23,957","18'43""","16'25""",47.71%,52.29%,51.85%,51.24%,2.77%,4.00%,1.16%,3.15%
malphite,51.61%,48.39%,38.14%,61.86%,2.08 : 1,2.40 : 1,49.27%,43.62%,"23,352","21,030","16'47""","15'11""",51.61%,48.39%,51.85%,52.75%,2.77%,0.79%,1.16%,7.88%
malzahar,52.53%,47.47%,51.59%,48.41%,2.48 : 1,2.06 : 1,47.19%,42.35%,"23,893","21,836","18'30""","15'46""",52.53%,47.47%,51.85%,51.33%,2.77%,4.97%,1.16%,6.79%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,54.05%,45.95%,39.37%,60.63%,2.27 : 1,2.90 : 1,51.17%,51.33%,"25,274","22,419","19'45""","16'47""",54.05%,45.95%,51.85%,51.32%,2.77%,0.50%,1.16%,8.33%
naafiri,43.59%,56.41%,44.68%,55.32%,2.38 : 1,2.48 : 1,48.14%,42.55%,"23,340","21,269","17'32""","17'1""",43.59%,56.41%,51.85%,52.38%,2.77%,0.68%,1.16%,12.53%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,46.15%,53.85%,43.80%,56.20%,1.88 : 1,2.40 : 1,43.14%,41.91%,"20,910","19,918","18'53""","15'52""",46.15%,53.85%,51.85%,52.73%,2.77%,0.67%,1.16%,1.71%
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,,,,,,,,,,,,,,,,,,,,
orianna,52.11%,47.89%,48.38%,51.62%,2.18 : 1,2.51 : 1,45.87%,47.82%,"22,676","21,861","19'3""","16'47""",52.11%,47.89%,51.85%,50.15%,2.77%,5.30%,1.16%,1.36%
ornn,,,,,,,,,,,,,,,,,,,,
pantheon,,,,,,,,,,,,,,,,,,,,
poppy,,,,,,,,,,,,,,,,,,,,
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,52.94%,47.06%,43.62%,56.38%,2.02 : 1,2.09 : 1,46.63%,44.75%,"23,746","22,384","18'53""","16'23""",52.94%,47.06%,51.85%,51.50%,2.77%,2.44%,1.16%,1.06%
quinn,43.48%,56.52%,48.00%,52.00%,2.21 : 1,2.38 : 1,47.71%,51.94%,"26,089","24,749","16'46""","19'12""",43.48%,56.52%,51.85%,54.05%,2.77%,0.67%,1.16%,1.70%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,,,,,,,,,,,,,,,,,,,,
rengar,,,,,,,,,,,,,,,,,,,,
riven,,,,,,,,,,,,,,,,,,,,
rumble,,,,,,,,,,,,,,,,,,,,
ryze,52.05%,47.95%,56.40%,43.60%,2.65 : 1,2.16 : 1,46.75%,40.87%,"26,594","22,329","18'28""","16'44""",52.05%,47.95%,51.85%,48.64%,2.77%,3.12%,1.16%,0.68%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,,,,,,,,,,,,,,,,,,,,
shaco,,,,,,,,,,,,,,,,,,,,
shen,,,,,,,,,,,,,,,,,,,,
shyvana,,,,,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,61.11%,38.89%,57.87%,42.13%,3.15 : 1,1.58 : 1,47.82%,39.82%,"24,589","20,870","19'15""","16'10""",61.11%,38.89%,51.85%,46.81%,2.77%,1.19%,1.16%,4.92%
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,51.72%,48.28%,48.70%,51.30%,2.37 : 1,2.91 : 1,50.24%,51.70%,"26,689","22,311","18'17""","18'5""",51.72%,48.28%,51.85%,51.65%,2.77%,1.04%,1.16%,0.70%
sylas,52.35%,47.65%,49.43%,50.57%,2.23 : 1,2.11 : 1,48.73%,47.48%,"25,682","22,010","17'44""","17'10""",52.35%,47.65%,51.85%,50.36%,2.77%,9.64%,1.16%,10.17%
syndra,46.19%,53.81%,48.54%,51.46%,2.06 : 1,2.32 : 1,44.42%,44.25%,"22,457","24,333","19'18""","16'21""",46.19%,53.81%,51.85%,50.80%,2.77%,5.38%,1.16%,3.99%
tahmkench,,,,,,,,,,,,,,,,,,,,
taliyah,55.56%,44.44%,55.57%,44.43%,2.54 : 1,2.19 : 1,48.69%,47.57%,"24,774","22,380","17'45""","16'40""",55.56%,44.44%,51.85%,50.36%,2.77%,2.66%,1.16%,0.74%
