Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
ashe,49.43%,50.57%,48.77%,51.23%,2.01 : 1,2.38 : 1,45.50%,49.33%,"23,989","20,771","15'4""","15'42""",49.43%,50.57%,50.14%,50.67%,8.80%,5.77%,3.14%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,49.24%,50.76%,48.47%,51.53%,2.01 : 1,2.33 : 1,44.27%,46.28%,"24,684","23,742","15'32""","14'53""",49.24%,50.76%,50.14%,49.89%,8.80%,11.03%,3.14%,12.86%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,46.94%,53.06%,44.64%,55.36%,1.91 : 1,2.85 : 1,45.84%,50.19%,"24,545","24,875","15'16""","15'1""",46.94%,53.06%,50.14%,49.50%,8.80%,2.33%,3.14%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,50.71%,49.29%,48.11%,51.89%,2.04 : 1,2.19 : 1,47.13%,48.73%,"25,495","24,663","15'28""","14'52""",50.71%,49.29%,50.14%,49.66%,8.80%,4.13%,3.14%,18.94%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,52.94%,47.06%,45.43%,54.57%,2.03 : 1,2.63 : 1,45.31%,47.95%,"25,039","25,847","15'15""","15'16""",52.94%,47.06%,50.14%,48.38%,8.80%,13.75%,3.14%,4.99%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,40.48%,59.52%,45.93%,54.07%,1.83 : 1,2.75 : 1,43.32%,49.71%,"24,217","26,199","15'32""","15'2""",40.48%,59.52%,50.14%,52.22%,8.80%,0.91%,3.14%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
jhin,51.00%,49.00%,41.02%,58.98%,1.89 : 1,3.07 : 1,44.43%,51.95%,"25,110","21,481","15'32""","15'40""",51.00%,49.00%,50.14%,49.78%,8.80%,14.90%,3.14%,1.45%
