Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.57%,49.43%,51.23%,48.77%,2.38 : 1,2.01 : 1,49.33%,45.50%,"20,771","23,989","15'42""","15'4""",50.57%,49.43%,50.67%,50.14%,5.77%,8.80%,1.52%,3.14%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,48.53%,51.47%,49.95%,50.05%,2.32 : 1,2.18 : 1,48.54%,45.79%,"21,807","24,245","16'7""","14'48""",48.53%,51.47%,50.67%,49.89%,5.77%,11.03%,1.52%,12.86%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,50.56%,49.44%,44.46%,55.54%,2.23 : 1,2.56 : 1,50.00%,50.58%,"21,915","26,396","16'9""","14'57""",50.56%,49.44%,50.67%,49.50%,5.77%,2.33%,1.52%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,53.96%,46.04%,50.47%,49.53%,2.31 : 1,2.00 : 1,49.81%,48.11%,"20,833","23,764","15'48""","15'3""",53.96%,46.04%,50.67%,49.66%,5.77%,4.13%,1.52%,18.94%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,50.74%,49.26%,46.13%,53.87%,2.24 : 1,2.54 : 1,48.86%,47.90%,"21,792","26,559","15'55""","15'8""",50.74%,49.26%,50.67%,48.38%,5.77%,13.75%,1.52%,4.99%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,44.25%,55.75%,48.36%,51.64%,2.02 : 1,2.79 : 1,46.94%,49.20%,"22,106","27,828","16'6""","15'44""",44.25%,55.75%,50.67%,52.22%,5.77%,0.91%,1.52%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
jhin,51.11%,48.89%,44.22%,55.78%,2.16 : 1,2.80 : 1,47.88%,50.69%,"21,882","21,754","16'0""","15'54""",51.11%,48.89%,50.67%,49.78%,5.77%,14.90%,1.52%,1.45%
