Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,54.03%,45.97%,36.34%,63.66%,2.67 : 1,3.00 : 1,48.78%,46.73%,"24,579","24,160","19'28""","16'26""",54.03%,45.97%,51.10%,49.46%,2.09%,7.97%,0.64%,2.82%
akali,45.82%,54.18%,43.04%,56.96%,2.37 : 1,2.51 : 1,48.80%,43.29%,"25,550","25,792","19'14""","16'54""",45.82%,54.18%,51.10%,50.97%,2.09%,6.66%,0.64%,10.13%
akshan,43.86%,56.14%,43.03%,56.97%,2.62 : 1,2.73 : 1,51.26%,48.59%,"24,145","26,917","20'36""","16'36""",43.86%,56.14%,51.10%,52.49%,2.09%,2.43%,0.64%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,56.15%,43.85%,38.78%,61.22%,2.62 : 1,2.75 : 1,50.32%,44.22%,"26,975","21,463","19'29""","16'43""",56.15%,43.85%,51.10%,52.39%,2.09%,2.22%,0.64%,1.84%
annie,45.28%,54.72%,43.05%,56.95%,2.18 : 1,2.70 : 1,46.53%,46.44%,"21,017","25,173","18'40""","18'25""",45.28%,54.72%,51.10%,51.85%,2.09%,2.77%,0.64%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
azir,57.80%,42.20%,48.51%,51.49%,3.17 : 1,2.08 : 1,52.33%,42.48%,"27,138","25,690","19'9""","17'11""",57.80%,42.20%,51.10%,47.27%,2.09%,2.77%,0.64%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,52.38%,47.62%,51.02%,48.98%,3.24 : 1,2.15 : 1,54.55%,44.32%,"29,337","23,706","18'55""","19'38""",52.38%,47.62%,51.10%,51.10%,2.09%,1.25%,0.64%,1.22%
chogath,47.62%,52.38%,42.45%,57.55%,2.55 : 1,2.99 : 1,50.24%,46.69%,"28,905","23,363","20'59""","17'1""",47.62%,52.38%,51.10%,50.89%,2.09%,0.65%,0.64%,0.89%
corki,47.62%,52.38%,54.61%,45.39%,2.65 : 1,2.03 : 1,51.72%,42.91%,"25,724","26,968","18'17""","16'9""",47.62%,52.38%,51.10%,45.49%,2.09%,0.93%,0.64%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,50.00%,50.00%,42.16%,57.84%,2.53 : 1,2.28 : 1,49.59%,47.01%,"22,341","25,833","18'48""","15'6""",50.00%,50.00%,51.10%,51.71%,2.09%,4.20%,0.64%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,49.15%,50.85%,41.60%,58.40%,2.69 : 1,2.65 : 1,51.60%,45.14%,"27,489","27,015","20'21""","15'36""",49.15%,50.85%,51.10%,50.98%,2.09%,3.17%,0.64%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,50.00%,50.00%,35.26%,64.74%,2.29 : 1,2.73 : 1,49.50%,45.90%,"24,960","26,502","18'51""","16'9""",50.00%,50.00%,51.10%,50.26%,2.09%,2.70%,0.64%,3.02%
galio,49.76%,50.24%,48.08%,51.92%,2.96 : 1,3.00 : 1,52.61%,49.29%,"22,691","20,186","19'0""","17'57""",49.76%,50.24%,51.10%,51.26%,2.09%,4.52%,0.64%,3.30%
