Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,47.56%,52.44%,39.55%,60.45%,1.78 : 1,3.19 : 1,39.28%,47.69%,"23,606","23,533","17'40""","17'8""",47.56%,52.44%,47.27%,49.46%,2.77%,7.97%,0.54%,2.82%
akali,43.49%,56.51%,42.63%,57.37%,1.89 : 1,2.75 : 1,40.98%,44.45%,"25,562","25,539","17'15""","19'19""",43.49%,56.51%,47.27%,50.97%,2.77%,6.66%,0.54%,10.13%
akshan,42.68%,57.32%,44.89%,55.11%,2.02 : 1,2.77 : 1,42.49%,49.11%,"24,105","24,814","17'1""","17'13""",42.68%,57.32%,47.27%,52.49%,2.77%,2.43%,0.54%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,43.20%,56.80%,44.67%,55.33%,1.94 : 1,3.10 : 1,41.76%,45.72%,"27,025","21,737","17'32""","17'8""",43.20%,56.80%,47.27%,52.39%,2.77%,2.22%,0.54%,1.84%
annie,46.54%,53.46%,46.37%,53.63%,1.83 : 1,2.48 : 1,38.90%,46.70%,"21,846","24,536","16'46""","18'2""",46.54%,53.46%,47.27%,51.85%,2.77%,2.77%,0.54%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,42.20%,57.80%,51.49%,48.51%,2.08 : 1,3.17 : 1,42.48%,52.33%,"25,690","27,138","17'11""","19'9""",42.20%,57.80%,47.27%,51.10%,2.77%,2.09%,0.54%,0.64%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,53.95%,46.05%,52.02%,47.98%,2.05 : 1,2.17 : 1,41.80%,44.86%,"26,399","25,205","16'21""","18'25""",53.95%,46.05%,47.27%,51.10%,2.77%,1.25%,0.54%,1.22%
chogath,41.07%,58.93%,50.66%,49.34%,2.04 : 1,2.52 : 1,41.96%,43.56%,"29,606","22,435","17'29""","17'44""",41.07%,58.93%,47.27%,50.89%,2.77%,0.65%,0.54%,0.89%
corki,55.81%,44.19%,59.16%,40.84%,2.65 : 1,1.91 : 1,44.81%,41.02%,"25,714","24,644","17'1""","16'57""",55.81%,44.19%,47.27%,45.49%,2.77%,0.93%,0.54%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,49.37%,50.63%,47.71%,52.29%,1.97 : 1,2.19 : 1,40.84%,45.85%,"22,087","24,938","16'55""","15'21""",49.37%,50.63%,47.27%,51.71%,2.77%,4.20%,0.54%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,45.30%,54.70%,41.87%,58.13%,1.89 : 1,2.75 : 1,41.32%,44.37%,"24,693","24,291","17'51""","16'38""",45.30%,54.70%,47.27%,50.98%,2.77%,3.17%,0.54%,4.71%
