Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,47.78%,52.22%,52.86%,47.14%,3.08 : 1,2.69 : 1,60.49%,56.86%,47.78%,52.22%,51.04%,51.10%,5.50%,6.24%,1.52%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,52.38%,47.62%,55.60%,44.40%,3.22 : 1,2.29 : 1,55.48%,52.82%,52.38%,47.62%,51.04%,45.28%,5.50%,0.56%,1.52%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,
blitzcrank,53.43%,46.57%,47.83%,52.17%,3.02 : 1,2.63 : 1,59.36%,53.34%,53.43%,46.57%,51.04%,50.76%,5.50%,4.95%,1.52%,12.59%
brand,48.53%,51.47%,56.20%,43.80%,3.15 : 1,1.88 : 1,57.22%,47.12%,48.53%,51.47%,51.04%,48.81%,5.50%,1.45%,1.52%,1.10%
braum,50.24%,49.76%,51.66%,48.34%,3.33 : 1,2.91 : 1,61.56%,58.53%,50.24%,49.76%,51.04%,52.49%,5.50%,8.01%,1.52%,14.42%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,45.42%,54.58%,51.58%,48.42%,2.84 : 1,2.28 : 1,58.74%,53.68%,45.42%,54.58%,51.04%,52.55%,5.50%,1.60%,1.52%,5.40%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,47.74%,52.26%,56.61%,43.39%,3.09 : 1,2.15 : 1,57.87%,49.49%,47.74%,52.26%,51.04%,51.20%,5.50%,1.00%,1.52%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,54.93%,45.07%,50.93%,49.07%,3.51 : 1,2.49 : 1,60.97%,54.23%,54.93%,45.07%,51.04%,50.94%,5.50%,0.60%,1.52%,2.76%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,46.67%,53.33%,49.14%,50.86%,2.86 : 1,2.52 : 1,56.20%,52.24%,46.67%,53.33%,51.04%,48.97%,5.50%,0.76%,1.52%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,48.26%,51.74%,47.02%,52.98%,3.09 : 1,3.18 : 1,57.73%,58.90%,48.26%,51.74%,51.04%,52.40%,5.50%,4.89%,1.52%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.15%,48.85%,50.22%,49.78%,3.20 : 1,2.75 : 1,58.15%,56.00%,51.15%,48.85%,51.04%,50.09%,5.50%,9.39%,1.52%,5.33%
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
