Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,48.94%,51.06%,2.32 : 1,2.40 : 1,50.98%,48.05%,"15,252","16,194",48.94%,51.06%,51.17%,49.89%,1.95%,1.98%,3.81%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,48.99%,51.01%,2.50 : 1,2.45 : 1,51.94%,53.41%,"17,920","21,777",48.99%,51.01%,51.17%,52.59%,1.95%,3.97%,3.81%,4.25%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,52.26%,47.74%,2.74 : 1,2.35 : 1,53.16%,49.87%,"17,313","19,971",52.26%,47.74%,51.17%,51.17%,1.95%,5.32%,3.81%,6.00%
drmundo,41.00%,59.00%,2.65 : 1,2.94 : 1,53.86%,47.79%,"21,155","20,737",41.00%,59.00%,51.17%,49.03%,1.95%,1.61%,3.81%,15.04%
draven,,,,,,,,,,,,,,,,
ekko,51.56%,48.44%,2.88 : 1,2.91 : 1,52.52%,52.86%,"17,363","20,049",51.56%,48.44%,51.17%,51.49%,1.95%,6.36%,3.81%,4.77%
elise,53.18%,46.82%,2.69 : 1,2.82 : 1,52.37%,51.74%,"15,363","18,720",53.18%,46.82%,51.17%,50.84%,1.95%,3.31%,3.81%,5.61%
evelynn,45.77%,54.23%,2.51 : 1,2.97 : 1,52.60%,51.84%,"15,829","20,105",45.77%,54.23%,51.17%,51.04%,1.95%,2.67%,3.81%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,47.26%,52.74%,2.70 : 1,3.02 : 1,51.64%,50.54%,"15,776","18,503",47.26%,52.74%,51.17%,52.24%,1.95%,3.05%,3.81%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,50.00%,50.00%,2.71 : 1,2.42 : 1,50.81%,46.94%,"18,345","19,227",50.00%,50.00%,51.17%,50.96%,1.95%,1.19%,3.81%,1.65%
graves,53.73%,46.27%,2.67 : 1,2.50 : 1,50.02%,51.91%,"15,262","21,013",53.73%,46.27%,51.17%,49.66%,1.95%,5.73%,3.81%,4.45%
gwen,58.23%,41.77%,3.04 : 1,2.27 : 1,53.31%,49.33%,"19,189","19,557",58.23%,41.77%,51.17%,50.93%,1.95%,1.25%,3.81%,8.41%
hecarim,50.00%,50.00%,2.49 : 1,3.15 : 1,52.12%,54.63%,"16,082","18,348",50.00%,50.00%,51.17%,49.85%,1.95%,4.29%,3.81%,4.62%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,49.44%,50.56%,2.65 : 1,3.91 : 1,52.99%,60.36%,"14,275","10,548",49.44%,50.56%,51.17%,52.00%,1.95%,1.45%,3.81%,0.82%
janna,,,,,,,,,,,,,,,,
jarvaniv,48.16%,51.84%,2.55 : 1,3.70 : 1,51.47%,63.30%,"16,155","16,658",48.16%,51.84%,51.17%,51.85%,1.95%,7.13%,3.81%,3.03%
