Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,47.90%,52.10%,53.37%,46.63%,2.59 : 1,2.58 : 1,54.45%,57.51%,47.90%,52.10%,50.76%,51.10%,4.95%,6.24%,12.59%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,58.62%,41.38%,55.61%,44.39%,2.56 : 1,2.20 : 1,51.20%,52.63%,58.62%,41.38%,50.76%,45.28%,4.95%,0.56%,12.59%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,46.57%,53.43%,52.17%,47.83%,2.63 : 1,3.02 : 1,53.34%,59.36%,46.57%,53.43%,50.76%,51.04%,4.95%,5.50%,12.59%,1.52%
belveth,,,,,,,,,,,,,,,,
brand,51.15%,48.85%,59.10%,40.90%,2.70 : 1,1.76 : 1,53.53%,48.55%,51.15%,48.85%,50.76%,48.81%,4.95%,1.45%,12.59%,1.10%
braum,45.97%,54.03%,48.12%,51.88%,2.44 : 1,3.02 : 1,54.09%,60.18%,45.97%,54.03%,50.76%,52.49%,4.95%,8.01%,12.59%,14.42%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,47.68%,52.32%,49.30%,50.70%,2.48 : 1,2.19 : 1,53.58%,51.68%,47.68%,52.32%,50.76%,52.55%,4.95%,1.60%,12.59%,5.40%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,55.00%,45.00%,56.62%,43.38%,3.02 : 1,2.05 : 1,55.47%,51.26%,55.00%,45.00%,50.76%,51.20%,4.95%,1.00%,12.59%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,46.43%,53.57%,49.56%,50.44%,2.49 : 1,2.56 : 1,53.30%,56.29%,46.43%,53.57%,50.76%,50.94%,4.95%,0.60%,12.59%,2.76%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,54.84%,45.16%,51.88%,48.12%,2.78 : 1,2.17 : 1,53.38%,54.19%,54.84%,45.16%,50.76%,48.97%,4.95%,0.76%,12.59%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,47.17%,52.83%,48.50%,51.50%,2.62 : 1,3.26 : 1,52.54%,61.21%,47.17%,52.83%,50.76%,52.40%,4.95%,4.89%,12.59%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,52.75%,47.25%,48.92%,51.08%,2.64 : 1,2.67 : 1,51.40%,56.88%,52.75%,47.25%,50.76%,50.09%,4.95%,9.39%,12.59%,5.33%
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
