Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.87%,49.13%,48.67%,51.33%,2.14 : 1,2.55 : 1,52.37%,52.87%,50.87%,49.13%,48.81%,51.10%,1.45%,6.24%,1.10%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,60.71%,39.29%,51.82%,48.18%,1.96 : 1,2.07 : 1,43.00%,50.56%,60.71%,39.29%,48.81%,45.28%,1.45%,0.56%,1.10%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,51.47%,48.53%,43.80%,56.20%,1.88 : 1,3.15 : 1,47.12%,57.22%,51.47%,48.53%,48.81%,51.04%,1.45%,5.50%,1.10%,1.52%
belveth,,,,,,,,,,,,,,,,
blitzcrank,48.85%,51.15%,40.90%,59.10%,1.76 : 1,2.70 : 1,48.55%,53.53%,48.85%,51.15%,48.81%,50.76%,1.45%,4.95%,1.10%,12.59%
braum,43.15%,56.85%,40.26%,59.74%,1.82 : 1,3.32 : 1,50.21%,58.21%,43.15%,56.85%,48.81%,52.49%,1.45%,8.01%,1.10%,14.42%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,49.02%,50.98%,39.44%,60.56%,1.67 : 1,2.38 : 1,46.75%,50.14%,49.02%,50.98%,48.81%,52.55%,1.45%,1.60%,1.10%,5.40%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,47.83%,52.17%,50.00%,50.00%,2.15 : 1,2.16 : 1,47.57%,49.62%,47.83%,52.17%,48.81%,51.20%,1.45%,1.00%,1.10%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,36.00%,64.00%,46.72%,53.28%,1.68 : 1,2.76 : 1,49.16%,56.58%,36.00%,64.00%,48.81%,50.94%,1.45%,0.60%,1.10%,2.76%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,54.55%,45.45%,44.44%,55.56%,1.88 : 1,2.24 : 1,42.67%,51.66%,54.55%,45.45%,48.81%,48.97%,1.45%,0.76%,1.10%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,44.90%,55.10%,35.03%,64.97%,1.81 : 1,3.76 : 1,47.20%,59.72%,44.90%,55.10%,48.81%,52.40%,1.45%,4.89%,1.10%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,45.75%,54.25%,38.43%,61.57%,1.75 : 1,3.22 : 1,45.57%,55.38%,45.75%,54.25%,48.81%,50.09%,1.45%,9.39%,1.10%,5.33%
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
