Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,49.65%,50.35%,55.29%,44.71%,3.07 : 1,2.56 : 1,60.44%,57.97%,49.65%,50.35%,52.49%,51.10%,8.01%,6.24%,14.42%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,60.76%,39.24%,56.37%,43.63%,3.48 : 1,2.19 : 1,55.88%,53.49%,60.76%,39.24%,52.49%,45.28%,8.01%,0.56%,14.42%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,49.76%,50.24%,48.34%,51.66%,2.91 : 1,3.33 : 1,58.53%,61.56%,49.76%,50.24%,52.49%,51.04%,8.01%,5.50%,14.42%,1.52%
belveth,,,,,,,,,,,,,,,,
blitzcrank,54.03%,45.97%,51.88%,48.12%,3.02 : 1,2.44 : 1,60.18%,54.09%,54.03%,45.97%,52.49%,50.76%,8.01%,4.95%,14.42%,12.59%
brand,56.85%,43.15%,59.74%,40.26%,3.32 : 1,1.82 : 1,58.21%,50.21%,56.85%,43.15%,52.49%,48.81%,8.01%,1.45%,14.42%,1.10%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,48.72%,51.28%,48.48%,51.52%,2.76 : 1,2.39 : 1,59.31%,53.46%,48.72%,51.28%,52.49%,52.55%,8.01%,1.60%,14.42%,5.40%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,40.85%,59.15%,57.12%,42.88%,2.88 : 1,2.43 : 1,59.68%,54.07%,40.85%,59.15%,52.49%,51.20%,8.01%,1.00%,14.42%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,59.57%,40.43%,58.71%,41.29%,3.30 : 1,2.17 : 1,60.74%,55.31%,59.57%,40.43%,52.49%,50.94%,8.01%,0.60%,14.42%,2.76%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,47.83%,52.17%,51.73%,48.27%,2.84 : 1,2.54 : 1,55.68%,53.79%,47.83%,52.17%,52.49%,48.97%,8.01%,0.76%,14.42%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,50.61%,49.39%,49.62%,50.38%,3.14 : 1,3.37 : 1,57.16%,60.28%,50.61%,49.39%,52.49%,52.40%,8.01%,4.89%,14.42%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,53.84%,46.16%,51.10%,48.90%,3.16 : 1,2.76 : 1,58.38%,57.42%,53.84%,46.16%,52.49%,50.09%,8.01%,9.39%,14.42%,5.33%
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
