Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,51.79%,48.21%,2.38 : 1,2.42 : 1,52.63%,51.34%,"22,165","18,112",51.79%,48.21%,52.59%,49.89%,3.97%,1.98%,4.25%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,51.01%,48.99%,2.45 : 1,2.50 : 1,53.41%,51.94%,"21,777","17,920",51.01%,48.99%,52.59%,51.17%,3.97%,1.95%,4.25%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,51.29%,48.71%,2.64 : 1,2.35 : 1,54.58%,51.96%,"24,215","22,742",51.29%,48.71%,52.59%,51.17%,3.97%,5.32%,4.25%,6.00%
drmundo,49.03%,50.97%,2.35 : 1,2.86 : 1,50.86%,49.95%,"24,923","21,675",49.03%,50.97%,52.59%,49.03%,3.97%,1.61%,4.25%,15.04%
draven,,,,,,,,,,,,,,,,
ekko,50.44%,49.56%,2.40 : 1,2.72 : 1,52.40%,53.37%,"23,519","22,954",50.44%,49.56%,52.59%,51.49%,3.97%,6.36%,4.25%,4.77%
elise,57.36%,42.64%,2.44 : 1,2.59 : 1,52.06%,53.34%,"21,714","21,234",57.36%,42.64%,52.59%,50.84%,3.97%,3.31%,4.25%,5.61%
evelynn,54.73%,45.27%,2.53 : 1,2.75 : 1,51.65%,53.76%,"22,836","24,834",54.73%,45.27%,52.59%,51.04%,3.97%,2.67%,4.25%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.63%,49.37%,2.46 : 1,2.66 : 1,53.16%,51.39%,"23,540","21,226",50.63%,49.37%,52.59%,52.24%,3.97%,3.05%,4.25%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,60.87%,39.13%,2.90 : 1,2.39 : 1,54.56%,51.29%,"24,678","22,554",60.87%,39.13%,52.59%,50.96%,3.97%,1.19%,4.25%,1.65%
graves,52.31%,47.69%,2.42 : 1,2.59 : 1,51.53%,53.43%,"21,673","23,796",52.31%,47.69%,52.59%,49.66%,3.97%,5.73%,4.25%,4.45%
gwen,44.44%,55.56%,2.37 : 1,2.60 : 1,52.23%,48.82%,"22,586","23,560",44.44%,55.56%,52.59%,50.93%,3.97%,1.25%,4.25%,8.41%
hecarim,52.28%,47.72%,2.37 : 1,2.85 : 1,52.83%,54.71%,"22,825","21,549",52.28%,47.72%,52.59%,49.85%,3.97%,4.29%,4.25%,4.62%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,56.62%,43.38%,2.51 : 1,3.39 : 1,52.11%,60.20%,"20,555","12,638",56.62%,43.38%,52.59%,52.00%,3.97%,1.45%,4.25%,0.82%
janna,,,,,,,,,,,,,,,,
jarvaniv,54.83%,45.17%,2.57 : 1,3.06 : 1,54.01%,63.00%,"22,427","18,343",54.83%,45.17%,52.59%,51.85%,3.97%,7.13%,4.25%,3.03%
