Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.63%,49.37%,51.56%,48.44%,2.33 : 1,2.02 : 1,46.26%,44.23%,"23,696","24,647","14'53""","15'31""",50.63%,49.37%,49.89%,50.14%,11.03%,8.80%,12.86%,3.14%
ashe,51.37%,48.63%,50.07%,49.93%,2.18 : 1,2.32 : 1,45.87%,48.54%,"24,315","21,849","14'48""","16'8""",51.37%,48.63%,49.89%,50.67%,11.03%,5.77%,12.86%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,47.97%,52.03%,42.82%,57.18%,2.02 : 1,2.68 : 1,45.31%,49.14%,"24,350","25,602","15'3""","15'5""",47.97%,52.03%,49.89%,49.50%,11.03%,2.33%,12.86%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,52.39%,47.61%,49.38%,50.62%,2.19 : 1,2.05 : 1,47.07%,47.35%,"22,921","23,522","14'55""","15'6""",52.39%,47.61%,49.89%,49.66%,11.03%,4.13%,12.86%,18.94%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,49.73%,50.27%,44.97%,55.03%,2.08 : 1,2.67 : 1,44.42%,46.90%,"23,980","27,127","14'55""","15'25""",49.73%,50.27%,49.89%,48.38%,11.03%,13.75%,12.86%,4.99%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,52.26%,47.74%,45.85%,54.15%,2.09 : 1,2.65 : 1,43.96%,48.89%,"24,544","27,264","16'2""","16'11""",52.26%,47.74%,49.89%,52.22%,11.03%,0.91%,12.86%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
jhin,49.23%,50.77%,41.65%,58.35%,1.97 : 1,3.06 : 1,43.90%,50.69%,"23,795","22,703","15'19""","15'55""",49.23%,50.77%,49.89%,49.78%,11.03%,14.90%,12.86%,1.45%
