Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.50%,47.50%,47.16%,52.84%,1.78 : 1,1.80 : 1,37.44%,37.13%,"23,507","22,446","17'4""","15'57""",52.50%,47.50%,51.15%,49.98%,3.68%,10.07%,1.44%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,53.15%,46.85%,43.96%,56.04%,1.71 : 1,2.02 : 1,35.95%,38.22%,"20,500","23,370","18'0""","17'21""",53.15%,46.85%,51.15%,49.86%,3.68%,1.63%,1.44%,9.76%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
cassiopeia,64.52%,35.48%,60.00%,40.00%,2.52 : 1,1.25 : 1,41.73%,33.15%,"21,255","20,095","17'18""","15'56""",64.52%,35.48%,51.15%,51.01%,3.68%,0.58%,1.44%,1.10%
chogath,47.35%,52.65%,56.27%,43.73%,2.10 : 1,1.85 : 1,40.49%,36.74%,"28,726","23,138","17'5""","15'58""",47.35%,52.65%,51.15%,51.77%,3.68%,3.21%,1.44%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,49.70%,50.30%,51.30%,48.70%,1.93 : 1,1.68 : 1,39.17%,35.01%,"21,973","20,833","17'12""","15'42""",49.70%,50.30%,51.15%,50.08%,3.68%,5.74%,1.44%,13.68%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,49.23%,50.77%,57.17%,42.83%,2.15 : 1,1.64 : 1,39.95%,34.10%,"33,452","26,371","16'43""","15'18""",49.23%,50.77%,51.15%,50.49%,3.68%,7.36%,1.44%,15.53%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,45.68%,54.32%,53.74%,46.26%,1.92 : 1,1.47 : 1,39.46%,34.01%,"24,148","23,656","16'42""","15'21""",45.68%,54.32%,51.15%,51.42%,3.68%,4.67%,1.44%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,40.74%,59.26%,45.45%,54.55%,1.92 : 1,2.53 : 1,42.42%,47.09%,"26,159","18,498","16'10""","17'12""",40.74%,59.26%,51.15%,48.95%,3.68%,0.54%,1.44%,2.77%
gangplank,46.82%,53.18%,55.85%,44.15%,1.86 : 1,1.98 : 1,39.02%,41.53%,"23,756","27,533","17'54""","16'11""",46.82%,53.18%,51.15%,50.85%,3.68%,4.85%,1.44%,4.92%
garen,53.22%,46.78%,51.81%,48.19%,2.04 : 1,1.58 : 1,40.36%,33.54%,"26,403","20,341","16'40""","16'26""",53.22%,46.78%,51.15%,50.47%,3.68%,3.85%,1.44%,2.29%
gnar,50.99%,49.01%,55.65%,44.35%,1.95 : 1,1.74 : 1,39.18%,36.32%,"20,838","21,941","17'37""","16'21""",50.99%,49.01%,51.15%,49.48%,3.68%,3.22%,1.44%,0.95%
gragas,50.67%,49.33%,40.71%,59.29%,1.75 : 1,2.27 : 1,36.50%,39.21%,"22,732","22,148","18'3""","16'2""",50.67%,49.33%,51.15%,50.69%,3.68%,3.44%,1.44%,1.74%
graves,,,,,,,,,,,,,,,,,,,,
gwen,58.04%,41.96%,47.80%,52.20%,1.87 : 1,1.61 : 1,39.15%,37.31%,"23,323","25,832","17'28""","15'28""",58.04%,41.96%,51.15%,49.94%,3.68%,3.46%,1.44%,8.67%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,36.84%,63.16%,45.13%,54.87%,1.73 : 1,2.01 : 1,40.49%,38.67%,"17,980","30,760","19'22""","13'11""",36.84%,63.16%,51.15%,52.80%,3.68%,0.99%,1.44%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,43.44%,56.56%,53.16%,46.84%,1.77 : 1,1.55 : 1,37.86%,32.74%,"24,864","28,177","18'57""","14'30""",43.44%,56.56%,51.15%,49.44%,3.68%,1.69%,1.44%,2.87%
irelia,50.26%,49.74%,53.38%,46.62%,2.01 : 1,1.45 : 1,41.14%,36.16%,"22,618","21,215","16'46""","15'3""",50.26%,49.74%,51.15%,51.32%,3.68%,4.46%,1.44%,13.91%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,45.98%,54.02%,48.46%,51.54%,1.77 : 1,1.73 : 1,38.12%,35.01%,"21,743","22,820","17'41""","15'12""",45.98%,54.02%,51.15%,50.44%,3.68%,6.91%,1.44%,8.87%
jayce,52.37%,47.63%,56.35%,43.65%,1.99 : 1,1.66 : 1,39.58%,39.84%,"20,508","24,579","16'55""","15'30""",52.37%,47.63%,51.15%,49.03%,3.68%,5.02%,1.44%,8.04%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,52.40%,47.60%,56.86%,43.14%,1.99 : 1,1.60 : 1,38.60%,37.88%,"21,902","21,547","16'19""","17'37""",52.40%,47.60%,51.15%,52.27%,3.68%,3.66%,1.44%,4.65%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,45.81%,54.19%,52.72%,47.28%,1.86 : 1,1.83 : 1,38.76%,38.17%,"20,848","25,196","17'38""","17'20""",45.81%,54.19%,51.15%,52.54%,3.68%,2.32%,1.44%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,54.72%,45.28%,46.63%,53.37%,2.04 : 1,1.98 : 1,39.87%,42.30%,"24,836","22,487","16'54""","15'28""",54.72%,45.28%,51.15%,51.96%,3.68%,1.49%,1.44%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,53.56%,46.44%,45.21%,54.79%,1.83 : 1,2.09 : 1,37.30%,39.20%,"23,972","20,352","17'55""","16'34""",53.56%,46.44%,51.15%,48.52%,3.68%,4.37%,1.44%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,51.64%,48.36%,46.54%,53.46%,1.79 : 1,2.31 : 1,35.81%,38.98%,"21,355","21,420","17'6""","16'53""",51.64%,48.36%,51.15%,52.35%,3.68%,4.64%,1.44%,8.57%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,49.65%,50.35%,46.76%,53.24%,1.69 : 1,1.95 : 1,35.75%,36.71%,"22,662","25,487","17'45""","15'27""",49.65%,50.35%,51.15%,51.84%,3.68%,5.22%,1.44%,5.97%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,52.52%,47.48%,52.08%,47.92%,1.91 : 1,1.70 : 1,38.29%,34.43%,"27,883","20,175","16'41""","16'53""",52.52%,47.48%,51.15%,51.36%,3.68%,2.96%,1.44%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,54.07%,45.93%,55.86%,44.14%,2.19 : 1,1.59 : 1,42.02%,38.31%,"25,294","25,505","16'44""","15'49""",54.07%,45.93%,51.15%,52.41%,3.68%,1.69%,1.44%,1.37%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,52.46%,47.54%,46.89%,53.11%,1.78 : 1,2.31 : 1,37.12%,40.16%,"24,763","18,620","17'8""","16'19""",52.46%,47.54%,51.15%,51.23%,3.68%,3.76%,1.44%,0.43%
pantheon,46.20%,53.80%,50.00%,50.00%,1.76 : 1,2.00 : 1,39.03%,39.32%,"20,823","24,360","17'18""","16'10""",46.20%,53.80%,51.15%,51.43%,3.68%,2.15%,1.44%,10.61%
poppy,53.02%,46.98%,48.70%,51.30%,1.89 : 1,1.94 : 1,37.33%,36.76%,"22,712","22,231","17'17""","16'0""",53.02%,46.98%,51.15%,51.68%,3.68%,1.38%,1.44%,6.60%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,47.44%,52.56%,57.53%,42.47%,2.06 : 1,1.94 : 1,40.97%,42.62%,"21,367","25,807","16'22""","18'2""",47.44%,52.56%,51.15%,53.71%,3.68%,1.86%,1.44%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,52.71%,47.29%,49.26%,50.74%,1.85 : 1,1.79 : 1,39.38%,37.17%,"23,988","22,230","18'0""","15'23""",52.71%,47.29%,51.15%,50.31%,3.68%,6.83%,1.44%,5.72%
rengar,,,,,,,,,,,,,,,,,,,,
riven,49.49%,50.51%,49.43%,50.57%,1.94 : 1,1.77 : 1,40.52%,38.25%,"21,490","20,801","16'43""","16'22""",49.49%,50.51%,51.15%,52.41%,3.68%,4.76%,1.44%,3.77%
rumble,55.81%,44.19%,54.05%,45.95%,1.95 : 1,1.82 : 1,40.51%,40.21%,"21,383","26,227","17'8""","16'18""",55.81%,44.19%,51.15%,48.23%,3.68%,1.58%,1.44%,0.58%
ryze,52.94%,47.06%,54.19%,45.81%,2.12 : 1,1.91 : 1,40.23%,41.29%,"22,714","25,718","17'51""","16'27""",52.94%,47.06%,51.15%,50.50%,3.68%,1.11%,1.44%,0.64%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,49.38%,50.62%,54.30%,45.70%,1.96 : 1,1.62 : 1,39.90%,36.27%,"26,014","24,636","17'4""","15'26""",49.38%,50.62%,51.15%,52.64%,3.68%,7.21%,1.44%,4.78%
shaco,,,,,,,,,,,,,,,,,,,,
shen,51.08%,48.92%,51.48%,48.52%,1.92 : 1,2.47 : 1,38.64%,45.28%,"23,662","19,933","16'31""","18'26""",51.08%,48.92%,51.15%,51.63%,3.68%,5.08%,1.44%,3.71%
shyvana,,,,,,,,,,,,,,,,,,,,
singed,51.76%,48.24%,59.64%,40.36%,2.17 : 1,1.83 : 1,38.98%,39.53%,"23,450","20,251","16'45""","16'58""",51.76%,48.24%,51.15%,51.76%,3.68%,1.72%,1.44%,0.41%
sion,52.56%,47.44%,59.02%,40.98%,2.18 : 1,1.76 : 1,39.80%,38.57%,"28,215","22,749","17'55""","15'29""",52.56%,47.44%,51.15%,50.31%,3.68%,4.58%,1.44%,0.96%
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,,,,,
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,,,,,,,,,,,,,,,,,,,,
sylas,59.05%,40.95%,50.80%,49.20%,2.17 : 1,1.55 : 1,41.37%,37.47%,"22,849","19,046","16'16""","17'31""",59.05%,40.95%,51.15%,48.64%,3.68%,1.69%,1.44%,9.71%
syndra,,,,,,,,,,,,,,,,,,,,
tahmkench,50.94%,49.06%,49.42%,50.58%,2.02 : 1,1.98 : 1,40.04%,37.42%,"26,287","20,277","17'20""","16'27""",50.94%,49.06%,51.15%,51.38%,3.68%,0.79%,1.44%,0.88%
taliyah,,,,,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,,,,,
taric,,,,,,,,,,,,,,,,,,,,
teemo,37.02%,62.98%,50.27%,49.73%,1.69 : 1,1.88 : 1,38.09%,37.61%,"17,854","30,025","18'46""","15'45""",37.02%,62.98%,51.15%,51.35%,3.68%,2.62%,1.44%,3.95%
thresh,,,,,,,,,,,,,,,,,,,,
tristana,,,,,,,,,,,,,,,,,,,,
trundle,54.60%,45.40%,60.44%,39.56%,2.37 : 1,1.22 : 1,40.39%,33.20%,"26,185","20,242","16'5""","14'31""",54.60%,45.40%,51.15%,51.03%,3.68%,2.03%,1.44%,2.31%
tryndamere,48.20%,51.80%,50.50%,49.50%,2.12 : 1,1.58 : 1,40.74%,33.24%,"26,333","22,104","17'47""","14'16""",48.20%,51.80%,51.15%,50.60%,3.68%,2.10%,1.44%,1.66%
twistedfate,,,,,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,,,,,
udyr,58.82%,41.18%,63.27%,36.73%,2.37 : 1,1.21 : 1,40.43%,31.58%,"23,129","17,888","15'50""","15'45""",58.82%,41.18%,51.15%,43.85%,3.68%,0.84%,1.44%,2.63%
urgot,45.96%,54.04%,56.83%,43.17%,1.89 : 1,1.85 : 1,40.11%,38.15%,"21,863","23,808","16'45""","16'45""",45.96%,54.04%,51.15%,52.64%,3.68%,2.75%,1.44%,0.87%
varus,57.14%,42.86%,53.20%,46.80%,1.68 : 1,1.56 : 1,37.87%,39.23%,"19,967","25,505","16'59""","15'55""",57.14%,42.86%,51.15%,49.01%,3.68%,0.86%,1.44%,1.59%
vayne,62.16%,37.84%,52.19%,47.81%,1.89 : 1,1.63 : 1,37.62%,40.25%,"17,907","25,117","16'10""","16'30""",62.16%,37.84%,51.15%,50.06%,3.68%,1.22%,1.44%,3.99%
veigar,,,,,,,,,,,,,,,,,,,,
velkoz,,,,,,,,,,,,,,,,,,,,
vex,,,,,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,,,,,
viktor,,,,,,,,,,,,,,,,,,,,
vladimir,42.29%,57.71%,45.33%,54.67%,1.67 : 1,2.15 : 1,37.30%,37.41%,"23,558","27,156","17'43""","16'27""",42.29%,57.71%,51.15%,51.13%,3.68%,3.07%,1.44%,10.34%
volibear,47.58%,52.42%,55.43%,44.57%,1.98 : 1,1.62 : 1,39.80%,36.92%,"22,378","22,897","17'8""","15'3""",47.58%,52.42%,51.15%,49.78%,3.68%,2.76%,1.44%,4.42%
