Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,54.19%,45.81%,39.91%,60.09%,1.93 : 1,2.87 : 1,41.61%,47.26%,"22,135","22,771","19'25""","16'44""",54.19%,45.81%,51.10%,49.46%,1.25%,7.97%,1.22%,2.82%
akali,41.67%,58.33%,37.45%,62.55%,1.69 : 1,2.80 : 1,43.13%,47.13%,"23,190","25,697","17'30""","17'54""",41.67%,58.33%,51.10%,50.97%,1.25%,6.66%,1.22%,10.13%
akshan,41.24%,58.76%,43.02%,56.98%,1.90 : 1,2.74 : 1,42.65%,50.82%,"22,084","26,969","17'53""","16'52""",41.24%,58.76%,51.10%,52.49%,1.25%,2.43%,1.22%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,45.45%,54.55%,38.46%,61.54%,1.91 : 1,2.54 : 1,40.16%,39.64%,"23,709","20,034","18'17""","17'16""",45.45%,54.55%,51.10%,52.39%,1.25%,2.22%,1.22%,1.84%
annie,57.14%,42.86%,45.85%,54.15%,2.01 : 1,2.27 : 1,44.38%,47.00%,"23,944","24,346","15'28""","19'27""",57.14%,42.86%,51.10%,51.85%,1.25%,2.77%,1.22%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,46.15%,53.85%,48.54%,51.46%,2.12 : 1,3.24 : 1,44.38%,54.48%,"23,450","29,083","19'38""","18'42""",46.15%,53.85%,51.10%,51.10%,1.25%,2.09%,1.22%,0.64%
azir,46.05%,53.95%,47.98%,52.02%,2.17 : 1,2.05 : 1,44.86%,41.80%,"25,205","26,399","18'25""","16'21""",46.05%,53.95%,51.10%,47.27%,1.25%,2.77%,1.22%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
chogath,60.00%,40.00%,40.74%,59.26%,2.32 : 1,2.39 : 1,42.25%,44.67%,"25,605","24,640","18'22""","17'35""",60.00%,40.00%,51.10%,50.89%,1.25%,0.65%,1.22%,0.89%
corki,69.57%,30.43%,46.39%,53.61%,1.91 : 1,2.15 : 1,38.69%,47.78%,"23,604","25,780","19'27""","16'41""",69.57%,30.43%,51.10%,45.49%,1.25%,0.93%,1.22%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,53.38%,46.62%,44.33%,55.67%,1.87 : 1,2.22 : 1,42.70%,48.49%,"22,681","25,860","18'12""","15'16""",53.38%,46.62%,51.10%,51.71%,1.25%,4.20%,1.22%,5.96%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,46.73%,53.27%,44.08%,55.92%,2.13 : 1,2.36 : 1,43.81%,44.51%,"23,012","23,111","19'36""","16'6""",46.73%,53.27%,51.10%,50.98%,1.25%,3.17%,1.22%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,64.20%,35.80%,39.02%,60.98%,1.83 : 1,2.17 : 1,40.95%,46.38%,"22,926","21,227","17'48""","16'57""",64.20%,35.80%,51.10%,50.26%,1.25%,2.70%,1.22%,3.02%
