Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,49.39%,50.61%,42.70%,57.30%,1.81 : 1,2.09 : 1,37.50%,38.86%,"22,783","28,997","17'27""","16'20""",49.39%,50.61%,51.77%,49.98%,3.21%,10.07%,0.99%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,50.45%,49.55%,39.39%,60.61%,1.77 : 1,2.20 : 1,38.14%,38.52%,"21,960","27,775","16'42""","17'53""",50.45%,49.55%,51.77%,49.86%,3.21%,1.63%,0.99%,9.76%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,52.65%,47.35%,43.73%,56.27%,1.85 : 1,2.10 : 1,36.74%,40.49%,"23,138","28,726","15'58""","17'5""",52.65%,47.35%,51.77%,51.15%,3.21%,3.68%,0.99%,1.44%
