Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,53.15%,46.85%,55.30%,44.70%,2.85 : 1,1.92 : 1,50.19%,45.89%,"24,896","24,551","15'1""","15'15""",53.15%,46.85%,49.50%,50.14%,2.33%,8.80%,0.52%,3.14%
ashe,49.63%,50.37%,55.59%,44.41%,2.56 : 1,2.23 : 1,50.47%,49.98%,"26,346","21,887","14'56""","16'9""",49.63%,50.37%,49.50%,50.67%,2.33%,5.77%,0.52%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,52.03%,47.97%,57.18%,42.82%,2.68 : 1,2.02 : 1,49.14%,45.31%,"25,602","24,350","15'5""","15'3""",52.03%,47.97%,49.50%,49.89%,2.33%,11.03%,0.52%,12.86%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,54.90%,45.10%,53.87%,46.13%,2.66 : 1,1.98 : 1,51.24%,48.11%,"25,598","23,907","15'30""","15'12""",54.90%,45.10%,49.50%,49.66%,2.33%,4.13%,0.52%,18.94%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,52.83%,47.17%,49.53%,50.47%,2.52 : 1,2.46 : 1,48.44%,47.16%,"25,504","26,992","15'19""","15'42""",52.83%,47.17%,49.50%,48.38%,2.33%,13.75%,0.52%,4.99%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,34.04%,65.96%,50.36%,49.64%,2.12 : 1,3.19 : 1,50.22%,50.85%,"22,111","24,441","15'49""","15'27""",34.04%,65.96%,49.50%,52.22%,2.33%,0.91%,0.52%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
jhin,49.75%,50.25%,46.27%,53.73%,2.21 : 1,2.85 : 1,46.70%,51.19%,"24,972","22,144","15'23""","16'3""",49.75%,50.25%,49.50%,49.78%,2.33%,14.90%,0.52%,1.45%
