Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.34%,49.66%,47.06%,52.94%,1.63 : 1,1.86 : 1,35.35%,37.68%,"21,213","22,112","16'33""","17'3""",50.34%,49.66%,50.08%,49.98%,5.74%,10.07%,13.68%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,54.03%,45.97%,44.47%,55.53%,1.62 : 1,1.87 : 1,34.66%,38.05%,"18,986","24,338","17'23""","17'20""",54.03%,45.97%,50.08%,49.86%,5.74%,1.63%,13.68%,9.76%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,50.20%,49.80%,48.68%,51.32%,1.68 : 1,1.93 : 1,35.02%,39.25%,"20,799","21,972","15'42""","17'12""",50.20%,49.80%,50.08%,51.15%,5.74%,3.68%,13.68%,1.44%
cassiopeia,56.72%,43.28%,53.79%,46.21%,1.78 : 1,1.72 : 1,37.56%,38.76%,"18,850","25,045","16'48""","18'11""",56.72%,43.28%,50.08%,51.01%,5.74%,0.58%,13.68%,1.10%
chogath,47.75%,52.25%,54.26%,45.74%,1.77 : 1,2.00 : 1,35.61%,37.77%,"23,683","21,673","16'18""","17'21""",47.75%,52.25%,50.08%,51.77%,5.74%,3.21%,13.68%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,46.88%,53.12%,46.64%,53.36%,1.73 : 1,2.05 : 1,33.45%,34.85%,"26,880","26,149","17'19""","15'57""",46.88%,53.12%,50.08%,50.49%,5.74%,7.36%,13.68%,15.53%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,48.96%,51.04%,54.86%,45.14%,1.80 : 1,1.48 : 1,35.93%,34.40%,"21,077","21,821","15'42""","16'5""",48.96%,51.04%,50.08%,51.42%,5.74%,4.67%,13.68%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,53.49%,46.51%,59.21%,40.79%,1.86 : 1,2.27 : 1,38.08%,44.46%,"24,819","18,444","16'42""","19'36""",53.49%,46.51%,50.08%,48.95%,5.74%,0.54%,13.68%,2.77%
gangplank,46.88%,53.12%,53.46%,46.54%,1.70 : 1,2.15 : 1,34.65%,42.65%,"19,604","26,614","17'19""","16'47""",46.88%,53.12%,50.08%,50.85%,5.74%,4.85%,13.68%,4.92%
garen,48.83%,51.17%,52.94%,47.06%,1.75 : 1,1.79 : 1,35.33%,34.40%,"21,606","19,848","16'22""","16'47""",48.83%,51.17%,50.08%,50.47%,5.74%,3.85%,13.68%,2.29%
gnar,52.44%,47.56%,54.85%,45.15%,1.78 : 1,1.88 : 1,34.26%,37.43%,"18,923","22,507","16'46""","17'4""",52.44%,47.56%,50.08%,49.48%,5.74%,3.22%,13.68%,0.95%
gragas,46.75%,53.25%,45.98%,54.02%,1.67 : 1,2.23 : 1,33.93%,38.40%,"20,387","22,703","17'6""","16'50""",46.75%,53.25%,50.08%,50.69%,5.74%,3.44%,13.68%,1.74%
graves,,,,,,,,,,,,,,,,,,,,
gwen,46.13%,53.87%,53.29%,46.71%,1.81 : 1,1.55 : 1,37.29%,35.30%,"21,110","22,926","16'10""","16'14""",46.13%,53.87%,50.08%,49.94%,5.74%,3.46%,13.68%,8.67%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,44.00%,56.00%,48.33%,51.67%,1.68 : 1,1.62 : 1,33.83%,35.19%,"16,023","29,537","18'24""","14'59""",44.00%,56.00%,50.08%,52.80%,5.74%,0.99%,13.68%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,52.38%,47.62%,51.07%,48.93%,1.69 : 1,1.48 : 1,34.65%,33.94%,"23,988","26,703","17'21""","15'42""",52.38%,47.62%,50.08%,49.44%,5.74%,1.69%,13.68%,2.87%
irelia,49.07%,50.93%,49.10%,50.90%,1.76 : 1,1.55 : 1,37.42%,37.27%,"20,326","20,961","16'15""","15'37""",49.07%,50.93%,50.08%,51.32%,5.74%,4.46%,13.68%,13.91%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,49.85%,50.15%,47.18%,52.82%,1.68 : 1,1.71 : 1,35.42%,35.62%,"20,000","21,545","16'33""","15'44""",49.85%,50.15%,50.08%,50.44%,5.74%,6.91%,13.68%,8.87%
jayce,49.45%,50.55%,53.42%,46.58%,1.73 : 1,1.88 : 1,34.85%,40.82%,"15,738","24,327","16'48""","16'14""",49.45%,50.55%,50.08%,49.03%,5.74%,5.02%,13.68%,8.04%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,47.87%,52.13%,58.93%,41.07%,1.91 : 1,1.63 : 1,35.54%,36.97%,"18,679","21,570","15'50""","18'5""",47.87%,52.13%,50.08%,52.27%,5.74%,3.66%,13.68%,4.65%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,43.90%,56.10%,52.34%,47.66%,1.68 : 1,1.99 : 1,35.69%,39.18%,"17,229","25,530","17'6""","17'19""",43.90%,56.10%,50.08%,52.54%,5.74%,2.32%,13.68%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,43.89%,56.11%,45.43%,54.57%,1.55 : 1,2.12 : 1,36.74%,41.79%,"23,593","23,257","15'54""","15'21""",43.89%,56.11%,50.08%,51.96%,5.74%,1.49%,13.68%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,51.74%,48.26%,42.03%,57.97%,1.51 : 1,2.15 : 1,32.96%,38.14%,"20,997","18,728","17'23""","16'48""",51.74%,48.26%,50.08%,48.52%,5.74%,4.37%,13.68%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,48.36%,51.64%,45.06%,54.94%,1.61 : 1,2.33 : 1,34.86%,39.74%,"19,677","20,873","16'33""","17'8""",48.36%,51.64%,50.08%,52.35%,5.74%,4.64%,13.68%,8.57%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,49.48%,50.52%,49.76%,50.24%,1.63 : 1,1.68 : 1,35.67%,35.56%,"22,244","23,273","16'58""","16'54""",49.48%,50.52%,50.08%,51.84%,5.74%,5.22%,13.68%,5.97%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,49.39%,50.61%,52.31%,47.69%,1.69 : 1,1.66 : 1,34.57%,31.97%,"21,882","18,070","16'4""","17'23""",49.39%,50.61%,50.08%,51.36%,5.74%,2.96%,13.68%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,48.67%,51.33%,47.86%,52.14%,1.71 : 1,1.78 : 1,37.93%,38.47%,"21,644","24,405","16'17""","15'42""",48.67%,51.33%,50.08%,52.41%,5.74%,1.69%,13.68%,1.37%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,49.21%,50.79%,47.33%,52.67%,1.64 : 1,2.38 : 1,33.93%,40.24%,"21,447","18,500","17'5""","17'10""",49.21%,50.79%,50.08%,51.23%,5.74%,3.76%,13.68%,0.43%
pantheon,47.59%,52.41%,46.23%,53.77%,1.52 : 1,2.05 : 1,36.06%,42.93%,"19,080","25,737","16'13""","17'3""",47.59%,52.41%,50.08%,51.43%,5.74%,2.15%,13.68%,10.61%
poppy,51.92%,48.08%,50.75%,49.25%,1.79 : 1,1.99 : 1,35.17%,37.74%,"23,456","20,328","16'4""","17'53""",51.92%,48.08%,50.08%,51.68%,5.74%,1.38%,13.68%,6.60%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,43.58%,56.42%,55.10%,44.90%,1.81 : 1,2.04 : 1,35.01%,44.84%,"16,476","27,856","15'39""","18'14""",43.58%,56.42%,50.08%,53.71%,5.74%,1.86%,13.68%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,48.80%,51.20%,48.96%,51.04%,1.64 : 1,1.78 : 1,35.23%,35.97%,"21,512","20,341","16'34""","16'22""",48.80%,51.20%,50.08%,50.31%,5.74%,6.83%,13.68%,5.72%
rengar,,,,,,,,,,,,,,,,,,,,
riven,48.09%,51.91%,46.84%,53.16%,1.59 : 1,1.92 : 1,35.18%,39.05%,"19,013","21,222","16'15""","16'32""",48.09%,51.91%,50.08%,52.41%,5.74%,4.76%,13.68%,3.77%
rumble,48.15%,51.85%,53.99%,46.01%,1.75 : 1,1.92 : 1,35.73%,39.87%,"18,806","25,437","16'51""","17'56""",48.15%,51.85%,50.08%,48.23%,5.74%,1.58%,13.68%,0.58%
ryze,52.80%,47.20%,53.83%,46.17%,1.77 : 1,1.81 : 1,34.09%,37.69%,"18,095","26,435","17'10""","16'24""",52.80%,47.20%,50.08%,50.50%,5.74%,1.11%,13.68%,0.64%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,48.05%,51.95%,50.25%,49.75%,1.67 : 1,1.66 : 1,36.59%,37.26%,"23,151","24,927","16'11""","15'48""",48.05%,51.95%,50.08%,52.64%,5.74%,7.21%,13.68%,4.78%
shaco,,,,,,,,,,,,,,,,,,,,
shen,47.25%,52.75%,47.85%,52.15%,1.66 : 1,2.72 : 1,36.44%,45.38%,"22,069","17,457","15'13""","19'32""",47.25%,52.75%,50.08%,51.63%,5.74%,5.08%,13.68%,3.71%
shyvana,,,,,,,,,,,,,,,,,,,,
singed,50.47%,49.53%,65.83%,34.17%,2.31 : 1,1.74 : 1,39.64%,39.06%,"22,012","21,109","16'12""","18'5""",50.47%,49.53%,50.08%,51.76%,5.74%,1.72%,13.68%,0.41%
sion,49.83%,50.17%,61.57%,38.43%,2.07 : 1,1.68 : 1,37.37%,37.39%,"26,488","20,411","16'55""","16'48""",49.83%,50.17%,50.08%,50.31%,5.74%,4.58%,13.68%,0.96%
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,,,,,
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,,,,,,,,,,,,,,,,,,,,
sylas,59.38%,40.63%,49.49%,50.51%,1.86 : 1,1.69 : 1,36.09%,38.96%,"20,835","19,945","16'4""","17'29""",59.38%,40.63%,50.08%,48.66%,5.74%,1.68%,13.68%,9.70%
syndra,,,,,,,,,,,,,,,,,,,,
tahmkench,44.54%,55.46%,46.44%,53.56%,1.56 : 1,2.22 : 1,33.70%,39.64%,"24,154","20,652","16'28""","18'10""",44.54%,55.46%,50.08%,51.38%,5.74%,0.79%,13.68%,0.88%
taliyah,,,,,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,,,,,
taric,,,,,,,,,,,,,,,,,,,,
teemo,45.53%,54.47%,52.37%,47.63%,1.68 : 1,1.70 : 1,34.56%,36.81%,"17,664","28,885","17'2""","16'46""",45.53%,54.47%,50.08%,51.35%,5.74%,2.62%,13.68%,3.95%
thresh,,,,,,,,,,,,,,,,,,,,
tristana,,,,,,,,,,,,,,,,,,,,
trundle,52.36%,47.64%,58.50%,41.50%,2.05 : 1,1.26 : 1,36.22%,32.75%,"23,287","19,549","15'45""","15'14""",52.36%,47.64%,50.08%,51.03%,5.74%,2.03%,13.68%,2.31%
tryndamere,53.51%,46.49%,48.69%,51.31%,1.76 : 1,1.47 : 1,34.97%,32.16%,"22,719","19,285","16'1""","15'46""",53.51%,46.49%,50.08%,50.62%,5.74%,2.10%,13.68%,1.67%
twistedfate,,,,,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,,,,,
udyr,61.02%,38.98%,62.38%,37.62%,2.16 : 1,1.16 : 1,36.43%,31.37%,"21,317","18,433","15'38""","16'32""",61.02%,38.98%,50.08%,43.96%,5.74%,0.84%,13.68%,2.64%
urgot,43.76%,56.24%,51.97%,48.03%,1.56 : 1,1.99 : 1,35.35%,38.14%,"18,448","21,646","16'38""","16'47""",43.76%,56.24%,50.08%,52.68%,5.74%,2.75%,13.68%,0.87%
varus,56.00%,44.00%,51.08%,48.92%,1.69 : 1,1.62 : 1,36.15%,38.86%,"16,485","24,219","16'28""","16'8""",56.00%,44.00%,50.08%,49.13%,5.74%,0.86%,13.68%,1.59%
