Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,47.98%,52.02%,2.43 : 1,2.68 : 1,52.58%,51.48%,"22,861","17,831",47.98%,52.02%,51.16%,49.86%,5.33%,1.98%,6.00%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,47.95%,52.05%,2.35 : 1,2.74 : 1,49.80%,53.14%,"19,929","17,310",47.95%,52.05%,51.16%,51.17%,5.33%,1.95%,6.00%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,48.71%,51.29%,2.35 : 1,2.64 : 1,51.96%,54.58%,"22,742","24,215",48.71%,51.29%,51.16%,52.58%,5.33%,3.97%,6.00%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
drmundo,53.66%,46.34%,2.69 : 1,2.83 : 1,53.19%,50.72%,"27,009","20,685",53.66%,46.34%,51.16%,49.03%,5.33%,1.61%,6.00%,15.04%
draven,,,,,,,,,,,,,,,,
ekko,50.12%,49.88%,2.43 : 1,2.99 : 1,50.73%,54.04%,"22,251","21,928",50.12%,49.88%,51.16%,51.52%,5.33%,6.36%,6.00%,4.77%
elise,52.03%,47.97%,2.45 : 1,2.66 : 1,51.95%,51.51%,"21,353","20,129",52.03%,47.97%,51.17%,50.82%,5.32%,3.31%,6.00%,5.61%
evelynn,52.46%,47.54%,2.35 : 1,3.12 : 1,50.76%,52.66%,"21,922","23,442",52.46%,47.54%,51.16%,51.00%,5.33%,2.68%,6.00%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.70%,49.30%,2.53 : 1,2.93 : 1,51.63%,51.66%,"22,216","21,219",50.70%,49.30%,51.16%,52.29%,5.33%,3.04%,6.00%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,53.74%,46.26%,2.55 : 1,2.64 : 1,52.20%,51.41%,"23,012","21,090",53.74%,46.26%,51.16%,50.97%,5.33%,1.19%,6.00%,1.66%
graves,55.00%,45.00%,2.52 : 1,2.43 : 1,50.52%,51.01%,"21,237","21,124",55.00%,45.00%,51.16%,49.66%,5.33%,5.72%,6.00%,4.44%
gwen,50.54%,49.46%,2.48 : 1,2.58 : 1,51.01%,52.37%,"20,924","22,416",50.54%,49.46%,51.16%,50.90%,5.33%,1.25%,6.00%,8.41%
hecarim,48.74%,51.26%,2.35 : 1,3.03 : 1,51.80%,55.31%,"22,579","20,571",48.74%,51.26%,51.16%,49.79%,5.33%,4.29%,6.00%,4.63%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,58.24%,41.76%,2.68 : 1,3.58 : 1,51.85%,59.99%,"20,033","10,435",58.24%,41.76%,51.16%,52.00%,5.33%,1.45%,6.00%,0.82%
janna,,,,,,,,,,,,,,,,
jarvaniv,49.42%,50.58%,2.31 : 1,3.53 : 1,52.03%,63.35%,"21,428","17,688",49.42%,50.58%,51.16%,51.87%,5.33%,7.13%,6.00%,3.04%
