Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,49.18%,50.82%,51.89%,48.11%,2.19 : 1,2.04 : 1,48.75%,47.14%,"24,661","25,484","14'51""","15'29""",49.18%,50.82%,49.64%,50.12%,4.13%,8.80%,18.96%,3.15%
ashe,46.24%,53.76%,49.48%,50.52%,2.00 : 1,2.31 : 1,48.01%,49.86%,"23,677","20,824","15'3""","15'48""",46.24%,53.76%,49.64%,50.72%,4.13%,5.78%,18.96%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,47.61%,52.39%,50.62%,49.38%,2.05 : 1,2.19 : 1,47.35%,47.07%,"23,522","22,921","15'6""","14'55""",47.61%,52.39%,49.64%,49.90%,4.13%,11.03%,18.96%,12.87%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,45.10%,54.90%,46.13%,53.87%,1.98 : 1,2.66 : 1,48.11%,51.24%,"23,907","25,598","15'12""","15'30""",45.10%,54.90%,49.64%,49.57%,4.13%,2.33%,18.96%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,51.69%,48.31%,46.18%,53.82%,2.07 : 1,2.61 : 1,46.61%,49.37%,"24,550","26,283","14'57""","15'28""",51.69%,48.31%,49.64%,48.36%,4.13%,13.74%,18.96%,4.99%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,46.77%,53.23%,49.64%,50.36%,1.97 : 1,2.60 : 1,45.55%,49.42%,"23,397","26,335","15'32""","15'40""",46.77%,53.23%,49.64%,52.20%,4.13%,0.91%,18.96%,3.19%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
jhin,48.61%,51.39%,45.18%,54.82%,1.96 : 1,2.88 : 1,46.61%,52.57%,"24,892","21,897","15'11""","15'59""",48.61%,51.39%,49.64%,49.77%,4.13%,14.90%,18.96%,1.45%
