Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,43.88%,56.12%,37.16%,62.84%,1.42 : 1,2.31 : 1,31.24%,38.08%,"25,632","35,775","17'8""","16'0""",43.88%,56.12%,50.50%,49.99%,7.36%,10.06%,15.55%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,48.54%,51.46%,34.54%,65.46%,1.49 : 1,2.45 : 1,32.39%,37.28%,"25,022","32,908","16'53""","17'44""",48.54%,51.46%,50.50%,49.85%,7.36%,1.62%,15.55%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,50.93%,49.07%,42.66%,57.34%,1.64 : 1,2.15 : 1,34.02%,39.87%,"26,240","33,282","15'19""","16'40""",50.93%,49.07%,50.50%,51.13%,7.36%,3.68%,15.55%,1.44%
cassiopeia,48.89%,51.11%,52.86%,47.14%,1.80 : 1,2.00 : 1,32.37%,35.43%,"23,254","30,834","15'35""","18'5""",48.89%,51.11%,50.50%,51.16%,7.36%,0.58%,15.55%,1.11%
chogath,55.56%,44.44%,54.18%,45.82%,2.10 : 1,1.85 : 1,36.12%,35.24%,"35,149","31,866","15'38""","17'24""",55.56%,44.44%,50.50%,51.78%,7.36%,3.22%,15.55%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,53.12%,46.88%,53.36%,46.64%,2.05 : 1,1.73 : 1,34.85%,33.45%,"26,149","26,880","15'57""","17'19""",53.12%,46.88%,50.50%,50.04%,7.36%,5.73%,15.55%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,47.43%,52.57%,47.44%,52.56%,1.74 : 1,1.71 : 1,33.14%,34.79%,"25,101","35,532","16'14""","15'30""",47.43%,52.57%,50.50%,51.39%,7.36%,4.67%,15.55%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,60.00%,40.00%,51.20%,48.80%,1.93 : 1,2.30 : 1,36.31%,42.11%,"24,365","25,041","15'31""","18'23""",60.00%,40.00%,50.50%,48.93%,7.36%,0.54%,15.55%,2.78%
gangplank,51.83%,48.17%,49.30%,50.70%,1.77 : 1,2.34 : 1,32.48%,40.91%,"25,583","36,136","16'22""","16'49""",51.83%,48.17%,50.50%,50.83%,7.36%,4.85%,15.55%,4.91%
garen,47.71%,52.29%,39.43%,60.57%,1.57 : 1,2.33 : 1,32.18%,36.09%,"26,168","33,430","16'44""","15'46""",47.71%,52.29%,50.50%,50.51%,7.36%,3.85%,15.55%,2.29%
gnar,54.13%,45.87%,49.00%,51.00%,1.73 : 1,1.93 : 1,32.26%,36.01%,"24,931","35,997","16'7""","16'34""",54.13%,45.87%,50.50%,49.49%,7.36%,3.21%,15.55%,0.95%
gragas,52.35%,47.65%,42.29%,57.71%,1.55 : 1,2.37 : 1,32.49%,37.67%,"28,489","30,293","15'55""","16'59""",52.35%,47.65%,50.50%,50.73%,7.36%,3.44%,15.55%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,44.83%,55.17%,43.54%,56.46%,1.49 : 1,1.97 : 1,30.93%,36.51%,"23,012","38,397","16'25""","15'52""",44.83%,55.17%,50.50%,49.91%,7.36%,3.46%,15.55%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,53.06%,46.94%,50.47%,49.53%,2.10 : 1,1.57 : 1,33.33%,31.35%,"23,767","39,441","16'50""","15'48""",53.06%,46.94%,50.50%,52.80%,7.36%,0.99%,15.55%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,48.83%,51.17%,46.25%,53.75%,1.82 : 1,1.58 : 1,32.26%,31.87%,"27,700","41,922","17'2""","14'28""",48.83%,51.17%,50.50%,49.43%,7.36%,1.69%,15.55%,2.87%
