Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,54.65%,45.35%,2.92 : 1,2.40 : 1,52.76%,49.96%,"21,912","17,040",54.65%,45.35%,51.52%,49.86%,6.36%,1.98%,4.77%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,48.62%,51.38%,2.91 : 1,2.87 : 1,52.85%,52.49%,"20,006","17,318",48.62%,51.38%,51.52%,51.11%,6.36%,1.95%,4.77%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,49.57%,50.43%,2.73 : 1,2.40 : 1,53.41%,52.53%,"23,018","23,612",49.57%,50.43%,51.52%,52.58%,6.36%,3.97%,4.77%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,50.12%,49.88%,2.99 : 1,2.42 : 1,53.97%,50.73%,"21,932","22,282",50.12%,49.88%,51.52%,51.16%,6.36%,5.33%,4.77%,6.00%
drmundo,56.64%,43.36%,3.46 : 1,2.54 : 1,54.45%,48.24%,"24,718","19,907",56.64%,43.36%,51.52%,49.06%,6.36%,1.62%,4.77%,15.07%
draven,,,,,,,,,,,,,,,,
elise,53.25%,46.75%,2.87 : 1,2.61 : 1,52.56%,52.29%,"20,502","20,812",53.25%,46.75%,51.52%,50.82%,6.36%,3.31%,4.77%,5.61%
evelynn,51.03%,48.97%,2.99 : 1,2.92 : 1,52.80%,52.47%,"21,533","23,299",51.03%,48.97%,51.52%,51.00%,6.36%,2.68%,4.77%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,46.77%,53.23%,2.85 : 1,2.85 : 1,54.24%,51.49%,"21,523","21,126",46.77%,53.23%,51.52%,52.29%,6.36%,3.04%,4.77%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,56.98%,43.02%,2.92 : 1,2.72 : 1,54.81%,51.37%,"22,963","22,617",56.98%,43.02%,51.52%,50.97%,6.36%,1.19%,4.77%,1.66%
graves,49.47%,50.53%,2.73 : 1,2.66 : 1,50.83%,52.06%,"20,474","23,803",49.47%,50.53%,51.52%,49.66%,6.36%,5.72%,4.77%,4.44%
gwen,53.00%,47.00%,3.29 : 1,2.36 : 1,52.02%,47.09%,"21,434","21,652",53.00%,47.00%,51.52%,50.90%,6.36%,1.25%,4.77%,8.41%
hecarim,48.74%,51.26%,2.82 : 1,2.89 : 1,53.86%,53.07%,"21,989","20,958",48.74%,51.26%,51.52%,49.79%,6.36%,4.29%,4.77%,4.63%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,49.13%,50.87%,2.74 : 1,3.91 : 1,52.13%,61.00%,"18,834","11,502",49.13%,50.87%,51.52%,51.99%,6.36%,1.45%,4.77%,0.83%
janna,,,,,,,,,,,,,,,,
jarvaniv,48.15%,51.85%,2.70 : 1,3.39 : 1,52.86%,62.68%,"20,660","17,923",48.15%,51.85%,51.52%,51.87%,6.36%,7.13%,4.77%,3.04%
