Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,50.33%,49.67%,2.75 : 1,2.16 : 1,52.51%,49.46%,"21,430","16,255",50.33%,49.67%,50.82%,49.86%,3.31%,1.98%,5.61%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,46.55%,53.45%,2.81 : 1,2.70 : 1,51.78%,52.47%,"18,697","15,415",46.55%,53.45%,50.82%,51.11%,3.31%,1.95%,5.61%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,42.99%,57.01%,2.60 : 1,2.43 : 1,53.27%,52.08%,"21,212","21,721",42.99%,57.01%,50.82%,52.58%,3.31%,3.97%,5.61%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,47.97%,52.03%,2.66 : 1,2.45 : 1,51.51%,51.95%,"20,129","21,353",47.97%,52.03%,50.82%,51.16%,3.31%,5.33%,5.61%,6.00%
drmundo,44.52%,55.48%,2.56 : 1,3.15 : 1,50.63%,49.81%,"25,061","21,492",44.52%,55.48%,50.82%,49.06%,3.31%,1.62%,5.61%,15.07%
draven,,,,,,,,,,,,,,,,
ekko,46.75%,53.25%,2.61 : 1,2.87 : 1,52.29%,52.56%,"20,812","20,502",46.75%,53.25%,50.82%,51.52%,3.31%,6.36%,5.61%,4.77%
evelynn,48.91%,51.09%,2.73 : 1,2.78 : 1,52.40%,51.33%,"21,788","21,759",48.91%,51.09%,50.82%,51.00%,3.31%,2.68%,5.61%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,43.40%,56.60%,2.38 : 1,2.90 : 1,51.07%,52.37%,"21,646","22,288",43.40%,56.60%,50.82%,52.29%,3.31%,3.04%,5.61%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,48.75%,51.25%,2.57 : 1,2.79 : 1,51.03%,50.72%,"19,223","19,638",48.75%,51.25%,50.82%,50.97%,3.31%,1.19%,5.61%,1.66%
graves,53.03%,46.97%,2.70 : 1,2.46 : 1,51.22%,51.34%,"19,332","20,886",53.03%,46.97%,50.82%,49.66%,3.31%,5.72%,5.61%,4.44%
gwen,54.29%,45.71%,3.21 : 1,2.38 : 1,52.79%,51.16%,"21,637","21,172",54.29%,45.71%,50.82%,50.90%,3.31%,1.25%,5.61%,8.41%
hecarim,48.40%,51.60%,2.57 : 1,2.81 : 1,53.23%,53.68%,"21,609","19,776",48.40%,51.60%,50.82%,49.79%,3.31%,4.29%,5.61%,4.63%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,40.95%,59.05%,2.39 : 1,4.33 : 1,52.16%,62.65%,"17,292","10,626",40.95%,59.05%,50.82%,51.99%,3.31%,1.45%,5.61%,0.83%
janna,,,,,,,,,,,,,,,,
jarvaniv,50.63%,49.37%,2.65 : 1,3.22 : 1,52.39%,62.69%,"20,865","16,943",50.63%,49.37%,50.82%,51.87%,3.31%,7.13%,5.61%,3.04%
