Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,53.96%,46.04%,3.19 : 1,2.66 : 1,54.17%,50.25%,"24,295","16,988",53.96%,46.04%,51.00%,49.86%,2.68%,1.98%,3.73%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,52.38%,47.62%,2.97 : 1,2.57 : 1,52.32%,53.02%,"20,398","15,988",52.38%,47.62%,51.00%,51.11%,2.68%,1.95%,3.73%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,45.15%,54.85%,2.75 : 1,2.52 : 1,53.61%,51.62%,"24,764","22,821",45.15%,54.85%,51.00%,52.58%,2.68%,3.97%,3.73%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,47.54%,52.46%,3.12 : 1,2.35 : 1,52.66%,50.76%,"23,442","21,922",47.54%,52.46%,51.00%,51.16%,2.68%,5.33%,3.73%,6.00%
drmundo,44.63%,55.37%,3.10 : 1,2.96 : 1,55.22%,47.03%,"25,626","19,335",44.63%,55.37%,51.00%,49.06%,2.68%,1.62%,3.73%,15.07%
draven,,,,,,,,,,,,,,,,
ekko,48.97%,51.03%,2.92 : 1,2.99 : 1,52.47%,52.80%,"23,299","21,533",48.97%,51.03%,51.00%,51.52%,2.68%,6.36%,3.73%,4.77%
elise,51.09%,48.91%,2.78 : 1,2.73 : 1,51.33%,52.40%,"21,759","21,788",51.09%,48.91%,51.00%,50.82%,2.68%,3.31%,3.73%,5.61%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,46.98%,53.02%,3.04 : 1,2.81 : 1,52.48%,50.75%,"23,180","20,965",46.98%,53.02%,51.00%,52.29%,2.68%,3.04%,3.73%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,54.88%,45.12%,2.89 : 1,2.80 : 1,50.12%,49.96%,"22,942","21,423",54.88%,45.12%,51.00%,50.97%,2.68%,1.19%,3.73%,1.66%
graves,53.87%,46.13%,2.98 : 1,2.41 : 1,51.59%,50.70%,"23,429","22,268",53.87%,46.13%,51.00%,49.66%,2.68%,5.72%,3.73%,4.44%
gwen,45.07%,54.93%,2.97 : 1,2.89 : 1,51.59%,52.53%,"24,358","24,480",45.07%,54.93%,51.00%,50.90%,2.68%,1.25%,3.73%,8.41%
hecarim,53.68%,46.32%,2.98 : 1,2.74 : 1,52.60%,53.84%,"23,194","20,977",53.68%,46.32%,51.00%,49.79%,2.68%,4.29%,3.73%,4.63%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,51.24%,48.76%,3.13 : 1,4.00 : 1,54.60%,60.33%,"23,465","11,785",51.24%,48.76%,51.00%,51.99%,2.68%,1.45%,3.73%,0.83%
janna,,,,,,,,,,,,,,,,
jarvaniv,49.67%,50.33%,2.89 : 1,3.41 : 1,51.93%,62.78%,"22,824","18,057",49.67%,50.33%,51.00%,51.87%,2.68%,7.13%,3.73%,3.04%
