Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,47.07%,52.93%,54.60%,45.40%,2.64 : 1,2.03 : 1,47.96%,45.30%,"25,860","25,040","15'16""","15'15""",47.07%,52.93%,48.36%,50.12%,13.74%,8.80%,4.99%,3.15%
ashe,49.21%,50.79%,53.83%,46.17%,2.54 : 1,2.24 : 1,47.85%,48.88%,"26,564","21,796","15'10""","15'55""",49.21%,50.79%,48.36%,50.72%,13.74%,5.78%,4.99%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,50.27%,49.73%,55.03%,44.97%,2.67 : 1,2.08 : 1,46.90%,44.42%,"27,127","23,980","15'25""","14'55""",50.27%,49.73%,48.36%,49.90%,13.74%,11.03%,4.99%,12.87%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,47.17%,52.83%,50.47%,49.53%,2.46 : 1,2.52 : 1,47.16%,48.44%,"26,992","25,504","15'42""","15'19""",47.17%,52.83%,48.36%,49.57%,13.74%,2.33%,4.99%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,48.31%,51.69%,53.82%,46.18%,2.61 : 1,2.07 : 1,49.37%,46.61%,"26,283","24,550","15'28""","14'57""",48.31%,51.69%,48.36%,49.64%,13.74%,4.13%,4.99%,18.96%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,45.67%,54.33%,52.11%,47.89%,2.51 : 1,2.57 : 1,46.71%,48.06%,"27,555","26,337","16'6""","15'57""",45.67%,54.33%,48.36%,52.20%,13.74%,0.91%,4.99%,3.19%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
jhin,48.88%,51.12%,46.48%,53.52%,2.32 : 1,2.89 : 1,45.88%,50.63%,"26,334","22,458","15'37""","15'49""",48.88%,51.12%,48.36%,49.77%,13.74%,14.90%,4.99%,1.45%
