Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,56.49%,43.51%,3.13 : 1,2.34 : 1,52.63%,51.02%,"22,353","17,607",56.49%,43.51%,52.29%,49.86%,3.04%,1.98%,3.27%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,53.69%,46.31%,3.08 : 1,2.65 : 1,50.68%,51.54%,"18,556","15,590",53.69%,46.31%,52.29%,51.11%,3.04%,1.95%,3.27%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,49.38%,50.63%,2.65 : 1,2.46 : 1,51.33%,53.09%,"21,255","23,562",49.38%,50.63%,52.29%,52.58%,3.04%,3.97%,3.27%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,49.30%,50.70%,2.93 : 1,2.53 : 1,51.66%,51.63%,"21,219","22,216",49.30%,50.70%,52.29%,51.16%,3.04%,5.33%,3.27%,6.00%
drmundo,56.67%,43.33%,3.28 : 1,2.71 : 1,51.48%,47.79%,"25,678","21,569",56.67%,43.33%,52.29%,49.06%,3.04%,1.62%,3.27%,15.07%
draven,,,,,,,,,,,,,,,,
ekko,53.23%,46.77%,2.85 : 1,2.85 : 1,51.49%,54.24%,"21,126","21,523",53.23%,46.77%,52.29%,51.52%,3.04%,6.36%,3.27%,4.77%
elise,56.60%,43.40%,2.90 : 1,2.38 : 1,52.37%,51.07%,"22,288","21,646",56.60%,43.40%,52.29%,50.82%,3.04%,3.31%,3.27%,5.61%
evelynn,53.02%,46.98%,2.81 : 1,3.04 : 1,50.75%,52.48%,"20,965","23,180",53.02%,46.98%,52.29%,51.00%,3.04%,2.68%,3.27%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,47.25%,52.75%,2.67 : 1,2.87 : 1,51.52%,50.65%,"21,750","23,216",47.25%,52.75%,52.29%,50.97%,3.04%,1.19%,3.27%,1.66%
graves,55.59%,44.41%,2.99 : 1,2.46 : 1,50.66%,51.73%,"21,171","22,496",55.59%,44.41%,52.29%,49.66%,3.04%,5.72%,3.27%,4.44%
gwen,65.26%,34.74%,3.37 : 1,2.01 : 1,50.75%,47.14%,"20,497","19,880",65.26%,34.74%,52.29%,50.90%,3.04%,1.25%,3.27%,8.41%
hecarim,50.33%,49.67%,2.82 : 1,3.01 : 1,52.10%,54.76%,"21,285","19,654",50.33%,49.67%,52.29%,49.79%,3.04%,4.29%,3.27%,4.63%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,49.60%,50.40%,2.73 : 1,4.04 : 1,52.16%,58.48%,"19,877","11,216",49.60%,50.40%,52.29%,51.99%,3.04%,1.45%,3.27%,0.83%
janna,,,,,,,,,,,,,,,,
jarvaniv,48.96%,51.04%,2.69 : 1,3.49 : 1,51.69%,62.87%,"20,862","18,095",48.96%,51.04%,52.29%,51.87%,3.04%,7.13%,3.27%,3.04%
