Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.86%,49.14%,47.02%,52.98%,1.46 : 1,1.87 : 1,33.63%,36.34%,"24,286","22,187","16'1""","16'44""",50.86%,49.14%,51.39%,49.99%,4.67%,10.06%,6.91%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,49.77%,50.23%,42.00%,58.00%,1.33 : 1,2.14 : 1,32.89%,38.17%,"21,798","25,668","16'8""","16'42""",49.77%,50.23%,51.39%,49.85%,4.67%,1.62%,6.91%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,54.32%,45.68%,46.26%,53.74%,1.47 : 1,1.92 : 1,34.01%,39.46%,"23,656","24,148","15'21""","16'42""",54.32%,45.68%,51.39%,51.13%,4.67%,3.68%,6.91%,1.44%
cassiopeia,52.73%,47.27%,53.30%,46.70%,1.56 : 1,1.59 : 1,35.36%,35.74%,"22,997","24,174","16'17""","17'26""",52.73%,47.27%,51.39%,51.16%,4.67%,0.58%,6.91%,1.11%
chogath,52.21%,47.79%,51.70%,48.30%,1.62 : 1,1.91 : 1,34.92%,36.90%,"27,841","22,347","15'54""","16'54""",52.21%,47.79%,51.39%,51.78%,4.67%,3.22%,6.91%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,51.04%,48.96%,45.14%,54.86%,1.48 : 1,1.80 : 1,34.40%,35.93%,"21,821","21,077","16'5""","15'42""",51.04%,48.96%,51.39%,50.04%,4.67%,5.73%,6.91%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,52.60%,47.40%,52.63%,47.37%,1.71 : 1,1.74 : 1,34.77%,33.15%,"35,593","25,120","15'29""","16'14""",52.60%,47.40%,51.39%,50.50%,4.67%,7.36%,6.91%,15.55%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,65.85%,34.15%,56.10%,43.90%,1.77 : 1,2.28 : 1,36.31%,45.14%,"23,600","15,751","15'7""","19'19""",65.85%,34.15%,51.39%,48.93%,4.67%,0.54%,6.91%,2.78%
gangplank,47.30%,52.70%,49.63%,50.37%,1.50 : 1,2.15 : 1,34.44%,41.91%,"22,538","26,350","16'10""","15'52""",47.30%,52.70%,51.39%,50.83%,4.67%,4.85%,6.91%,4.91%
garen,52.94%,47.06%,50.99%,49.01%,1.63 : 1,1.79 : 1,35.06%,33.46%,"24,460","21,101","15'27""","16'32""",52.94%,47.06%,51.39%,50.51%,4.67%,3.85%,6.91%,2.29%
gnar,48.85%,51.15%,52.37%,47.63%,1.53 : 1,1.84 : 1,34.21%,35.74%,"21,949","23,526","15'53""","16'39""",48.85%,51.15%,51.39%,49.49%,4.67%,3.21%,6.91%,0.95%
gragas,48.22%,51.78%,47.02%,52.98%,1.39 : 1,2.16 : 1,32.49%,37.23%,"23,523","21,543","15'48""","16'38""",48.22%,51.78%,51.39%,50.73%,4.67%,3.44%,6.91%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,50.24%,49.76%,54.32%,45.68%,1.61 : 1,1.48 : 1,36.41%,34.25%,"23,706","23,352","15'2""","16'19""",50.24%,49.76%,51.39%,49.91%,4.67%,3.46%,6.91%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,41.30%,58.70%,44.55%,55.45%,1.31 : 1,1.75 : 1,31.98%,36.59%,"21,148","35,918","17'41""","14'31""",41.30%,58.70%,51.39%,52.80%,4.67%,0.99%,6.91%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,53.05%,46.95%,51.11%,48.89%,1.56 : 1,1.48 : 1,33.63%,32.74%,"23,693","25,505","15'46""","14'59""",53.05%,46.95%,51.39%,49.43%,4.67%,1.69%,6.91%,2.87%
irelia,52.83%,47.17%,51.08%,48.92%,1.70 : 1,1.42 : 1,36.66%,36.44%,"23,053","21,829","15'37""","15'1""",52.83%,47.17%,51.39%,51.33%,4.67%,4.45%,6.91%,13.90%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,53.49%,46.51%,48.75%,51.25%,1.54 : 1,1.59 : 1,34.54%,34.71%,"22,564","21,895","15'21""","15'40""",53.49%,46.51%,51.39%,50.45%,4.67%,6.90%,6.91%,8.88%
jayce,53.07%,46.93%,54.24%,45.76%,1.58 : 1,1.69 : 1,34.65%,38.63%,"19,879","24,957","15'58""","15'41""",53.07%,46.93%,51.39%,49.00%,4.67%,5.02%,6.91%,8.03%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,50.00%,50.00%,51.47%,48.53%,1.54 : 1,1.79 : 1,32.71%,37.09%,"21,043","23,222","16'7""","17'35""",50.00%,50.00%,51.39%,52.31%,4.67%,3.67%,6.91%,4.66%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,44.33%,55.67%,48.41%,51.59%,1.40 : 1,1.84 : 1,34.56%,37.19%,"20,305","25,612","16'4""","16'51""",44.33%,55.67%,51.39%,52.51%,4.67%,2.32%,6.91%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,59.35%,40.65%,51.80%,48.20%,1.73 : 1,1.74 : 1,36.24%,39.82%,"24,734","21,324","14'52""","16'16""",59.35%,40.65%,51.39%,52.00%,4.67%,1.49%,6.91%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,56.09%,43.91%,44.03%,55.97%,1.48 : 1,2.04 : 1,32.85%,36.64%,"24,494","20,295","16'15""","17'2""",56.09%,43.91%,51.39%,48.50%,4.67%,4.36%,6.91%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,49.69%,50.31%,40.76%,59.24%,1.37 : 1,2.60 : 1,31.23%,40.33%,"19,895","22,453","15'59""","17'35""",49.69%,50.31%,51.39%,52.32%,4.67%,4.64%,6.91%,8.57%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,52.01%,47.99%,48.12%,51.88%,1.50 : 1,1.68 : 1,33.90%,34.20%,"23,036","22,653","15'54""","16'45""",52.01%,47.99%,51.39%,51.85%,4.67%,5.22%,6.91%,5.97%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,54.71%,45.29%,49.13%,50.87%,1.62 : 1,1.77 : 1,33.42%,34.00%,"25,793","20,209","16'1""","16'54""",54.71%,45.29%,51.39%,51.37%,4.67%,2.96%,6.91%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,49.73%,50.27%,51.63%,48.37%,1.70 : 1,1.68 : 1,38.96%,37.59%,"25,131","25,071","15'16""","16'0""",49.73%,50.27%,51.39%,52.41%,4.67%,1.69%,6.91%,1.37%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,54.70%,45.30%,43.84%,56.16%,1.48 : 1,2.40 : 1,32.93%,39.82%,"25,702","19,152","15'59""","16'56""",54.70%,45.30%,51.39%,51.19%,4.67%,3.76%,6.91%,0.43%
pantheon,47.93%,52.07%,44.67%,55.33%,1.27 : 1,2.08 : 1,33.51%,41.52%,"20,256","25,416","15'42""","16'49""",47.93%,52.07%,51.39%,51.41%,4.67%,2.15%,6.91%,10.61%
poppy,48.51%,51.49%,44.62%,55.38%,1.32 : 1,2.19 : 1,32.15%,38.62%,"23,754","24,747","16'5""","17'1""",48.51%,51.49%,51.39%,51.65%,4.67%,1.38%,6.91%,6.59%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,48.24%,51.76%,55.56%,44.44%,1.64 : 1,2.04 : 1,35.28%,43.96%,"20,671","28,525","15'39""","18'6""",48.24%,51.76%,51.39%,53.64%,4.67%,1.86%,6.91%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,50.79%,49.21%,45.58%,54.42%,1.45 : 1,1.87 : 1,33.80%,36.60%,"24,214","22,757","16'24""","15'35""",50.79%,49.21%,51.39%,50.35%,4.67%,6.82%,6.91%,5.72%
rengar,,,,,,,,,,,,,,,,,,,,
riven,49.84%,50.16%,47.14%,52.86%,1.43 : 1,1.85 : 1,34.92%,38.08%,"20,590","21,537","15'48""","16'9""",49.84%,50.16%,51.39%,52.39%,4.67%,4.76%,6.91%,3.77%
rumble,52.10%,47.90%,49.38%,50.62%,1.71 : 1,1.93 : 1,36.05%,38.40%,"20,296","25,154","16'32""","16'28""",52.10%,47.90%,51.39%,48.18%,4.67%,1.58%,6.91%,0.58%
ryze,48.25%,51.75%,54.10%,45.90%,1.71 : 1,1.77 : 1,33.77%,34.98%,"19,867","22,119","15'53""","16'37""",48.25%,51.75%,51.39%,50.51%,4.67%,1.11%,6.91%,0.64%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,50.73%,49.27%,46.07%,53.93%,1.50 : 1,1.79 : 1,35.16%,37.69%,"25,025","25,978","16'12""","14'54""",50.73%,49.27%,51.39%,52.67%,4.67%,7.21%,6.91%,4.79%
shaco,,,,,,,,,,,,,,,,,,,,
shen,45.50%,54.50%,42.97%,57.03%,1.37 : 1,2.96 : 1,33.90%,44.52%,"22,874","19,690","14'54""","18'55""",45.50%,54.50%,51.39%,51.64%,4.67%,5.08%,6.91%,3.71%
shyvana,,,,,,,,,,,,,,,,,,,,
