Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,52.25%,47.75%,55.29%,44.71%,2.30 : 1,2.30 : 1,44.41%,44.58%,"22,524","22,156","16'50""","16'59""",52.25%,47.75%,50.29%,49.44%,2.69%,7.96%,3.02%,2.83%
akali,44.85%,55.15%,47.85%,52.15%,2.01 : 1,2.41 : 1,45.27%,45.34%,"22,275","25,737","16'32""","16'43""",44.85%,55.15%,50.29%,50.92%,2.69%,6.66%,3.02%,10.13%
akshan,46.48%,53.52%,56.17%,43.83%,2.33 : 1,2.23 : 1,44.76%,49.76%,"21,156","24,808","16'7""","16'17""",46.48%,53.52%,50.29%,52.47%,2.69%,2.44%,3.02%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,50.00%,50.00%,51.42%,48.58%,2.37 : 1,2.36 : 1,46.65%,43.03%,"22,686","19,367","16'55""","16'28""",50.00%,50.00%,50.29%,52.46%,2.69%,2.22%,3.02%,1.84%
annie,44.97%,55.03%,57.71%,42.29%,2.15 : 1,2.17 : 1,45.15%,47.82%,"21,356","24,519","16'15""","17'50""",44.97%,55.03%,50.29%,51.88%,2.69%,2.77%,3.02%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,50.00%,50.00%,64.74%,35.26%,2.73 : 1,2.29 : 1,45.90%,49.50%,"26,502","24,960","16'9""","18'51""",50.00%,50.00%,50.29%,51.11%,2.69%,2.09%,3.02%,0.64%
azir,52.71%,47.29%,59.60%,40.40%,2.53 : 1,1.98 : 1,43.82%,43.10%,"21,277","24,167","16'24""","17'27""",52.71%,47.29%,50.29%,47.26%,2.69%,2.76%,3.02%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,35.80%,64.20%,60.98%,39.02%,2.17 : 1,1.83 : 1,46.38%,40.95%,"21,227","22,926","16'57""","17'48""",35.80%,64.20%,50.29%,51.13%,2.69%,1.25%,3.02%,1.22%
chogath,46.15%,53.85%,59.66%,40.34%,2.48 : 1,2.08 : 1,45.45%,41.91%,"21,440","19,686","15'20""","15'21""",46.15%,53.85%,50.29%,50.72%,2.69%,0.65%,3.02%,0.89%
corki,51.28%,48.72%,53.85%,46.15%,2.56 : 1,1.96 : 1,44.78%,42.44%,"21,956","26,672","18'11""","14'24""",51.28%,48.72%,50.29%,45.49%,2.69%,0.93%,3.02%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,48.31%,51.69%,48.45%,51.55%,2.07 : 1,2.03 : 1,45.01%,47.58%,"21,418","26,921","17'20""","14'14""",48.31%,51.69%,50.29%,51.70%,2.69%,4.21%,3.02%,5.97%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,48.39%,51.61%,57.38%,42.62%,2.36 : 1,2.08 : 1,43.75%,43.60%,"23,143","23,713","17'11""","15'38""",48.39%,51.61%,50.29%,50.98%,2.69%,3.17%,3.02%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
galio,44.94%,55.06%,55.39%,44.61%,2.32 : 1,2.58 : 1,45.41%,48.60%,"19,107","19,745","17'22""","17'49""",44.94%,55.06%,50.29%,51.28%,2.69%,4.52%,3.02%,3.30%
gangplank,52.00%,48.00%,44.12%,55.88%,1.79 : 1,2.25 : 1,39.47%,44.77%,"24,089","29,752","22'37""","14'53""",52.00%,48.00%,50.29%,51.90%,2.69%,0.57%,3.02%,4.54%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,56.92%,43.08%,49.73%,50.27%,2.21 : 1,1.97 : 1,43.71%,42.85%,"21,194","24,425","16'59""","15'3""",56.92%,43.08%,50.29%,50.98%,2.69%,0.74%,3.02%,1.57%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,50.95%,49.05%,60.09%,39.91%,2.60 : 1,2.08 : 1,46.30%,45.35%,"22,695","23,871","17'10""","17'18""",50.95%,49.05%,50.29%,50.40%,2.69%,5.57%,3.02%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,52.67%,47.33%,58.72%,41.28%,2.57 : 1,1.45 : 1,47.26%,39.11%,"23,968","23,633","17'29""","14'33""",52.67%,47.33%,50.29%,49.45%,2.69%,2.64%,3.02%,13.76%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,50.00%,50.00%,53.03%,46.97%,2.34 : 1,2.11 : 1,46.66%,48.23%,"19,832","25,902","17'0""","16'39""",50.00%,50.00%,50.29%,48.83%,2.69%,0.93%,3.02%,7.81%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,50.83%,49.17%,54.88%,45.12%,2.17 : 1,2.11 : 1,43.25%,44.78%,"22,616","23,853","15'57""","17'20""",50.83%,49.17%,50.29%,50.47%,2.69%,2.48%,3.02%,2.50%
katarina,48.90%,51.10%,52.96%,47.04%,2.19 : 1,2.19 : 1,45.40%,49.44%,"23,098","25,842","15'55""","17'57""",48.90%,51.10%,50.29%,51.66%,2.69%,5.89%,3.02%,6.82%
kayle,48.98%,51.02%,62.71%,37.29%,2.60 : 1,1.74 : 1,45.30%,40.28%,"22,768","20,388","16'6""","17'10""",48.98%,51.02%,50.29%,52.29%,2.69%,1.62%,3.02%,4.53%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,48.33%,51.67%,60.56%,39.44%,2.11 : 1,2.07 : 1,43.61%,42.51%,"19,837","22,889","17'32""","16'40""",48.33%,51.67%,50.29%,52.36%,2.69%,1.03%,3.02%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,47.50%,52.50%,43.31%,56.69%,1.93 : 1,2.66 : 1,43.23%,45.89%,"21,873","24,442","16'26""","17'7""",47.50%,52.50%,50.29%,50.68%,2.69%,5.23%,3.02%,21.85%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,46.69%,53.31%,48.32%,51.68%,2.00 : 1,2.22 : 1,43.68%,45.54%,"21,885","22,624","17'10""","16'13""",46.69%,53.31%,50.29%,51.97%,2.69%,3.20%,3.02%,1.48%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,52.73%,47.27%,50.70%,49.30%,2.22 : 1,2.48 : 1,43.85%,48.23%,"22,493","23,579","17'38""","16'55""",52.73%,47.27%,50.29%,51.22%,2.69%,4.01%,3.02%,3.15%
malphite,52.50%,47.50%,52.00%,48.00%,2.26 : 1,1.94 : 1,43.21%,40.74%,"20,316","18,463","16'36""","15'40""",52.50%,47.50%,50.29%,52.75%,2.69%,0.79%,3.02%,7.88%
malzahar,54.09%,45.91%,65.46%,34.54%,2.81 : 1,1.74 : 1,46.15%,41.15%,"23,530","21,964","17'25""","15'49""",54.09%,45.91%,50.29%,51.35%,2.69%,4.97%,3.02%,6.80%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,45.00%,55.00%,38.98%,61.02%,2.07 : 1,3.27 : 1,48.89%,49.93%,"26,381","24,251","17'50""","16'5""",45.00%,55.00%,50.29%,51.31%,2.69%,0.50%,3.02%,8.34%
naafiri,53.66%,46.34%,51.52%,48.48%,2.16 : 1,2.34 : 1,45.38%,45.45%,"22,352","25,734","15'57""","15'45""",53.66%,46.34%,50.29%,52.33%,2.69%,0.68%,3.02%,12.54%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,51.28%,48.72%,61.11%,38.89%,2.41 : 1,2.06 : 1,45.06%,42.75%,"23,337","21,009","17'25""","17'45""",51.28%,48.72%,50.29%,52.68%,2.69%,0.67%,3.02%,1.71%
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,,,,,,,,,,,,,,,,,,,,
orianna,45.25%,54.75%,54.52%,45.48%,2.34 : 1,2.42 : 1,46.32%,47.76%,"20,668","21,394","17'11""","16'53""",45.25%,54.75%,50.29%,50.19%,2.69%,5.30%,3.02%,1.36%
ornn,,,,,,,,,,,,,,,,,,,,
pantheon,,,,,,,,,,,,,,,,,,,,
poppy,,,,,,,,,,,,,,,,,,,,
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,55.23%,44.77%,48.90%,51.10%,2.32 : 1,1.93 : 1,45.92%,45.49%,"23,161","23,989","16'13""","16'54""",55.23%,44.77%,50.29%,51.41%,2.69%,2.44%,3.02%,1.06%
quinn,32.26%,67.74%,48.84%,51.16%,2.07 : 1,2.18 : 1,45.24%,48.33%,"21,260","25,800","15'21""","19'4""",32.26%,67.74%,50.29%,53.99%,2.69%,0.68%,3.02%,1.70%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,,,,,,,,,,,,,,,,,,,,
rengar,,,,,,,,,,,,,,,,,,,,
riven,,,,,,,,,,,,,,,,,,,,
rumble,,,,,,,,,,,,,,,,,,,,
ryze,45.63%,54.37%,58.30%,41.70%,2.61 : 1,2.10 : 1,46.38%,41.86%,"22,178","24,540","17'29""","16'5""",45.63%,54.37%,50.29%,48.66%,2.69%,3.12%,3.02%,0.68%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,,,,,,,,,,,,,,,,,,,,
shaco,,,,,,,,,,,,,,,,,,,,
shen,,,,,,,,,,,,,,,,,,,,
shyvana,,,,,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,62.26%,37.74%,63.44%,36.56%,2.85 : 1,1.57 : 1,45.68%,41.91%,"25,136","24,633","16'27""","17'51""",62.26%,37.74%,50.29%,46.74%,2.69%,1.19%,3.02%,4.92%
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,40.00%,60.00%,56.45%,43.55%,2.22 : 1,2.51 : 1,46.62%,49.70%,"23,064","24,386","17'37""","17'41""",40.00%,60.00%,50.29%,51.68%,2.69%,1.04%,3.02%,0.71%
sylas,46.78%,53.22%,52.61%,47.39%,2.16 : 1,2.14 : 1,45.17%,46.32%,"22,795","23,865","16'32""","17'22""",46.78%,53.22%,50.29%,50.36%,2.69%,9.63%,3.02%,10.16%
syndra,51.04%,48.96%,59.50%,40.50%,2.49 : 1,1.92 : 1,46.34%,41.78%,"22,873","21,687","17'20""","17'18""",51.04%,48.96%,50.29%,50.79%,2.69%,5.38%,3.02%,4.00%
tahmkench,,,,,,,,,,,,,,,,,,,,
taliyah,52.76%,47.24%,65.20%,34.80%,2.71 : 1,1.85 : 1,47.00%,45.75%,"22,576","20,807","15'56""","17'26""",52.76%,47.24%,50.29%,50.37%,2.69%,2.66%,3.02%,0.74%
talon,54.10%,45.90%,53.70%,46.30%,2.27 : 1,2.01 : 1,44.16%,45.40%,"23,800","26,943","16'1""","16'12""",54.10%,45.90%,50.29%,51.26%,2.69%,2.29%,3.02%,7.77%
taric,,,,,,,,,,,,,,,,,,,,
teemo,,,,,,,,,,,,,,,,,,,,
thresh,,,,,,,,,,,,,,,,,,,,
tristana,57.14%,42.86%,56.00%,44.00%,2.82 : 1,1.69 : 1,45.66%,38.80%,"23,036","23,166","18'23""","14'24""",57.14%,42.86%,50.29%,45.59%,2.69%,0.59%,3.02%,4.85%
trundle,,,,,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,,,,,
twistedfate,46.23%,53.77%,59.07%,40.93%,2.59 : 1,2.34 : 1,47.57%,46.13%,"23,172","18,972","17'0""","16'48""",46.23%,53.77%,50.29%,51.45%,2.69%,9.60%,3.02%,12.55%
twitch,,,,,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,,,,,
varus,,,,,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,,,,,
veigar,56.76%,43.24%,58.09%,41.91%,2.60 : 1,1.97 : 1,45.04%,41.68%,"23,869","23,188","16'58""","17'25""",56.76%,43.24%,50.29%,50.63%,2.69%,2.86%,3.02%,0.55%
velkoz,55.26%,44.74%,50.63%,49.37%,2.31 : 1,2.30 : 1,45.60%,43.66%,"24,511","26,302","16'20""","16'38""",55.26%,44.74%,50.29%,52.53%,2.69%,1.19%,3.02%,0.76%
vex,43.84%,56.16%,53.09%,46.91%,2.17 : 1,2.21 : 1,46.17%,47.02%,"21,684","25,748","17'26""","16'11""",43.84%,56.16%,50.29%,52.61%,2.69%,2.85%,3.02%,3.51%
vi,,,,,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,,,,,
viktor,51.02%,48.98%,58.06%,41.94%,2.41 : 1,2.02 : 1,43.55%,42.47%,"21,706","26,169","16'55""","16'53""",51.02%,48.98%,50.29%,49.73%,2.69%,5.74%,3.02%,4.24%
vladimir,45.66%,54.34%,53.21%,46.79%,2.12 : 1,2.21 : 1,42.91%,42.64%,"23,457","27,959","17'6""","16'42""",45.66%,54.34%,50.29%,51.42%,2.69%,4.53%,3.02%,10.42%
volibear,,,,,,,,,,,,,,,,,,,,
warwick,,,,,,,,,,,,,,,,,,,,
wukong,46.23%,53.77%,59.07%,40.93%,2.59 : 1,2.34 : 1,47.57%,46.13%,"23,172","18,972","17'0""","16'48""",46.23%,53.77%,50.29%,51.45%,2.69%,9.60%,3.02%,12.55%
xayah,,,,,,,,,,,,,,,,,,,,
xerath,49.15%,50.85%,57.16%,42.84%,2.34 : 1,2.50 : 1,44.98%,47.58%,"22,634","25,145","17'2""","17'45""",49.15%,50.85%,50.29%,51.60%,2.69%,4.29%,3.02%,5.04%
xinzhao,,,,,,,,,,,,,,,,,,,,
yasuo,50.96%,49.04%,56.51%,43.49%,2.52 : 1,1.64 : 1,46.38%,40.66%,"22,354","23,026","17'11""","15'40""",50.96%,49.04%,50.29%,50.34%,2.69%,7.63%,3.02%,19.92%
yone,56.17%,43.83%,66.24%,33.76%,2.72 : 1,1.38 : 1,46.70%,37.61%,"25,467","22,838","16'16""","16'20""",56.17%,43.83%,50.29%,47.05%,2.69%,4.79%,3.02%,4.77%
yorick,,,,,,,,,,,,,,,,,,,,
yuumi,,,,,,,,,,,,,,,,,,,,
zac,,,,,,,,,,,,,,,,,,,,
zed,46.80%,53.20%,47.51%,52.49%,2.04 : 1,2.23 : 1,44.02%,43.84%,"22,663","26,180","16'56""","16'9""",46.80%,53.20%,50.29%,49.91%,2.69%,6.70%,3.02%,28.52%
zeri,,,,,,,,,,,,,,,,,,,,
