Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,47.50%,52.50%,43.54%,56.46%,2.66 : 1,3.05 : 1,48.43%,47.52%,"17,190","22,190","18'53""","17'13""",47.50%,52.50%,51.28%,49.44%,4.52%,7.96%,3.30%,2.83%
akali,54.72%,45.28%,50.31%,49.69%,2.90 : 1,2.23 : 1,49.91%,43.81%,"21,310","21,515","18'45""","18'30""",54.72%,45.28%,51.28%,50.92%,4.52%,6.66%,3.30%,10.13%
akshan,45.90%,54.10%,50.34%,49.66%,2.80 : 1,2.50 : 1,49.73%,49.55%,"17,955","26,027","19'0""","16'47""",45.90%,54.10%,51.28%,52.47%,4.52%,2.44%,3.30%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,45.32%,54.68%,44.23%,55.77%,2.60 : 1,3.15 : 1,47.91%,45.51%,"18,157","19,657","19'31""","18'7""",45.32%,54.68%,51.28%,52.46%,4.52%,2.22%,3.30%,1.84%
annie,46.71%,53.29%,51.89%,48.11%,2.74 : 1,2.45 : 1,51.41%,48.89%,"18,506","23,326","17'24""","18'45""",46.71%,53.29%,51.28%,51.88%,4.52%,2.77%,3.30%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,49.76%,50.24%,52.10%,47.90%,3.00 : 1,2.95 : 1,49.35%,52.55%,"20,192","22,693","18'7""","19'0""",49.76%,50.24%,51.28%,51.11%,4.52%,2.09%,3.30%,0.64%
azir,50.18%,49.82%,49.93%,50.07%,3.10 : 1,2.34 : 1,48.85%,43.32%,"17,874","23,412","18'37""","17'47""",50.18%,49.82%,51.28%,47.26%,4.52%,2.76%,3.30%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,49.22%,50.78%,58.84%,41.16%,3.02 : 1,2.01 : 1,49.84%,44.67%,"18,297","20,311","16'56""","18'28""",49.22%,50.78%,51.28%,51.13%,4.52%,1.25%,3.30%,1.22%
chogath,51.85%,48.15%,48.65%,51.35%,2.97 : 1,2.37 : 1,54.56%,44.79%,"25,340","22,607","19'23""","17'41""",51.85%,48.15%,51.28%,50.72%,4.52%,0.65%,3.30%,0.89%
corki,52.22%,47.78%,52.35%,47.65%,2.99 : 1,2.06 : 1,49.57%,44.11%,"16,860","26,144","18'58""","15'54""",52.22%,47.78%,51.28%,45.49%,4.52%,0.93%,3.30%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,51.29%,48.71%,50.14%,49.86%,2.65 : 1,1.99 : 1,50.77%,45.92%,"18,209","21,355","18'10""","16'9""",51.29%,48.71%,51.28%,51.70%,4.52%,4.21%,3.30%,5.97%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,51.69%,48.31%,48.12%,51.88%,2.80 : 1,2.50 : 1,50.01%,46.90%,"20,288","20,557","18'24""","16'55""",51.69%,48.31%,51.28%,50.98%,4.52%,3.17%,3.30%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,55.06%,44.94%,44.61%,55.39%,2.58 : 1,2.32 : 1,48.60%,45.41%,"19,745","19,107","17'49""","17'22""",55.06%,44.94%,51.28%,50.29%,4.52%,2.69%,3.30%,3.02%
gangplank,45.45%,54.55%,53.54%,46.46%,2.81 : 1,2.82 : 1,50.29%,48.09%,"19,277","27,661","20'1""","17'12""",45.45%,54.55%,51.28%,51.90%,4.52%,0.57%,3.30%,4.54%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,48.61%,51.39%,48.00%,52.00%,2.62 : 1,2.39 : 1,48.51%,43.52%,"18,892","20,532","17'32""","16'2""",48.61%,51.39%,51.28%,50.98%,4.52%,0.74%,3.30%,1.57%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,46.36%,53.64%,50.24%,49.76%,2.73 : 1,2.93 : 1,47.90%,49.18%,"16,715","25,633","18'52""","17'26""",46.36%,53.64%,51.28%,50.40%,4.52%,5.57%,3.30%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,57.72%,42.28%,56.87%,43.13%,2.97 : 1,1.46 : 1,50.88%,40.62%,"19,949","21,329","17'40""","15'50""",57.72%,42.28%,51.28%,49.45%,4.52%,2.64%,3.30%,13.76%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,60.19%,39.81%,54.37%,45.63%,3.07 : 1,2.08 : 1,48.07%,48.45%,"17,418","24,833","18'22""","16'10""",60.19%,39.81%,51.28%,48.83%,4.52%,0.93%,3.30%,7.81%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,52.17%,47.83%,51.10%,48.90%,2.87 : 1,2.51 : 1,48.95%,45.53%,"20,656","21,170","17'42""","18'20""",52.17%,47.83%,51.28%,50.47%,4.52%,2.48%,3.30%,2.50%
katarina,55.21%,44.79%,49.42%,50.58%,2.93 : 1,2.30 : 1,51.20%,50.26%,"20,028","21,769","17'34""","17'51""",55.21%,44.79%,51.28%,51.66%,4.52%,5.89%,3.30%,6.82%
kayle,50.99%,49.01%,49.38%,50.63%,3.07 : 1,2.26 : 1,49.75%,45.87%,"20,331","21,454","17'54""","17'58""",50.99%,49.01%,51.28%,52.29%,4.52%,1.62%,3.30%,4.53%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,46.09%,53.91%,45.00%,55.00%,2.41 : 1,2.18 : 1,50.47%,42.37%,"16,814","19,084","18'19""","18'16""",46.09%,53.91%,51.28%,52.36%,4.52%,1.03%,3.30%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,53.21%,46.79%,34.76%,65.24%,2.45 : 1,3.09 : 1,47.20%,47.13%,"17,670","21,835","18'57""","18'35""",53.21%,46.79%,51.28%,50.68%,4.52%,5.23%,3.30%,21.85%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,50.75%,49.25%,43.93%,56.07%,2.66 : 1,2.61 : 1,50.56%,47.81%,"19,789","20,748","18'39""","17'13""",50.75%,49.25%,51.28%,51.97%,4.52%,3.20%,3.30%,1.48%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,48.61%,51.39%,43.56%,56.44%,2.58 : 1,3.29 : 1,48.08%,52.66%,"18,106","23,656","19'34""","17'17""",48.61%,51.39%,51.28%,51.22%,4.52%,4.01%,3.30%,3.15%
malphite,51.72%,48.28%,50.27%,49.73%,2.85 : 1,2.36 : 1,51.68%,44.89%,"22,663","20,277","15'45""","16'49""",51.72%,48.28%,51.28%,52.75%,4.52%,0.79%,3.30%,7.88%
malzahar,54.75%,45.25%,56.65%,43.35%,3.20 : 1,2.18 : 1,50.61%,43.34%,"19,469","21,625","19'8""","16'48""",54.75%,45.25%,51.28%,51.35%,4.52%,4.97%,3.30%,6.80%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,50.00%,50.00%,40.43%,59.57%,2.45 : 1,3.93 : 1,48.17%,52.83%,"15,598","18,780","23'8""","18'26""",50.00%,50.00%,51.28%,51.31%,4.52%,0.50%,3.30%,8.34%
naafiri,49.15%,50.85%,41.71%,58.29%,2.58 : 1,2.61 : 1,50.47%,47.68%,"20,632","25,735","17'50""","15'50""",49.15%,50.85%,51.28%,52.33%,4.52%,0.68%,3.30%,12.54%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,41.56%,58.44%,41.34%,58.66%,2.64 : 1,3.18 : 1,49.56%,45.68%,"17,306","18,867","18'45""","18'5""",41.56%,58.44%,51.28%,52.68%,4.52%,0.67%,3.30%,1.71%
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,,,,,,,,,,,,,,,,,,,,
orianna,51.11%,48.89%,46.64%,53.36%,2.69 : 1,2.97 : 1,49.86%,51.89%,"17,077","21,616","18'37""","17'52""",51.11%,48.89%,51.28%,50.19%,4.52%,5.30%,3.30%,1.36%
ornn,,,,,,,,,,,,,,,,,,,,
pantheon,,,,,,,,,,,,,,,,,,,,
poppy,,,,,,,,,,,,,,,,,,,,
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,49.52%,50.48%,43.31%,56.69%,2.26 : 1,2.37 : 1,49.00%,49.49%,"19,074","24,134","18'11""","16'57""",49.52%,50.48%,51.28%,51.41%,4.52%,2.44%,3.30%,1.06%
quinn,32.69%,67.31%,42.11%,57.89%,2.32 : 1,2.57 : 1,49.96%,50.47%,"15,562","22,321","18'3""","17'47""",32.69%,67.31%,51.28%,53.99%,4.52%,0.68%,3.30%,1.70%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,,,,,,,,,,,,,,,,,,,,
rengar,,,,,,,,,,,,,,,,,,,,
riven,,,,,,,,,,,,,,,,,,,,
rumble,,,,,,,,,,,,,,,,,,,,
ryze,59.52%,40.48%,54.44%,45.56%,3.26 : 1,2.13 : 1,50.34%,43.79%,"19,236","21,952","17'57""","18'13""",59.52%,40.48%,51.28%,48.66%,4.52%,3.12%,3.30%,0.68%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,,,,,,,,,,,,,,,,,,,,
shaco,,,,,,,,,,,,,,,,,,,,
shen,,,,,,,,,,,,,,,,,,,,
shyvana,,,,,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,49.75%,50.25%,55.09%,44.91%,2.92 : 1,2.24 : 1,47.86%,45.47%,"19,696","30,683","18'41""","17'20""",49.75%,50.25%,51.28%,46.74%,4.52%,1.19%,3.30%,4.92%
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,49.12%,50.88%,51.91%,48.09%,2.76 : 1,2.78 : 1,48.80%,51.45%,"19,906","22,303","18'5""","17'54""",49.12%,50.88%,51.28%,51.68%,4.52%,1.04%,3.30%,0.71%
