Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,48.91%,51.09%,41.62%,58.38%,1.93 : 1,2.00 : 1,40.98%,36.86%,"25,384","23,294","17'17""","16'51""",48.91%,51.09%,50.83%,49.99%,4.85%,10.06%,4.91%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,54.55%,45.45%,42.70%,57.30%,2.02 : 1,2.07 : 1,41.96%,36.73%,"26,000","24,016","16'46""","18'26""",54.55%,45.45%,50.83%,49.85%,4.85%,1.62%,4.91%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,53.18%,46.82%,44.15%,55.85%,1.98 : 1,1.86 : 1,41.53%,39.02%,"27,533","23,756","16'11""","17'54""",53.18%,46.82%,50.83%,51.13%,4.85%,3.68%,4.91%,1.44%
cassiopeia,40.54%,59.46%,43.37%,56.63%,2.09 : 1,2.03 : 1,44.25%,39.61%,"22,818","23,009","16'28""","16'25""",40.54%,59.46%,50.83%,51.16%,4.85%,0.58%,4.91%,1.11%
chogath,49.05%,50.95%,53.17%,46.83%,2.34 : 1,1.92 : 1,42.82%,36.43%,"29,940","23,338","17'1""","16'38""",49.05%,50.95%,50.83%,51.78%,4.85%,3.22%,4.91%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,53.12%,46.88%,46.54%,53.46%,2.15 : 1,1.70 : 1,42.65%,34.65%,"26,614","19,604","16'47""","17'19""",53.12%,46.88%,50.83%,50.04%,4.85%,5.73%,4.91%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,48.30%,51.70%,50.55%,49.45%,2.34 : 1,1.77 : 1,40.95%,32.47%,"36,196","25,587","16'49""","16'21""",48.30%,51.70%,50.83%,50.50%,4.85%,7.36%,4.91%,15.55%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,52.70%,47.30%,50.37%,49.63%,2.15 : 1,1.50 : 1,41.91%,34.44%,"26,350","22,538","15'52""","16'10""",52.70%,47.30%,50.83%,51.39%,4.85%,4.67%,4.91%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,56.52%,43.48%,49.40%,50.60%,2.22 : 1,2.36 : 1,42.37%,46.40%,"29,054","18,469","16'54""","17'42""",56.52%,43.48%,50.83%,48.93%,4.85%,0.54%,4.91%,2.78%
garen,49.61%,50.39%,48.18%,51.82%,2.15 : 1,1.88 : 1,41.57%,33.83%,"28,909","21,520","16'42""","17'12""",49.61%,50.39%,50.83%,50.51%,4.85%,3.85%,4.91%,2.29%
gnar,53.71%,46.29%,47.31%,52.69%,2.20 : 1,1.87 : 1,41.17%,35.52%,"24,681","22,987","16'55""","17'16""",53.71%,46.29%,50.83%,49.49%,4.85%,3.21%,4.91%,0.95%
gragas,49.04%,50.96%,44.85%,55.15%,2.01 : 1,2.38 : 1,40.24%,38.23%,"26,650","21,948","17'2""","17'53""",49.04%,50.96%,50.83%,50.73%,4.85%,3.44%,4.91%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,52.01%,47.99%,48.84%,51.16%,2.09 : 1,1.68 : 1,42.15%,36.80%,"24,337","24,567","16'13""","16'18""",52.01%,47.99%,50.83%,49.91%,4.85%,3.46%,4.91%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,50.57%,49.43%,58.88%,41.12%,2.80 : 1,1.58 : 1,45.44%,32.61%,"24,837","28,601","17'21""","16'15""",50.57%,49.43%,50.83%,52.80%,4.85%,0.99%,4.91%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,54.55%,45.45%,49.80%,50.20%,2.21 : 1,1.33 : 1,39.58%,30.07%,"29,189","26,279","17'35""","15'47""",54.55%,45.45%,50.83%,49.43%,4.85%,1.69%,4.91%,2.87%
irelia,48.93%,51.07%,49.96%,50.04%,2.14 : 1,1.48 : 1,44.25%,36.53%,"25,766","22,571","16'32""","15'43""",48.93%,51.07%,50.83%,51.33%,4.85%,4.45%,4.91%,13.90%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,52.16%,47.84%,52.08%,47.92%,2.22 : 1,1.58 : 1,42.62%,34.40%,"26,922","21,395","16'7""","16'39""",52.16%,47.84%,50.83%,50.45%,4.85%,6.90%,4.91%,8.88%
jayce,53.67%,46.33%,52.00%,48.00%,2.16 : 1,1.72 : 1,42.38%,38.41%,"23,414","26,011","17'0""","16'27""",53.67%,46.33%,50.83%,49.00%,4.85%,5.02%,4.91%,8.03%
