Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,53.91%,46.09%,48.57%,51.43%,1.84 : 1,1.67 : 1,33.84%,34.45%,"21,556","22,519","16'33""","17'3""",53.91%,46.09%,50.51%,49.99%,3.85%,10.06%,2.29%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,52.03%,47.97%,46.92%,53.08%,1.81 : 1,1.97 : 1,33.08%,37.07%,"20,200","24,713","16'22""","17'59""",52.03%,47.97%,50.51%,49.85%,3.85%,1.62%,2.29%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,46.46%,53.54%,48.24%,51.76%,1.58 : 1,2.04 : 1,33.50%,40.28%,"20,318","26,349","16'25""","16'41""",46.46%,53.54%,50.51%,51.13%,3.85%,3.68%,2.29%,1.44%
cassiopeia,46.34%,53.66%,50.49%,49.51%,1.96 : 1,2.03 : 1,36.08%,39.05%,"19,495","23,773","17'0""","17'7""",46.34%,53.66%,50.51%,51.16%,3.85%,0.58%,2.29%,1.11%
chogath,40.53%,59.47%,47.09%,52.91%,1.75 : 1,2.09 : 1,34.68%,36.66%,"25,433","24,613","16'46""","16'43""",40.53%,59.47%,50.51%,51.78%,3.85%,3.22%,2.29%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,51.17%,48.83%,47.06%,52.94%,1.79 : 1,1.75 : 1,34.40%,35.33%,"19,848","21,606","16'47""","16'22""",51.17%,48.83%,50.51%,50.04%,3.85%,5.73%,2.29%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,52.20%,47.80%,60.39%,39.61%,2.32 : 1,1.58 : 1,36.04%,32.20%,"33,424","26,180","15'46""","16'45""",52.20%,47.80%,50.51%,50.50%,3.85%,7.36%,2.29%,15.55%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,47.06%,52.94%,49.01%,50.99%,1.79 : 1,1.63 : 1,33.46%,35.06%,"21,101","24,460","16'32""","15'27""",47.06%,52.94%,50.51%,51.39%,3.85%,4.67%,2.29%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,47.50%,52.50%,46.34%,53.66%,1.95 : 1,2.31 : 1,37.35%,40.90%,"22,781","18,003","16'46""","20'53""",47.50%,52.50%,50.51%,48.93%,3.85%,0.54%,2.29%,2.78%
