Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.64%,47.36%,44.94%,55.06%,1.85 : 1,1.79 : 1,37.20%,36.00%,"23,323","20,911","16'55""","16'56""",52.64%,47.36%,49.49%,49.99%,3.21%,10.06%,0.95%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,54.12%,45.88%,39.75%,60.25%,1.84 : 1,1.93 : 1,38.69%,36.53%,"22,659","23,397","17'13""","19'37""",54.12%,45.88%,49.49%,49.85%,3.21%,1.62%,0.95%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,48.69%,51.31%,44.30%,55.70%,1.74 : 1,1.95 : 1,36.26%,39.15%,"21,894","20,824","16'20""","17'37""",48.69%,51.31%,49.49%,51.13%,3.21%,3.68%,0.95%,1.44%
cassiopeia,41.67%,58.33%,53.59%,46.41%,1.74 : 1,1.79 : 1,37.48%,41.11%,"19,386","23,618","17'15""","17'7""",41.67%,58.33%,49.49%,51.16%,3.21%,0.58%,0.95%,1.11%
