Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,48.06%,51.94%,52.74%,47.26%,1.99 : 1,1.79 : 1,36.26%,36.24%,"22,081","24,020","16'50""","17'21""",48.06%,51.94%,50.73%,49.99%,3.44%,10.06%,1.75%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,43.51%,56.49%,47.40%,52.60%,1.71 : 1,2.07 : 1,35.51%,35.96%,"20,650","24,977","17'50""","18'32""",43.51%,56.49%,50.73%,49.85%,3.44%,1.62%,1.75%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,49.33%,50.67%,59.29%,40.71%,2.27 : 1,1.75 : 1,39.21%,36.50%,"22,148","22,732","16'2""","18'3""",49.33%,50.67%,50.73%,51.13%,3.44%,3.68%,1.75%,1.44%
cassiopeia,54.72%,45.28%,52.33%,47.67%,2.31 : 1,1.74 : 1,37.31%,37.99%,"19,940","22,830","16'41""","17'45""",54.72%,45.28%,50.73%,51.16%,3.44%,0.58%,1.75%,1.11%
chogath,51.52%,48.48%,60.02%,39.98%,2.37 : 1,1.96 : 1,38.43%,37.58%,"26,404","23,677","16'50""","17'19""",51.52%,48.48%,50.73%,51.78%,3.44%,3.22%,1.75%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,53.25%,46.75%,54.02%,45.98%,2.23 : 1,1.67 : 1,38.40%,33.93%,"22,703","20,387","16'50""","17'6""",53.25%,46.75%,50.73%,50.04%,3.44%,5.73%,1.75%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,47.65%,52.35%,57.71%,42.29%,2.37 : 1,1.55 : 1,37.67%,32.49%,"30,293","28,489","16'59""","15'55""",47.65%,52.35%,50.73%,50.50%,3.44%,7.36%,1.75%,15.55%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,51.78%,48.22%,52.98%,47.02%,2.16 : 1,1.39 : 1,37.23%,32.49%,"21,543","23,523","16'38""","15'48""",51.78%,48.22%,50.73%,51.39%,3.44%,4.67%,1.75%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,47.89%,52.11%,55.21%,44.79%,2.14 : 1,2.21 : 1,37.22%,42.15%,"17,618","20,513","16'28""","18'12""",47.89%,52.11%,50.73%,48.93%,3.44%,0.54%,1.75%,2.78%
gangplank,50.96%,49.04%,55.15%,44.85%,2.38 : 1,2.01 : 1,38.23%,40.24%,"21,948","26,650","17'53""","17'2""",50.96%,49.04%,50.73%,50.83%,3.44%,4.85%,1.75%,4.91%
garen,49.09%,50.91%,52.75%,47.25%,2.19 : 1,1.78 : 1,37.87%,33.03%,"22,985","21,654","17'5""","16'24""",49.09%,50.91%,50.73%,50.51%,3.44%,3.85%,1.75%,2.29%
gnar,47.88%,52.12%,57.40%,42.60%,2.09 : 1,1.68 : 1,37.44%,34.66%,"20,826","23,893","17'7""","17'25""",47.88%,52.12%,50.73%,49.49%,3.44%,3.21%,1.75%,0.95%
graves,,,,,,,,,,,,,,,,,,,,
gwen,55.87%,44.13%,54.19%,45.81%,2.25 : 1,1.45 : 1,37.21%,33.03%,"21,569","24,261","16'48""","16'49""",55.87%,44.13%,50.73%,49.91%,3.44%,3.46%,1.75%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,51.90%,48.10%,53.61%,46.39%,2.37 : 1,1.52 : 1,36.51%,33.61%,"19,254","31,317","17'6""","15'57""",51.90%,48.10%,50.73%,52.80%,3.44%,0.99%,1.75%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,50.78%,49.22%,56.00%,44.00%,2.27 : 1,1.23 : 1,35.95%,30.38%,"23,982","27,825","17'30""","15'2""",50.78%,49.22%,50.73%,49.43%,3.44%,1.69%,1.75%,2.87%
irelia,54.68%,45.32%,53.87%,46.13%,2.25 : 1,1.36 : 1,38.53%,35.45%,"20,705","23,732","17'21""","15'43""",54.68%,45.32%,50.73%,51.33%,3.44%,4.45%,1.75%,13.90%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,50.29%,49.71%,55.78%,44.22%,2.18 : 1,1.60 : 1,37.11%,32.33%,"21,397","20,776","16'57""","16'44""",50.29%,49.71%,50.73%,50.45%,3.44%,6.90%,1.75%,8.88%
jayce,52.44%,47.56%,60.43%,39.57%,2.28 : 1,1.61 : 1,38.41%,38.71%,"19,198","25,609","16'20""","16'28""",52.44%,47.56%,50.73%,49.00%,3.44%,5.02%,1.75%,8.03%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,52.42%,47.58%,65.18%,34.82%,2.56 : 1,1.42 : 1,39.77%,35.01%,"23,690","22,130","15'17""","19'28""",52.42%,47.58%,50.73%,52.31%,3.44%,3.67%,1.75%,4.66%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,52.71%,47.29%,52.47%,47.53%,2.00 : 1,1.85 : 1,37.02%,38.88%,"20,255","27,023","16'39""","18'12""",52.71%,47.29%,50.73%,52.51%,3.44%,2.32%,1.75%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,50.00%,50.00%,50.51%,49.49%,1.95 : 1,1.88 : 1,36.85%,40.22%,"23,021","23,483","15'34""","15'37""",50.00%,50.00%,50.73%,52.00%,3.44%,1.49%,1.75%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,54.47%,45.53%,45.38%,54.62%,2.12 : 1,1.97 : 1,35.80%,36.27%,"20,183","21,181","18'18""","17'37""",54.47%,45.53%,50.73%,48.50%,3.44%,4.36%,1.75%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,48.88%,51.12%,50.32%,49.68%,2.14 : 1,2.32 : 1,37.65%,39.58%,"22,200","21,936","16'45""","17'48""",48.88%,51.12%,50.73%,52.32%,3.44%,4.64%,1.75%,8.57%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
