Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,45.60%,54.40%,2.53 : 1,2.58 : 1,52.95%,49.61%,"21,722","15,572",45.60%,54.40%,49.66%,49.86%,5.72%,1.98%,4.44%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,46.13%,53.87%,2.50 : 1,2.68 : 1,51.92%,50.18%,"21,038","15,395",46.13%,53.87%,49.66%,51.11%,5.72%,1.95%,4.44%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,47.61%,52.39%,2.58 : 1,2.42 : 1,53.47%,51.53%,"23,762","21,684",47.61%,52.39%,49.66%,52.58%,5.72%,3.97%,4.44%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,45.05%,54.95%,2.44 : 1,2.52 : 1,51.05%,50.47%,"21,100","21,188",45.05%,54.95%,49.66%,51.16%,5.72%,5.33%,4.44%,6.00%
drmundo,49.23%,50.77%,2.70 : 1,2.58 : 1,52.27%,45.20%,"27,731","20,237",49.23%,50.77%,49.66%,49.06%,5.72%,1.62%,4.44%,15.07%
draven,,,,,,,,,,,,,,,,
ekko,50.53%,49.47%,2.66 : 1,2.73 : 1,52.06%,50.83%,"23,803","20,474",50.53%,49.47%,49.66%,51.52%,5.72%,6.36%,4.44%,4.77%
elise,46.97%,53.03%,2.46 : 1,2.70 : 1,51.34%,51.22%,"20,886","19,332",46.97%,53.03%,49.66%,50.82%,5.72%,3.31%,4.44%,5.61%
evelynn,46.13%,53.87%,2.41 : 1,2.98 : 1,50.70%,51.59%,"22,268","23,429",46.13%,53.87%,49.66%,51.00%,5.72%,2.68%,4.44%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,44.41%,55.59%,2.46 : 1,2.99 : 1,51.73%,50.66%,"22,496","21,171",44.41%,55.59%,49.66%,52.29%,5.72%,3.04%,4.44%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,47.09%,52.91%,2.34 : 1,3.00 : 1,50.82%,48.56%,"23,276","21,394",47.09%,52.91%,49.66%,50.97%,5.72%,1.19%,4.44%,1.66%
gwen,50.00%,50.00%,2.62 : 1,2.29 : 1,52.23%,45.78%,"21,283","19,936",50.00%,50.00%,49.66%,50.90%,5.72%,1.25%,4.44%,8.41%
hecarim,52.04%,47.96%,2.56 : 1,2.78 : 1,51.85%,52.45%,"22,295","18,620",52.04%,47.96%,49.66%,49.79%,5.72%,4.29%,4.44%,4.63%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,46.56%,53.44%,2.47 : 1,4.17 : 1,50.87%,58.91%,"18,179","10,452",46.56%,53.44%,49.66%,51.99%,5.72%,1.45%,4.44%,0.83%
janna,,,,,,,,,,,,,,,,
jarvaniv,49.06%,50.94%,2.48 : 1,3.41 : 1,52.09%,60.34%,"22,734","16,674",49.06%,50.94%,49.66%,51.87%,5.72%,7.13%,4.44%,3.04%
