Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,53.04%,46.96%,47.85%,52.15%,1.59 : 1,1.79 : 1,35.84%,37.91%,"24,786","22,433","16'21""","16'18""",53.04%,46.96%,49.91%,49.99%,3.46%,10.06%,8.68%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,43.11%,56.89%,39.26%,60.74%,1.27 : 1,2.27 : 1,32.42%,38.16%,"21,173","26,011","17'47""","17'7""",43.11%,56.89%,49.91%,49.85%,3.46%,1.62%,8.68%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,42.14%,57.86%,52.27%,47.73%,1.61 : 1,1.87 : 1,37.32%,39.14%,"25,804","23,286","15'27""","17'28""",42.14%,57.86%,49.91%,51.13%,3.46%,3.68%,8.68%,1.44%
cassiopeia,52.50%,47.50%,40.00%,60.00%,1.43 : 1,1.93 : 1,34.44%,40.43%,"22,012","22,768","18'4""","15'41""",52.50%,47.50%,49.91%,51.16%,3.46%,0.58%,8.68%,1.11%
chogath,52.01%,47.99%,50.69%,49.31%,1.69 : 1,1.87 : 1,36.22%,36.67%,"29,940","21,395","15'55""","16'49""",52.01%,47.99%,49.91%,51.78%,3.46%,3.22%,8.68%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,53.87%,46.13%,46.71%,53.29%,1.55 : 1,1.81 : 1,35.30%,37.29%,"22,926","21,110","16'14""","16'10""",53.87%,46.13%,49.91%,50.04%,3.46%,5.73%,8.68%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,55.17%,44.83%,56.46%,43.54%,1.97 : 1,1.49 : 1,36.51%,30.93%,"38,397","23,012","15'52""","16'25""",55.17%,44.83%,49.91%,50.50%,3.46%,7.36%,8.68%,15.55%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,49.76%,50.24%,45.68%,54.32%,1.48 : 1,1.61 : 1,34.25%,36.41%,"23,352","23,706","16'19""","15'2""",49.76%,50.24%,49.91%,51.39%,3.46%,4.67%,8.68%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,45.00%,55.00%,57.00%,43.00%,1.65 : 1,2.42 : 1,38.89%,43.59%,"26,635","21,156","15'3""","20'36""",45.00%,55.00%,49.91%,48.93%,3.46%,0.54%,8.68%,2.78%
gangplank,47.99%,52.01%,51.16%,48.84%,1.68 : 1,2.09 : 1,36.80%,42.15%,"24,567","24,337","16'18""","16'13""",47.99%,52.01%,49.91%,50.83%,3.46%,4.85%,8.68%,4.91%
garen,53.33%,46.67%,46.03%,53.97%,1.49 : 1,1.98 : 1,34.61%,37.53%,"24,683","23,483","16'15""","15'33""",53.33%,46.67%,49.91%,50.51%,3.46%,3.85%,8.68%,2.29%
gnar,50.29%,49.71%,48.28%,51.72%,1.57 : 1,2.04 : 1,33.45%,37.15%,"21,732","23,404","16'49""","16'24""",50.29%,49.71%,49.91%,49.49%,3.46%,3.21%,8.68%,0.95%
gragas,44.13%,55.87%,45.81%,54.19%,1.45 : 1,2.25 : 1,33.03%,37.21%,"24,261","21,569","16'49""","16'48""",44.13%,55.87%,49.91%,50.73%,3.46%,3.44%,8.68%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,41.43%,58.57%,47.76%,52.24%,1.51 : 1,1.65 : 1,33.55%,33.60%,"17,934","28,807","19'6""","14'49""",41.43%,58.57%,49.91%,52.80%,3.46%,0.99%,8.68%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,60.14%,39.86%,57.36%,42.64%,2.03 : 1,1.17 : 1,36.25%,28.92%,"27,826","23,670","16'14""","15'47""",60.14%,39.86%,49.91%,49.43%,3.46%,1.69%,8.68%,2.87%
irelia,48.75%,51.25%,45.20%,54.80%,1.69 : 1,1.59 : 1,37.01%,37.11%,"23,426","22,227","16'19""","14'44""",48.75%,51.25%,49.91%,51.33%,3.46%,4.45%,8.68%,13.90%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,45.73%,54.27%,46.89%,53.11%,1.52 : 1,1.74 : 1,35.08%,35.02%,"22,062","21,510","16'14""","15'33""",45.73%,54.27%,49.91%,50.45%,3.46%,6.90%,8.68%,8.88%
jayce,46.45%,53.55%,52.05%,47.95%,1.61 : 1,1.89 : 1,35.19%,39.45%,"20,057","24,991","16'36""","15'47""",46.45%,53.55%,49.91%,49.00%,3.46%,5.02%,8.68%,8.03%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,39.91%,60.09%,58.66%,41.34%,1.69 : 1,1.80 : 1,36.83%,37.37%,"24,316","22,149","15'22""","18'0""",39.91%,60.09%,49.91%,52.31%,3.46%,3.67%,8.68%,4.66%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,40.70%,59.30%,49.24%,50.76%,1.47 : 1,2.13 : 1,33.47%,37.70%,"20,847","25,234","16'46""","16'30""",40.70%,59.30%,49.91%,52.51%,3.46%,2.32%,8.68%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,47.37%,52.63%,47.16%,52.84%,1.64 : 1,2.18 : 1,37.35%,42.55%,"24,555","22,039","15'22""","15'4""",47.37%,52.63%,49.91%,52.00%,3.46%,1.49%,8.68%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,49.33%,50.67%,40.02%,59.98%,1.44 : 1,2.23 : 1,33.72%,37.19%,"23,917","20,107","17'13""","16'38""",49.33%,50.67%,49.91%,48.50%,3.46%,4.36%,8.68%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,48.46%,51.54%,43.04%,56.96%,1.38 : 1,2.54 : 1,32.76%,40.00%,"23,439","20,415","16'11""","17'46""",48.46%,51.54%,49.91%,52.32%,3.46%,4.64%,8.68%,8.57%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,50.69%,49.31%,47.63%,52.37%,1.61 : 1,1.66 : 1,35.85%,34.01%,"24,688","22,860","16'33""","16'29""",50.69%,49.31%,49.91%,51.85%,3.46%,5.22%,8.68%,5.97%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,47.59%,52.41%,49.26%,50.74%,1.70 : 1,1.80 : 1,36.15%,34.92%,"29,115","20,375","15'43""","17'12""",47.59%,52.41%,49.91%,51.37%,3.46%,2.96%,8.68%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,46.85%,53.15%,48.26%,51.74%,1.64 : 1,1.75 : 1,37.65%,38.94%,"22,844","24,247","16'21""","15'33""",46.85%,53.15%,49.91%,52.41%,3.46%,1.69%,8.68%,1.37%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,48.31%,51.69%,42.73%,57.27%,1.53 : 1,2.48 : 1,34.55%,39.30%,"26,755","18,890","16'42""","17'2""",48.31%,51.69%,49.91%,51.19%,3.46%,3.76%,8.68%,0.43%
pantheon,45.55%,54.45%,44.42%,55.58%,1.43 : 1,2.12 : 1,34.20%,41.90%,"21,272","24,659","16'4""","16'51""",45.55%,54.45%,49.91%,51.41%,3.46%,2.15%,8.68%,10.61%
poppy,55.14%,44.86%,44.58%,55.42%,1.54 : 1,2.15 : 1,34.46%,41.31%,"24,846","22,551","16'0""","17'13""",55.14%,44.86%,49.91%,51.65%,3.46%,1.38%,8.68%,6.59%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,51.04%,48.96%,52.87%,47.13%,1.77 : 1,1.88 : 1,34.50%,40.84%,"20,822","23,727","15'22""","18'18""",51.04%,48.96%,49.91%,53.64%,3.46%,1.86%,8.68%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,52.86%,47.14%,47.61%,52.39%,1.57 : 1,1.74 : 1,35.85%,36.41%,"26,353","21,748","16'16""","16'1""",52.86%,47.14%,49.91%,50.35%,3.46%,6.82%,8.68%,5.72%
rengar,,,,,,,,,,,,,,,,,,,,
riven,44.44%,55.56%,44.14%,55.86%,1.37 : 1,2.11 : 1,34.82%,40.77%,"20,038","22,661","16'42""","15'45""",44.44%,55.56%,49.91%,52.39%,3.46%,4.76%,8.68%,3.77%
rumble,52.38%,47.62%,52.96%,47.04%,1.65 : 1,1.81 : 1,35.74%,38.14%,"23,059","23,294","16'17""","17'40""",52.38%,47.62%,49.91%,48.18%,3.46%,1.58%,8.68%,0.58%
ryze,56.36%,43.64%,49.03%,50.97%,1.89 : 1,1.83 : 1,35.12%,36.00%,"23,887","25,707","16'35""","16'51""",56.36%,43.64%,49.91%,50.51%,3.46%,1.11%,8.68%,0.64%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,43.08%,56.92%,47.05%,52.95%,1.53 : 1,1.78 : 1,36.65%,36.93%,"25,141","25,347","16'36""","15'0""",43.08%,56.92%,49.91%,52.67%,3.46%,7.21%,8.68%,4.79%
shaco,,,,,,,,,,,,,,,,,,,,
shen,50.39%,49.61%,47.55%,52.45%,1.65 : 1,2.61 : 1,37.09%,46.27%,"26,835","18,220","14'55""","19'5""",50.39%,49.61%,49.91%,51.64%,3.46%,5.08%,8.68%,3.71%
shyvana,,,,,,,,,,,,,,,,,,,,
singed,38.89%,61.11%,50.79%,49.21%,1.50 : 1,2.42 : 1,33.81%,42.25%,"24,272","23,498","16'16""","17'1""",38.89%,61.11%,49.91%,51.76%,3.46%,1.72%,8.68%,0.41%
sion,53.97%,46.03%,54.42%,45.58%,1.85 : 1,1.78 : 1,36.54%,37.84%,"30,620","20,287","16'49""","16'44""",53.97%,46.03%,49.91%,50.29%,3.46%,4.58%,8.68%,0.95%
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,,,,,
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,,,,,,,,,,,,,,,,,,,,
sylas,46.83%,53.17%,50.53%,49.47%,1.60 : 1,1.83 : 1,38.17%,39.37%,"24,552","20,931","15'56""","17'12""",46.83%,53.17%,49.91%,48.66%,3.46%,1.68%,8.68%,9.70%
syndra,,,,,,,,,,,,,,,,,,,,
tahmkench,54.22%,45.78%,43.92%,56.08%,1.50 : 1,2.46 : 1,32.24%,39.43%,"28,900","21,306","16'1""","17'15""",54.22%,45.78%,49.91%,51.31%,3.46%,0.79%,8.68%,0.89%
taliyah,,,,,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,,,,,
taric,,,,,,,,,,,,,,,,,,,,
teemo,46.67%,53.33%,52.50%,47.50%,1.78 : 1,1.60 : 1,36.10%,35.20%,"21,614","26,343","16'42""","16'34""",46.67%,53.33%,49.91%,51.42%,3.46%,2.62%,8.68%,3.95%
thresh,,,,,,,,,,,,,,,,,,,,
tristana,,,,,,,,,,,,,,,,,,,,
trundle,53.80%,46.20%,55.22%,44.78%,1.86 : 1,1.29 : 1,34.86%,33.91%,"25,960","20,557","16'24""","14'36""",53.80%,46.20%,49.91%,51.05%,3.46%,2.03%,8.68%,2.32%
tryndamere,47.70%,52.30%,48.54%,51.46%,1.69 : 1,1.56 : 1,34.98%,33.58%,"26,230","21,444","16'23""","14'40""",47.70%,52.30%,49.91%,50.62%,3.46%,2.10%,8.68%,1.67%
twistedfate,,,,,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,,,,,
udyr,50.65%,49.35%,54.05%,45.95%,1.72 : 1,1.62 : 1,37.70%,34.68%,"24,815","20,354","15'58""","15'20""",50.65%,49.35%,49.91%,43.96%,3.46%,0.84%,8.68%,2.64%
urgot,46.67%,53.33%,50.68%,49.32%,1.59 : 1,2.01 : 1,36.43%,39.43%,"21,930","22,446","15'59""","16'27""",46.67%,53.33%,49.91%,52.68%,3.46%,2.75%,8.68%,0.87%
varus,44.44%,55.56%,54.50%,45.50%,1.56 : 1,1.48 : 1,31.87%,35.06%,"20,182","23,765","16'40""","16'25""",44.44%,55.56%,49.91%,49.13%,3.46%,0.86%,8.68%,1.59%
vayne,39.58%,60.42%,55.80%,44.20%,1.49 : 1,1.69 : 1,33.85%,33.33%,"21,804","24,195","16'18""","17'31""",39.58%,60.42%,49.91%,49.95%,3.46%,1.22%,8.68%,3.99%
veigar,,,,,,,,,,,,,,,,,,,,
velkoz,,,,,,,,,,,,,,,,,,,,
vex,,,,,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,,,,,
viktor,,,,,,,,,,,,,,,,,,,,
vladimir,47.85%,52.15%,40.24%,59.76%,1.32 : 1,2.14 : 1,32.29%,38.53%,"24,344","26,098","16'30""","16'54""",47.85%,52.15%,49.91%,51.16%,3.46%,3.07%,8.68%,10.35%
volibear,48.25%,51.75%,53.57%,46.43%,1.75 : 1,1.56 : 1,36.87%,34.82%,"24,816","22,804","16'5""","15'29""",48.25%,51.75%,49.91%,49.72%,3.46%,2.76%,8.68%,4.43%
