Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,44.67%,55.33%,2.76 : 1,2.53 : 1,55.94%,51.94%,"21,502","18,398",44.67%,55.33%,49.79%,49.86%,4.29%,1.98%,4.63%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,50.18%,49.82%,3.14 : 1,2.49 : 1,54.57%,52.08%,"18,330","16,055",50.18%,49.82%,49.79%,51.11%,4.29%,1.95%,4.63%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,47.52%,52.48%,2.85 : 1,2.37 : 1,54.75%,52.79%,"21,527","22,753",47.52%,52.48%,49.79%,52.58%,4.29%,3.97%,4.63%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,51.26%,48.74%,3.03 : 1,2.35 : 1,55.31%,51.80%,"20,571","22,579",51.26%,48.74%,49.79%,51.16%,4.29%,5.33%,4.63%,6.00%
drmundo,48.18%,51.82%,3.22 : 1,2.99 : 1,55.19%,49.41%,"23,920","21,402",48.18%,51.82%,49.79%,49.06%,4.29%,1.62%,4.63%,15.07%
draven,,,,,,,,,,,,,,,,
ekko,51.26%,48.74%,2.89 : 1,2.82 : 1,53.07%,53.86%,"20,958","21,989",51.26%,48.74%,49.79%,51.52%,4.29%,6.36%,4.63%,4.77%
elise,51.60%,48.40%,2.81 : 1,2.57 : 1,53.68%,53.23%,"19,776","21,609",51.60%,48.40%,49.79%,50.82%,4.29%,3.31%,4.63%,5.61%
evelynn,46.32%,53.68%,2.74 : 1,2.98 : 1,53.84%,52.60%,"20,977","23,194",46.32%,53.68%,49.79%,51.00%,4.29%,2.68%,4.63%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,49.67%,50.33%,3.01 : 1,2.82 : 1,54.76%,52.10%,"19,654","21,285",49.67%,50.33%,49.79%,52.29%,4.29%,3.04%,4.63%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,47.06%,52.94%,2.49 : 1,2.95 : 1,51.41%,50.12%,"18,261","21,001",47.06%,52.94%,49.79%,50.97%,4.29%,1.19%,4.63%,1.66%
graves,47.96%,52.04%,2.78 : 1,2.56 : 1,52.45%,51.85%,"18,620","22,295",47.96%,52.04%,49.79%,49.66%,4.29%,5.72%,4.63%,4.44%
gwen,50.98%,49.02%,3.29 : 1,2.25 : 1,54.09%,49.14%,"19,653","22,522",50.98%,49.02%,49.79%,50.90%,4.29%,1.25%,4.63%,8.41%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,43.28%,56.72%,2.52 : 1,4.22 : 1,51.25%,63.34%,"17,683","11,485",43.28%,56.72%,49.79%,51.99%,4.29%,1.45%,4.63%,0.83%
janna,,,,,,,,,,,,,,,,
jarvaniv,45.58%,54.42%,2.71 : 1,3.66 : 1,54.84%,64.40%,"20,082","18,640",45.58%,54.42%,49.79%,51.87%,4.29%,7.13%,4.63%,3.04%
