Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,54.07%,45.93%,47.23%,52.77%,1.66 : 1,1.81 : 1,35.88%,35.21%,"30,504","19,075","15'5""","18'8""",54.07%,45.93%,52.80%,49.99%,0.99%,10.06%,1.19%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,43.75%,56.25%,31.58%,68.42%,1.14 : 1,2.56 : 1,30.08%,36.04%,"26,303","20,532","16'5""","17'1""",43.75%,56.25%,52.80%,49.85%,0.99%,1.62%,1.19%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,63.16%,36.84%,54.87%,45.13%,2.01 : 1,1.73 : 1,38.67%,40.49%,"30,760","17,980","13'11""","19'22""",63.16%,36.84%,52.80%,51.13%,0.99%,3.68%,1.19%,1.44%
cassiopeia,61.90%,38.10%,46.88%,53.13%,2.05 : 1,1.84 : 1,41.14%,37.02%,"28,939","19,414","15'24""","19'14""",61.90%,38.10%,52.80%,51.16%,0.99%,0.58%,1.19%,1.11%
chogath,55.26%,44.74%,53.79%,46.21%,1.72 : 1,1.82 : 1,35.50%,33.46%,"33,901","18,244","16'1""","18'2""",55.26%,44.74%,52.80%,51.78%,0.99%,3.22%,1.19%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,56.00%,44.00%,51.67%,48.33%,1.62 : 1,1.68 : 1,35.19%,33.83%,"29,537","16,023","14'59""","18'24""",56.00%,44.00%,52.80%,50.04%,0.99%,5.73%,1.19%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,47.30%,52.70%,49.88%,50.12%,1.58 : 1,2.08 : 1,31.55%,33.30%,"39,674","23,870","15'48""","16'49""",47.30%,52.70%,52.80%,50.50%,0.99%,7.36%,1.19%,15.55%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,58.70%,41.30%,55.45%,44.55%,1.75 : 1,1.31 : 1,36.59%,31.98%,"35,918","21,148","14'31""","17'41""",58.70%,41.30%,52.80%,51.39%,0.99%,4.67%,1.19%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,44.44%,55.56%,42.19%,57.81%,1.34 : 1,3.11 : 1,31.05%,42.27%,"24,254","16,955","16'34""","18'25""",44.44%,55.56%,52.80%,48.93%,0.99%,0.54%,1.19%,2.78%
gangplank,49.43%,50.57%,41.12%,58.88%,1.58 : 1,2.80 : 1,32.61%,45.44%,"28,601","24,837","16'15""","17'21""",49.43%,50.57%,52.80%,50.83%,0.99%,4.85%,1.19%,4.91%
garen,38.89%,61.11%,52.38%,47.62%,1.38 : 1,2.04 : 1,32.02%,30.03%,"26,867","15,918","14'24""","17'14""",38.89%,61.11%,52.80%,50.51%,0.99%,3.85%,1.19%,2.29%
gnar,60.53%,39.47%,44.63%,55.37%,1.75 : 1,1.98 : 1,33.01%,34.79%,"27,078","19,431","16'4""","17'29""",60.53%,39.47%,52.80%,49.49%,0.99%,3.21%,1.19%,0.95%
gragas,48.10%,51.90%,46.39%,53.61%,1.52 : 1,2.37 : 1,33.61%,36.51%,"31,317","19,254","15'57""","17'6""",48.10%,51.90%,52.80%,50.73%,0.99%,3.44%,1.19%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,58.57%,41.43%,52.24%,47.76%,1.65 : 1,1.51 : 1,33.60%,33.55%,"28,807","17,934","14'49""","19'6""",58.57%,41.43%,52.80%,49.91%,0.99%,3.46%,1.19%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,63.33%,36.67%,38.82%,61.18%,1.35 : 1,1.79 : 1,25.44%,30.47%,"29,461","17,663","15'49""","18'32""",63.33%,36.67%,52.80%,49.43%,0.99%,1.69%,1.19%,2.87%
irelia,56.93%,43.07%,51.50%,48.50%,1.66 : 1,1.33 : 1,37.29%,34.39%,"28,037","18,145","15'52""","16'37""",56.93%,43.07%,52.80%,51.33%,0.99%,4.45%,1.19%,13.90%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,57.64%,42.36%,48.98%,51.02%,1.53 : 1,1.51 : 1,33.50%,31.50%,"29,470","15,827","14'6""","17'31""",57.64%,42.36%,52.80%,50.45%,0.99%,6.90%,1.19%,8.88%
jayce,52.07%,47.93%,46.81%,53.19%,1.54 : 1,2.04 : 1,32.15%,37.88%,"22,755","21,920","17'9""","17'5""",52.07%,47.93%,52.80%,49.00%,0.99%,5.02%,1.19%,8.03%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
