Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,50.84%,49.16%,42.45%,57.55%,2.33 : 1,2.80 : 1,46.04%,46.51%,"26,238","22,464","17'23""","18'0""",50.84%,49.16%,50.40%,49.44%,5.57%,7.96%,3.56%,2.83%
akali,49.75%,50.25%,41.43%,58.57%,2.22 : 1,2.61 : 1,44.51%,43.83%,"25,945","24,087","17'31""","19'5""",49.75%,50.25%,50.40%,50.92%,5.57%,6.66%,3.56%,10.13%
akshan,47.55%,52.45%,44.97%,55.03%,2.38 : 1,2.63 : 1,46.54%,50.24%,"25,104","26,687","17'34""","17'37""",47.55%,52.45%,50.40%,52.47%,5.57%,2.44%,3.56%,3.49%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,49.29%,50.71%,44.57%,55.43%,2.65 : 1,2.63 : 1,47.94%,43.81%,"28,756","20,112","18'2""","18'31""",49.29%,50.71%,50.40%,52.46%,5.57%,2.22%,3.56%,1.84%
annie,49.78%,50.22%,47.99%,52.01%,2.36 : 1,2.37 : 1,46.09%,46.65%,"25,139","24,057","16'7""","19'35""",49.78%,50.22%,50.40%,51.88%,5.57%,2.77%,3.56%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,47.25%,52.75%,53.71%,46.29%,2.53 : 1,2.73 : 1,46.35%,50.60%,"29,310","25,011","16'0""","19'59""",47.25%,52.75%,50.40%,51.11%,5.57%,2.09%,3.56%,0.64%
azir,55.41%,44.59%,53.24%,46.76%,2.84 : 1,1.96 : 1,47.63%,41.41%,"27,434","23,671","16'31""","18'4""",55.41%,44.59%,50.40%,47.26%,5.57%,2.76%,3.56%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,51.65%,48.35%,56.99%,43.01%,2.89 : 1,1.76 : 1,48.10%,38.50%,"29,579","20,877","16'44""","19'58""",51.65%,48.35%,50.40%,51.13%,5.57%,1.25%,3.56%,1.22%
chogath,42.42%,57.58%,54.35%,45.65%,2.50 : 1,2.26 : 1,46.75%,41.90%,"31,277","20,712","17'13""","18'34""",42.42%,57.58%,50.40%,50.72%,5.57%,0.65%,3.56%,0.89%
corki,61.19%,38.81%,59.50%,40.50%,3.24 : 1,1.61 : 1,46.77%,38.48%,"25,335","21,666","17'31""","18'3""",61.19%,38.81%,50.40%,45.49%,5.57%,0.93%,3.56%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,48.35%,51.65%,46.22%,53.78%,2.33 : 1,2.16 : 1,46.69%,44.19%,"23,786","23,716","17'31""","16'12""",48.35%,51.65%,50.40%,51.70%,5.57%,4.21%,3.56%,5.97%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,48.05%,51.95%,43.37%,56.63%,2.41 : 1,2.56 : 1,45.89%,44.49%,"25,651","22,850","17'25""","17'12""",48.05%,51.95%,50.40%,50.98%,5.57%,3.17%,3.56%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,49.05%,50.95%,39.91%,60.09%,2.08 : 1,2.60 : 1,45.35%,46.30%,"23,871","22,695","17'18""","17'10""",49.05%,50.95%,50.40%,50.29%,5.57%,2.69%,3.56%,3.02%
galio,53.37%,46.63%,49.70%,50.30%,2.93 : 1,2.74 : 1,49.17%,47.90%,"25,608","16,718","17'28""","19'0""",53.37%,46.63%,50.40%,51.28%,5.57%,4.52%,3.56%,3.30%
gangplank,45.00%,55.00%,50.52%,49.48%,2.59 : 1,2.23 : 1,45.33%,43.81%,"26,811","24,558","17'18""","19'3""",45.00%,55.00%,50.40%,51.90%,5.57%,0.57%,3.56%,4.54%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,57.14%,42.86%,45.23%,54.77%,2.47 : 1,2.12 : 1,45.33%,41.76%,"25,876","19,456","16'35""","17'45""",57.14%,42.86%,50.40%,50.98%,5.57%,0.74%,3.56%,1.57%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,51.57%,48.43%,48.45%,51.55%,2.31 : 1,1.67 : 1,45.99%,40.97%,"25,860","21,637","17'9""","16'8""",51.57%,48.43%,50.40%,49.45%,5.57%,2.64%,3.56%,13.76%
ivern,,,,,,,,,,,,,,,,,,,,
