Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,47.34%,52.66%,43.32%,56.68%,1.24 : 1,2.02 : 1,29.69%,36.34%,"26,738","24,602","15'48""","17'18""",47.34%,52.66%,49.43%,49.99%,1.69%,10.06%,2.87%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,52.63%,47.37%,44.44%,55.56%,1.42 : 1,1.87 : 1,32.20%,35.08%,"28,214","26,248","15'20""","19'29""",52.63%,47.37%,49.43%,49.85%,1.69%,1.62%,2.87%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,56.56%,43.44%,46.84%,53.16%,1.55 : 1,1.77 : 1,32.74%,37.86%,"28,177","24,864","14'30""","18'57""",56.56%,43.44%,49.43%,51.13%,1.69%,3.68%,2.87%,1.44%
cassiopeia,42.11%,57.89%,40.00%,60.00%,1.42 : 1,2.15 : 1,31.76%,40.72%,"23,383","26,565","16'45""","18'46""",42.11%,57.89%,49.43%,51.16%,1.69%,0.58%,2.87%,1.11%
chogath,52.38%,47.62%,50.00%,50.00%,1.48 : 1,1.99 : 1,32.58%,37.95%,"32,551","25,084","15'19""","17'54""",52.38%,47.62%,49.43%,51.78%,1.69%,3.22%,2.87%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,47.88%,52.12%,48.74%,51.26%,1.49 : 1,1.69 : 1,33.90%,34.73%,"26,758","24,144","15'40""","17'21""",47.88%,52.12%,49.43%,50.04%,1.69%,5.73%,2.87%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,51.02%,48.98%,53.74%,46.26%,1.58 : 1,1.82 : 1,31.84%,32.27%,"41,883","27,731","14'30""","17'2""",51.02%,48.98%,49.43%,50.50%,1.69%,7.36%,2.87%,15.55%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,46.71%,53.29%,48.90%,51.10%,1.48 : 1,1.55 : 1,32.58%,33.28%,"25,433","23,591","14'57""","15'49""",46.71%,53.29%,49.43%,51.39%,1.69%,4.67%,2.87%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,66.67%,33.33%,42.11%,57.89%,2.02 : 1,2.54 : 1,43.06%,50.65%,"33,456","21,679",,,66.67%,33.33%,49.43%,48.93%,1.69%,0.54%,2.87%,2.78%
gangplank,45.52%,54.48%,50.10%,49.90%,1.32 : 1,2.22 : 1,29.91%,39.55%,"26,119","29,022","15'48""","17'38""",45.52%,54.48%,49.43%,50.83%,1.69%,4.85%,2.87%,4.91%
garen,47.93%,52.07%,43.92%,56.08%,1.30 : 1,2.20 : 1,29.23%,35.99%,"27,733","25,340","15'39""","17'12""",47.93%,52.07%,49.43%,50.51%,1.69%,3.85%,2.87%,2.29%
gnar,48.74%,51.26%,49.22%,50.78%,1.34 : 1,2.08 : 1,31.61%,37.51%,"26,733","26,887","15'49""","17'7""",48.74%,51.26%,49.43%,49.49%,1.69%,3.21%,2.87%,0.95%
gragas,49.22%,50.78%,44.00%,56.00%,1.23 : 1,2.27 : 1,30.38%,35.95%,"27,825","23,982","15'2""","17'30""",49.22%,50.78%,49.43%,50.73%,1.69%,3.44%,2.87%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,40.27%,59.73%,42.64%,57.36%,1.17 : 1,2.02 : 1,28.96%,36.26%,"23,661","27,741","15'47""","16'15""",40.27%,59.73%,49.43%,49.91%,1.69%,3.46%,2.87%,8.68%
