Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.95%,47.05%,49.55%,50.45%,1.50 : 1,1.86 : 1,37.25%,38.28%,"24,341","20,632","15'17""","17'28""",52.95%,47.05%,51.33%,49.99%,4.45%,10.06%,13.90%,12.29%
ahri,,,,,,,,,,,,,,,,,,,,
akali,54.50%,45.50%,46.29%,53.71%,1.51 : 1,1.91 : 1,37.44%,38.22%,"22,694","23,536","14'49""","18'13""",54.50%,45.50%,51.33%,49.85%,4.45%,1.62%,13.90%,9.77%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,50.00%,50.00%,46.66%,53.34%,1.45 : 1,2.02 : 1,36.22%,41.17%,"21,281","22,608","15'3""","16'45""",50.00%,50.00%,51.33%,51.13%,4.45%,3.68%,13.90%,1.44%
cassiopeia,53.16%,46.84%,52.93%,47.07%,1.71 : 1,1.73 : 1,42.60%,39.95%,"22,167","21,597","15'11""","16'48""",53.16%,46.84%,51.33%,51.16%,4.45%,0.58%,13.90%,1.11%
