Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,56.72%,43.28%,4.22 : 1,2.40 : 1,59.95%,53.04%,"11,070","14,790",56.72%,43.28%,51.99%,49.86%,1.45%,1.98%,0.83%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,50.55%,49.45%,3.90 : 1,2.69 : 1,60.28%,53.49%,"10,675","14,623",50.55%,49.45%,51.99%,51.11%,1.45%,1.95%,0.83%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,42.86%,57.14%,3.39 : 1,2.55 : 1,60.08%,52.34%,"12,625","20,667",42.86%,57.14%,51.99%,52.58%,1.45%,3.97%,0.83%,4.27%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,41.85%,58.15%,3.62 : 1,2.65 : 1,59.99%,51.66%,"10,474","20,077",41.85%,58.15%,51.99%,51.16%,1.45%,5.33%,0.83%,6.00%
drmundo,53.03%,46.97%,4.28 : 1,2.59 : 1,61.43%,48.27%,"15,755","18,034",53.03%,46.97%,51.99%,49.06%,1.45%,1.62%,0.83%,15.07%
draven,,,,,,,,,,,,,,,,
ekko,50.43%,49.57%,3.91 : 1,2.75 : 1,61.02%,52.13%,"11,530","18,858",50.43%,49.57%,51.99%,51.52%,1.45%,6.36%,0.83%,4.77%
elise,59.05%,40.95%,4.33 : 1,2.39 : 1,62.65%,52.16%,"10,626","17,292",59.05%,40.95%,51.99%,50.82%,1.45%,3.31%,0.83%,5.61%
evelynn,49.18%,50.82%,4.01 : 1,3.11 : 1,60.39%,54.62%,"11,762","23,377",49.18%,50.82%,51.99%,51.00%,1.45%,2.68%,0.83%,3.73%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.79%,49.21%,4.04 : 1,2.73 : 1,58.49%,52.14%,"11,255","19,836",50.79%,49.21%,51.99%,52.29%,1.45%,3.04%,0.83%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,55.00%,45.00%,3.36 : 1,2.46 : 1,58.58%,49.79%,"11,846","19,147",55.00%,45.00%,51.99%,50.97%,1.45%,1.19%,0.83%,1.66%
graves,53.03%,46.97%,4.17 : 1,2.48 : 1,58.99%,50.83%,"10,427","18,189",53.03%,46.97%,51.99%,49.66%,1.45%,5.72%,0.83%,4.44%
gwen,49.12%,50.88%,3.96 : 1,2.42 : 1,59.23%,51.26%,"10,905","20,957",49.12%,50.88%,51.99%,50.90%,1.45%,1.25%,0.83%,8.41%
hecarim,57.35%,42.65%,4.27 : 1,2.50 : 1,63.26%,51.21%,"11,582","17,769",57.35%,42.65%,51.99%,49.79%,1.45%,4.29%,0.83%,4.63%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,
jarvaniv,52.56%,47.44%,3.97 : 1,3.16 : 1,60.65%,63.08%,"11,198","16,438",52.56%,47.44%,51.99%,51.87%,1.45%,7.13%,0.83%,3.04%
