Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,52.66%,47.34%,58.08%,41.92%,3.67 : 1,2.44 : 1,62.14%,54.69%,52.66%,47.34%,52.38%,51.10%,4.89%,6.23%,1.62%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,60.78%,39.22%,67.28%,32.72%,3.93 : 1,2.13 : 1,58.24%,52.54%,60.78%,39.22%,52.38%,45.13%,4.89%,0.56%,1.62%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,51.71%,48.29%,52.88%,47.12%,3.18 : 1,3.09 : 1,58.92%,57.77%,51.71%,48.29%,52.38%,51.07%,4.89%,5.50%,1.62%,1.52%
belveth,,,,,,,,,,,,,,,,
blitzcrank,52.70%,47.30%,51.62%,48.38%,3.25 : 1,2.62 : 1,61.22%,52.48%,52.70%,47.30%,52.38%,50.71%,4.89%,4.95%,1.62%,12.57%
brand,55.03%,44.97%,65.05%,34.95%,3.76 : 1,1.79 : 1,59.68%,46.99%,55.03%,44.97%,52.38%,48.76%,4.89%,1.44%,1.62%,1.10%
braum,49.88%,50.12%,50.85%,49.15%,3.41 : 1,3.11 : 1,60.33%,57.00%,49.88%,50.12%,52.38%,52.48%,4.89%,8.01%,1.62%,14.41%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,51.40%,48.60%,55.40%,44.60%,3.32 : 1,2.15 : 1,61.13%,52.50%,51.40%,48.60%,52.38%,52.59%,4.89%,1.60%,1.62%,5.39%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,52.46%,47.54%,57.71%,42.29%,3.56 : 1,2.01 : 1,60.05%,48.49%,52.46%,47.54%,52.38%,51.18%,4.89%,1.00%,1.62%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,56.00%,44.00%,61.90%,38.10%,3.74 : 1,2.40 : 1,63.76%,52.71%,56.00%,44.00%,52.38%,50.92%,4.89%,0.60%,1.62%,2.76%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,47.89%,52.11%,60.94%,39.06%,3.58 : 1,2.22 : 1,58.40%,50.56%,47.89%,52.11%,52.38%,49.04%,4.89%,0.76%,1.62%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.60%,48.40%,50.96%,49.04%,3.32 : 1,2.90 : 1,58.75%,55.68%,51.60%,48.40%,52.38%,50.12%,4.89%,9.39%,1.62%,5.33%
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
