Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,49.07%,50.93%,3.32 : 1,2.55 : 1,63.94%,51.92%,"17,559","17,482",49.07%,50.93%,51.88%,49.82%,7.14%,1.98%,3.05%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,52.08%,47.92%,3.73 : 1,2.51 : 1,63.29%,51.46%,"16,812","16,142",52.08%,47.92%,51.88%,51.11%,7.14%,1.95%,3.05%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,45.33%,54.67%,3.07 : 1,2.57 : 1,63.00%,54.01%,"18,346","22,397",45.33%,54.67%,51.88%,52.54%,7.14%,3.97%,3.05%,4.28%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,50.77%,49.23%,3.54 : 1,2.32 : 1,63.38%,52.14%,"17,724","21,466",50.77%,49.23%,51.88%,51.17%,7.14%,5.34%,3.05%,6.01%
drmundo,55.00%,45.00%,3.95 : 1,2.53 : 1,62.81%,49.39%,"20,180","20,684",55.00%,45.00%,51.88%,49.06%,7.14%,1.62%,3.05%,15.07%
draven,,,,,,,,,,,,,,,,
ekko,51.78%,48.22%,3.39 : 1,2.69 : 1,62.71%,52.82%,"17,928","20,660",51.78%,48.22%,51.87%,51.56%,7.13%,6.36%,3.04%,4.77%
elise,49.53%,50.47%,3.22 : 1,2.65 : 1,62.71%,52.45%,"16,959","20,898",49.53%,50.47%,51.88%,50.83%,7.14%,3.31%,3.05%,5.59%
evelynn,50.22%,49.78%,3.41 : 1,2.88 : 1,62.83%,51.92%,"18,032","22,782",50.22%,49.78%,51.88%,51.06%,7.14%,2.68%,3.05%,3.74%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,51.29%,48.71%,3.50 : 1,2.69 : 1,62.82%,51.70%,"18,062","20,841",51.29%,48.71%,51.88%,52.25%,7.14%,3.05%,3.05%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,49.76%,50.24%,3.25 : 1,2.75 : 1,62.42%,50.94%,"17,264","20,949",49.76%,50.24%,51.88%,50.95%,7.14%,1.19%,3.05%,1.66%
graves,50.88%,49.12%,3.40 : 1,2.48 : 1,60.33%,52.07%,"16,632","22,683",50.88%,49.12%,51.88%,49.64%,7.14%,5.72%,3.05%,4.43%
gwen,46.64%,53.36%,3.28 : 1,2.53 : 1,62.56%,51.54%,"17,780","23,310",46.64%,53.36%,51.87%,50.83%,7.13%,1.25%,3.04%,8.42%
hecarim,54.56%,45.44%,3.67 : 1,2.72 : 1,64.30%,54.83%,"18,602","20,098",54.56%,45.44%,51.88%,49.79%,7.14%,4.29%,3.05%,4.64%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,46.90%,53.10%,3.17 : 1,3.98 : 1,63.20%,60.65%,"16,457","11,104",46.90%,53.10%,51.87%,51.99%,7.13%,1.45%,3.04%,0.83%
janna,,,,,,,,,,,,,,,,
