Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.28%,49.72%,47.99%,52.01%,1.57 : 1,1.90 : 1,34.43%,37.51%,"22,137","22,567","16'21""","16'21""",50.28%,49.72%,50.47%,49.96%,6.90%,10.05%,8.88%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,49.19%,50.81%,43.48%,56.52%,1.47 : 1,2.00 : 1,32.40%,38.22%,"18,957","24,865","16'25""","16'58""",49.19%,50.81%,50.47%,49.80%,6.90%,1.62%,8.88%,9.78%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,54.09%,45.91%,51.65%,48.35%,1.74 : 1,1.77 : 1,35.06%,38.07%,"22,838","21,740","15'11""","17'40""",54.09%,45.91%,50.47%,51.15%,6.90%,3.68%,8.88%,1.44%
