Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,49.70%,50.30%,42.46%,57.54%,1.68 : 1,1.92 : 1,38.74%,36.05%,"25,129","19,787","16'29""","16'49""",49.70%,50.30%,48.96%,49.96%,5.01%,10.05%,8.00%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,47.12%,52.88%,39.73%,60.27%,1.60 : 1,2.10 : 1,38.89%,38.09%,"26,039","22,599","16'17""","18'32""",47.12%,52.88%,48.96%,49.80%,5.01%,1.62%,8.00%,9.78%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,47.66%,52.34%,43.69%,56.31%,1.65 : 1,1.99 : 1,39.82%,39.59%,"24,608","20,552","15'29""","16'57""",47.66%,52.34%,48.96%,51.15%,5.01%,3.68%,8.00%,1.44%
cassiopeia,50.52%,49.48%,50.11%,49.89%,1.86 : 1,1.58 : 1,42.07%,35.68%,"24,230","19,300","16'13""","17'21""",50.52%,49.48%,48.96%,51.32%,5.01%,0.58%,8.00%,1.11%
chogath,44.29%,55.71%,49.79%,50.21%,1.82 : 1,1.98 : 1,39.74%,38.51%,"29,082","20,377","15'58""","16'37""",44.29%,55.71%,48.96%,51.78%,5.01%,3.22%,8.00%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,50.54%,49.46%,46.45%,53.55%,1.88 : 1,1.73 : 1,40.78%,34.75%,"24,305","15,708","16'16""","16'46""",50.54%,49.46%,48.96%,50.09%,5.01%,5.74%,8.00%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,49.71%,50.29%,48.79%,51.21%,1.94 : 1,1.76 : 1,38.10%,34.83%,"33,548","22,080","15'49""","16'1""",49.71%,50.29%,48.96%,50.47%,5.01%,7.37%,8.00%,15.58%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,46.93%,53.07%,45.76%,54.24%,1.69 : 1,1.58 : 1,38.63%,34.65%,"24,957","19,879","15'41""","15'58""",46.93%,53.07%,48.96%,51.38%,5.01%,4.66%,8.00%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,50.00%,50.00%,44.21%,55.79%,1.65 : 1,2.50 : 1,39.41%,43.30%,"23,827","15,427","15'14""","18'46""",50.00%,50.00%,48.96%,48.98%,5.01%,0.54%,8.00%,2.77%
gangplank,46.29%,53.71%,47.93%,52.07%,1.71 : 1,2.16 : 1,38.42%,42.34%,"26,035","23,456","16'27""","16'59""",46.29%,53.71%,48.96%,50.81%,5.01%,4.85%,8.00%,4.90%
garen,50.39%,49.61%,46.97%,53.03%,1.84 : 1,1.83 : 1,38.34%,34.17%,"26,784","17,839","15'51""","16'41""",50.39%,49.61%,48.96%,50.49%,5.01%,3.85%,8.00%,2.29%
gnar,51.30%,48.70%,48.03%,51.97%,1.80 : 1,1.85 : 1,39.82%,36.07%,"25,656","19,858","16'0""","17'7""",51.30%,48.70%,48.96%,49.44%,5.01%,3.22%,8.00%,0.95%
gragas,47.50%,52.50%,39.52%,60.48%,1.61 : 1,2.28 : 1,38.65%,38.39%,"25,633","19,212","16'29""","16'23""",47.50%,52.50%,48.96%,50.75%,5.01%,3.45%,8.00%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,53.28%,46.72%,47.97%,52.03%,1.89 : 1,1.61 : 1,39.49%,35.22%,"24,983","20,043","15'46""","16'34""",53.28%,46.72%,48.96%,49.88%,5.01%,3.46%,8.00%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,47.93%,52.07%,53.19%,46.81%,2.04 : 1,1.54 : 1,37.88%,32.15%,"21,920","22,755","17'5""","17'9""",47.93%,52.07%,48.96%,52.81%,5.01%,0.99%,8.00%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,57.56%,42.44%,51.37%,48.63%,2.11 : 1,1.35 : 1,38.09%,31.46%,"26,617","22,069","17'11""","16'5""",57.56%,42.44%,48.96%,49.41%,5.01%,1.69%,8.00%,2.88%
