Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,49.27%,50.73%,59.05%,40.95%,3.08 : 1,1.88 : 1,51.94%,44.40%,"21,540","25,104","15'41""","15'32""",49.27%,50.73%,49.78%,50.11%,14.91%,8.80%,1.45%,3.15%
ashe,49.06%,50.94%,55.71%,44.29%,2.80 : 1,2.16 : 1,50.63%,47.88%,"21,754","21,867","15'54""","16'1""",49.06%,50.94%,49.78%,50.73%,14.91%,5.78%,1.45%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,50.64%,49.36%,58.28%,41.72%,3.06 : 1,1.97 : 1,50.70%,43.83%,"22,671","23,754","15'55""","15'19""",50.64%,49.36%,49.78%,49.89%,14.91%,11.06%,1.45%,12.88%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,50.25%,49.75%,53.61%,46.39%,2.84 : 1,2.22 : 1,51.12%,46.75%,"22,152","25,003","16'3""","15'23""",50.25%,49.75%,49.78%,49.51%,14.91%,2.33%,1.45%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,51.57%,48.43%,54.86%,45.14%,2.89 : 1,1.96 : 1,52.49%,46.61%,"21,894","24,893","16'0""","15'11""",51.57%,48.43%,49.78%,49.66%,14.91%,4.13%,1.45%,18.98%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,51.11%,48.89%,53.58%,46.42%,2.89 : 1,2.31 : 1,50.65%,45.87%,"22,474","26,343","15'49""","15'37""",51.11%,48.89%,49.78%,48.37%,14.91%,13.71%,1.45%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,48.48%,51.52%,51.85%,48.15%,2.71 : 1,2.54 : 1,48.74%,49.16%,"20,642","26,274","16'23""","15'38""",48.48%,51.52%,49.78%,52.18%,14.91%,0.91%,1.45%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
