Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,51.40%,48.60%,49.77%,50.23%,2.45 : 1,2.10 : 1,49.97%,46.24%,"22,086","24,362","15'23""","14'45""",51.40%,48.60%,52.17%,50.11%,12.18%,8.80%,2.74%,3.15%
ashe,51.63%,48.37%,48.76%,51.24%,2.34 : 1,2.37 : 1,49.60%,49.25%,"23,417","21,728","15'24""","15'31""",51.63%,48.37%,52.17%,50.73%,12.18%,5.78%,2.74%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,52.38%,47.62%,49.61%,50.39%,2.45 : 1,2.24 : 1,48.50%,46.01%,"23,224","23,728","15'39""","14'35""",52.38%,47.62%,52.17%,49.89%,12.18%,11.06%,2.74%,12.88%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,50.68%,49.32%,44.24%,55.76%,2.29 : 1,2.63 : 1,49.79%,49.53%,"23,902","25,374","16'2""","15'4""",50.68%,49.32%,52.17%,49.51%,12.18%,2.33%,2.74%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,51.61%,48.39%,47.93%,52.07%,2.37 : 1,2.20 : 1,50.79%,47.77%,"22,739","24,302","15'56""","14'36""",51.61%,48.39%,52.17%,49.66%,12.18%,4.13%,2.74%,18.98%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,52.29%,47.71%,43.99%,56.01%,2.29 : 1,2.66 : 1,48.72%,47.84%,"23,533","26,517","15'33""","14'54""",52.29%,47.71%,52.17%,48.37%,12.18%,13.71%,2.74%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,42.86%,57.14%,41.19%,58.81%,2.03 : 1,3.10 : 1,47.31%,50.52%,"21,805","27,493","16'39""","15'6""",42.86%,57.14%,52.17%,52.18%,12.18%,0.91%,2.74%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
