Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,47.33%,52.67%,53.64%,46.36%,2.58 : 1,2.10 : 1,50.12%,47.04%,"22,345","25,656","16'13""","14'49""",47.33%,52.67%,49.39%,50.11%,18.35%,8.80%,2.31%,3.15%
ashe,49.00%,51.00%,51.68%,48.32%,2.48 : 1,2.36 : 1,50.12%,50.46%,"22,965","22,127","16'5""","15'17""",49.00%,51.00%,49.39%,50.73%,18.35%,5.78%,2.31%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,49.09%,50.91%,54.23%,45.77%,2.62 : 1,2.16 : 1,49.41%,46.53%,"23,445","24,262","16'23""","14'17""",49.09%,50.91%,49.39%,49.89%,18.35%,11.06%,2.31%,12.88%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,48.14%,51.86%,47.65%,52.35%,2.41 : 1,2.56 : 1,49.62%,50.44%,"24,005","26,547","16'32""","14'43""",48.14%,51.86%,49.39%,49.51%,18.35%,2.33%,2.31%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,47.20%,52.80%,51.41%,48.59%,2.44 : 1,2.16 : 1,51.15%,48.98%,"21,849","24,941","16'25""","14'25""",47.20%,52.80%,49.39%,49.66%,18.35%,4.13%,2.31%,18.98%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,52.33%,47.67%,49.51%,50.49%,2.58 : 1,2.55 : 1,49.82%,48.66%,"24,215","26,392","16'7""","14'56""",52.33%,47.67%,49.39%,48.37%,18.35%,13.71%,2.31%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,48.11%,51.89%,50.83%,49.17%,2.67 : 1,2.66 : 1,49.30%,50.80%,"23,945","26,607","16'26""","15'36""",48.11%,51.89%,49.39%,52.18%,18.35%,0.91%,2.31%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
