Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,42.98%,57.02%,49.09%,50.91%,2.02 : 1,2.40 : 1,47.60%,49.66%,"19,870","27,640","15'7""","15'0""",42.98%,57.02%,46.17%,50.11%,1.23%,8.80%,0.27%,3.15%
ashe,44.14%,55.86%,50.77%,49.23%,2.01 : 1,2.29 : 1,48.14%,50.92%,"21,284","21,943","15'24""","15'28""",44.14%,55.86%,46.17%,50.73%,1.23%,5.78%,0.27%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,45.13%,54.87%,49.87%,50.13%,2.12 : 1,2.36 : 1,47.78%,48.84%,"22,112","24,683","15'17""","14'32""",45.13%,54.87%,46.17%,49.89%,1.23%,11.06%,0.27%,12.88%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,47.76%,52.24%,42.39%,57.61%,1.72 : 1,2.67 : 1,45.19%,53.31%,"21,309","26,426","14'10""","14'6""",47.76%,52.24%,46.17%,49.51%,1.23%,2.33%,0.27%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,38.10%,61.90%,45.70%,54.30%,1.66 : 1,2.41 : 1,45.54%,51.42%,"18,323","26,489","15'15""","14'42""",38.10%,61.90%,46.17%,49.66%,1.23%,4.13%,0.27%,18.98%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,52.98%,47.02%,46.77%,53.23%,2.17 : 1,2.63 : 1,47.65%,49.68%,"22,472","26,387","15'30""","15'18""",52.98%,47.02%,46.17%,48.37%,1.23%,13.71%,0.27%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,37.50%,62.50%,28.21%,71.79%,1.63 : 1,3.27 : 1,37.76%,48.50%,"17,185","24,982","16'51""","16'33""",37.50%,62.50%,46.17%,52.18%,1.23%,0.91%,0.27%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
