Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,49.59%,50.41%,55.14%,44.86%,2.92 : 1,2.56 : 1,58.09%,56.06%,49.59%,50.41%,50.08%,51.08%,9.40%,6.23%,5.32%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,61.98%,38.02%,59.59%,40.41%,3.13 : 1,2.15 : 1,53.89%,49.66%,61.98%,38.02%,50.08%,45.23%,9.40%,0.56%,5.32%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,48.63%,51.37%,49.83%,50.17%,2.75 : 1,3.21 : 1,55.97%,58.20%,48.63%,51.37%,50.08%,51.11%,9.40%,5.51%,5.32%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,47.05%,52.95%,50.91%,49.09%,2.66 : 1,2.65 : 1,56.89%,51.51%,47.05%,52.95%,50.08%,50.70%,9.40%,4.94%,5.32%,12.55%
brand,53.99%,46.01%,61.57%,38.43%,3.23 : 1,1.74 : 1,55.43%,45.52%,53.99%,46.01%,50.08%,48.82%,9.40%,1.45%,5.32%,1.10%
braum,45.96%,54.04%,48.84%,51.16%,2.75 : 1,3.16 : 1,57.42%,58.37%,45.96%,54.04%,50.08%,52.46%,9.40%,8.00%,5.32%,14.39%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,47.86%,52.14%,55.62%,44.38%,2.73 : 1,2.15 : 1,57.16%,51.08%,47.86%,52.14%,50.08%,52.56%,9.40%,1.60%,5.32%,5.38%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,51.98%,48.02%,57.12%,42.88%,2.99 : 1,2.14 : 1,57.01%,49.48%,51.98%,48.02%,50.08%,51.17%,9.40%,1.01%,5.32%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,48.67%,51.33%,56.59%,43.41%,2.81 : 1,2.45 : 1,60.38%,52.47%,48.67%,51.33%,50.08%,50.89%,9.40%,0.60%,5.32%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,56.00%,44.00%,55.17%,44.83%,3.15 : 1,2.24 : 1,53.74%,49.92%,56.00%,44.00%,50.08%,49.06%,9.40%,0.76%,5.32%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,48.40%,51.60%,49.04%,50.96%,2.90 : 1,3.32 : 1,55.68%,58.75%,48.40%,51.60%,50.08%,52.38%,9.40%,4.90%,5.32%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
