Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,46.05%,53.95%,2.73 : 1,2.41 : 1,61.79%,47.49%,"37,728","17,993",46.05%,53.95%,50.08%,49.82%,1.78%,1.98%,2.51%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,51.35%,48.65%,2.38 : 1,2.87 : 1,56.21%,51.13%,"30,152","16,784",51.35%,48.65%,50.08%,51.15%,1.78%,1.95%,2.51%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,44.97%,55.03%,2.36 : 1,2.54 : 1,59.39%,51.49%,"36,804","24,172",44.97%,55.03%,50.08%,52.54%,1.78%,3.97%,2.51%,4.28%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,40.99%,59.01%,2.40 : 1,2.65 : 1,59.93%,50.28%,"32,191","22,409",40.99%,59.01%,50.08%,51.17%,1.78%,5.34%,2.51%,6.01%
drmundo,47.30%,52.70%,2.42 : 1,2.80 : 1,56.27%,45.91%,"31,657","19,135",47.30%,52.70%,50.08%,49.09%,1.78%,1.62%,2.51%,15.10%
draven,,,,,,,,,,,,,,,,
ekko,45.33%,54.67%,2.42 : 1,2.93 : 1,58.31%,51.36%,"33,867","21,824",45.33%,54.67%,50.08%,51.56%,1.78%,6.36%,2.51%,4.77%
elise,49.60%,50.40%,2.47 : 1,2.72 : 1,58.53%,51.54%,"30,216","20,216",49.60%,50.40%,50.08%,50.83%,1.78%,3.31%,2.51%,5.59%
evelynn,43.90%,56.10%,2.40 : 1,2.92 : 1,58.22%,50.15%,"33,302","22,478",43.90%,56.10%,50.08%,51.06%,1.78%,2.68%,2.51%,3.74%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,57.50%,42.50%,2.78 : 1,2.54 : 1,58.94%,51.04%,"34,323","21,814",57.50%,42.50%,50.08%,52.25%,1.78%,3.05%,2.51%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,31.58%,68.42%,2.18 : 1,3.41 : 1,57.55%,49.19%,"30,566","20,344",31.58%,68.42%,50.08%,50.95%,1.78%,1.19%,2.51%,1.66%
graves,47.72%,52.28%,2.47 : 1,2.72 : 1,57.24%,51.12%,"31,306","22,969",47.72%,52.28%,50.08%,49.64%,1.78%,5.72%,2.51%,4.43%
gwen,43.40%,56.60%,2.46 : 1,2.64 : 1,60.37%,49.88%,"34,088","24,838",43.40%,56.60%,50.08%,50.83%,1.78%,1.25%,2.51%,8.42%
hecarim,56.28%,43.72%,2.44 : 1,2.83 : 1,59.51%,54.68%,"32,508","20,249",56.28%,43.72%,50.08%,49.79%,1.78%,4.29%,2.51%,4.64%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,48.42%,51.58%,2.21 : 1,4.25 : 1,56.35%,57.32%,"29,487","12,376",48.42%,51.58%,50.08%,51.99%,1.78%,1.45%,2.51%,0.83%
janna,,,,,,,,,,,,,,,,
