Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,52.29%,47.71%,46.56%,53.44%,2.36 : 1,2.65 : 1,44.14%,46.08%,"23,857","24,514","18'22""","15'55""",52.29%,47.71%,50.44%,49.46%,2.48%,7.96%,2.50%,2.83%
akali,48.06%,51.94%,46.09%,53.91%,2.33 : 1,2.27 : 1,46.17%,41.54%,"25,483","24,951","18'33""","16'40""",48.06%,51.94%,50.44%,50.92%,2.48%,6.65%,2.50%,10.14%
akshan,51.09%,48.91%,45.74%,54.26%,2.47 : 1,2.44 : 1,44.80%,47.77%,"21,964","28,089","18'17""","16'0""",51.09%,48.91%,50.44%,52.49%,2.48%,2.44%,2.50%,3.50%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,50.56%,49.44%,40.00%,60.00%,2.33 : 1,2.82 : 1,42.36%,43.63%,"23,750","21,972","18'56""","16'26""",50.56%,49.44%,50.44%,52.45%,2.48%,2.22%,2.50%,1.84%
annie,54.05%,45.95%,51.24%,48.76%,2.49 : 1,2.10 : 1,45.64%,44.90%,"23,454","24,786","17'20""","17'58""",54.05%,45.95%,50.44%,51.88%,2.48%,2.78%,2.50%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,58.70%,41.30%,61.58%,38.42%,2.98 : 1,2.35 : 1,45.16%,48.46%,"26,782","26,021","17'58""","18'9""",58.70%,41.30%,50.44%,51.05%,2.48%,2.10%,2.50%,0.64%
azir,52.11%,47.89%,56.50%,43.50%,3.09 : 1,1.82 : 1,46.35%,36.81%,"24,291","26,304","18'15""","16'40""",52.11%,47.89%,50.44%,47.24%,2.48%,2.76%,2.50%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,47.83%,52.17%,55.65%,44.35%,2.60 : 1,1.88 : 1,44.87%,38.86%,"23,211","23,389","15'41""","16'1""",47.83%,52.17%,50.44%,51.16%,2.48%,1.25%,2.50%,1.23%
chogath,31.25%,68.75%,45.88%,54.12%,1.60 : 1,3.32 : 1,37.39%,43.67%,"19,749","23,419","16'16""","14'58""",31.25%,68.75%,50.44%,50.66%,2.48%,0.65%,2.50%,0.89%
corki,52.43%,47.57%,52.22%,47.78%,2.51 : 1,2.19 : 1,44.42%,43.99%,"22,868","28,949","20'14""","13'44""",52.43%,47.57%,50.44%,45.47%,2.48%,0.93%,2.50%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,51.75%,48.25%,47.14%,52.86%,2.39 : 1,2.09 : 1,46.60%,45.79%,"22,735","26,428","18'36""","15'9""",51.75%,48.25%,50.44%,51.75%,2.48%,4.20%,2.50%,5.97%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,48.68%,51.32%,46.63%,53.37%,2.29 : 1,2.28 : 1,44.12%,43.09%,"23,949","22,721","18'24""","15'44""",48.68%,51.32%,50.44%,50.97%,2.48%,3.17%,2.50%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,48.91%,51.09%,45.32%,54.68%,2.10 : 1,2.17 : 1,44.72%,43.32%,"23,855","22,746","17'20""","16'2""",48.91%,51.09%,50.44%,50.29%,2.48%,2.69%,2.50%,3.03%
galio,47.60%,52.40%,48.72%,51.28%,2.51 : 1,2.88 : 1,45.49%,48.98%,"21,120","20,643","18'20""","17'39""",47.60%,52.40%,50.44%,51.23%,2.48%,4.51%,2.50%,3.30%
gangplank,41.03%,58.97%,48.94%,51.06%,2.05 : 1,2.65 : 1,44.81%,43.52%,"23,362","27,159","19'44""","14'54""",41.03%,58.97%,50.44%,51.97%,2.48%,0.57%,2.50%,4.52%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,62.86%,37.14%,46.30%,53.70%,2.34 : 1,2.33 : 1,41.76%,44.54%,"17,740","19,854","16'27""","14'39""",62.86%,37.14%,50.44%,50.99%,2.48%,0.74%,2.50%,1.57%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,51.52%,48.48%,52.01%,47.99%,2.64 : 1,2.35 : 1,44.15%,46.24%,"23,365","27,492","19'24""","16'18""",51.52%,48.48%,50.44%,50.40%,2.48%,5.58%,2.50%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,48.75%,51.25%,51.03%,48.97%,2.53 : 1,1.75 : 1,46.31%,42.20%,"22,905","26,050","17'13""","14'16""",48.75%,51.25%,50.44%,49.49%,2.48%,2.64%,2.50%,13.75%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,58.97%,41.03%,52.46%,47.54%,2.41 : 1,1.88 : 1,41.67%,46.81%,"20,347","27,877","16'28""","15'37""",58.97%,41.03%,50.44%,48.83%,2.48%,0.93%,2.50%,7.79%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
