Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,54.44%,45.56%,52.89%,47.11%,2.55 : 1,2.33 : 1,50.62%,46.04%,"26,138","22,111","17'46""","16'56""",54.44%,45.56%,51.65%,49.46%,5.89%,7.96%,6.83%,2.83%
akali,48.19%,51.81%,47.62%,52.38%,2.16 : 1,2.37 : 1,49.25%,45.03%,"24,697","24,646","17'35""","17'24""",48.19%,51.81%,51.65%,50.92%,5.89%,6.65%,6.83%,10.14%
akshan,50.70%,49.30%,49.44%,50.56%,2.41 : 1,2.45 : 1,50.18%,51.80%,"25,594","27,560","17'35""","16'43""",50.70%,49.30%,51.65%,52.49%,5.89%,2.44%,6.83%,3.50%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,47.06%,52.94%,46.32%,53.68%,2.20 : 1,2.57 : 1,49.16%,45.10%,"26,932","21,761","18'23""","16'21""",47.06%,52.94%,51.65%,52.45%,5.89%,2.22%,6.83%,1.84%
annie,51.07%,48.93%,53.89%,46.11%,2.31 : 1,2.09 : 1,49.63%,46.98%,"23,422","24,535","17'22""","17'36""",51.07%,48.93%,51.65%,51.88%,5.89%,2.78%,6.83%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,54.77%,45.23%,57.94%,42.06%,2.93 : 1,2.38 : 1,51.69%,49.40%,"26,442","21,964","16'52""","18'10""",54.77%,45.23%,51.65%,51.05%,5.89%,2.10%,6.83%,0.64%
azir,52.92%,47.08%,59.08%,40.92%,2.86 : 1,1.93 : 1,51.81%,41.05%,"25,383","24,864","18'2""","16'36""",52.92%,47.08%,51.65%,47.24%,5.89%,2.76%,6.83%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
