Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.67%,49.33%,41.20%,58.80%,1.61 : 1,1.91 : 1,36.23%,35.62%,"21,532","22,097","18'19""","15'58""",50.67%,49.33%,52.37%,49.96%,3.67%,10.05%,4.67%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,44.96%,55.04%,33.41%,66.59%,1.39 : 1,2.32 : 1,33.90%,39.07%,"18,580","25,897","19'16""","16'40""",44.96%,55.04%,52.37%,49.80%,3.67%,1.62%,4.67%,9.78%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,47.48%,52.52%,43.10%,56.90%,1.60 : 1,1.99 : 1,37.85%,38.56%,"21,518","21,875","17'38""","16'19""",47.48%,52.52%,52.37%,51.15%,3.67%,3.68%,4.67%,1.44%
cassiopeia,41.38%,58.62%,38.64%,61.36%,1.54 : 1,2.14 : 1,35.46%,38.19%,"18,089","24,552","18'56""","15'38""",41.38%,58.62%,52.37%,51.32%,3.67%,0.58%,4.67%,1.11%
chogath,50.63%,49.37%,46.60%,53.40%,1.78 : 1,2.09 : 1,38.80%,37.42%,"25,910","20,219","17'31""","15'57""",50.63%,49.37%,52.37%,51.78%,3.67%,3.22%,4.67%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,52.00%,48.00%,40.85%,59.15%,1.63 : 1,1.92 : 1,36.95%,35.63%,"21,572","18,701","18'4""","15'50""",52.00%,48.00%,52.37%,50.09%,3.67%,5.74%,4.67%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,48.72%,51.28%,48.83%,51.17%,1.89 : 1,1.87 : 1,36.93%,32.78%,"34,298","23,915","18'2""","15'21""",48.72%,51.28%,52.37%,50.47%,3.67%,7.37%,4.67%,15.58%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,49.45%,50.55%,48.03%,51.97%,1.78 : 1,1.56 : 1,37.12%,32.93%,"23,245","21,210","17'37""","16'5""",49.45%,50.55%,52.37%,51.38%,3.67%,4.66%,4.67%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,58.97%,41.03%,51.67%,48.33%,1.83 : 1,2.33 : 1,36.64%,44.29%,"19,603","18,105","18'16""","16'49""",58.97%,41.03%,52.37%,48.98%,3.67%,0.54%,4.67%,2.77%
gangplank,52.71%,47.29%,45.10%,54.90%,1.79 : 1,2.34 : 1,37.33%,41.34%,"23,200","25,309","18'23""","16'12""",52.71%,47.29%,52.37%,50.81%,3.67%,4.85%,4.67%,4.90%
garen,55.85%,44.15%,49.82%,50.18%,1.94 : 1,1.79 : 1,37.65%,31.91%,"25,489","17,424","17'17""","16'32""",55.85%,44.15%,52.37%,50.49%,3.67%,3.85%,4.67%,2.29%
gnar,56.70%,43.30%,45.01%,54.99%,1.85 : 1,2.07 : 1,37.47%,38.15%,"21,687","23,255","18'36""","15'20""",56.70%,43.30%,52.37%,49.44%,3.67%,3.22%,4.67%,0.95%
gragas,48.21%,51.79%,34.91%,65.09%,1.42 : 1,2.55 : 1,34.98%,39.86%,"22,086","23,640","19'26""","15'16""",48.21%,51.79%,52.37%,50.75%,3.67%,3.45%,4.67%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,60.17%,39.83%,41.62%,58.38%,1.80 : 1,1.70 : 1,37.40%,36.83%,"22,120","24,226","17'57""","15'22""",60.17%,39.83%,52.37%,49.88%,3.67%,3.46%,4.67%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,62.89%,37.11%,48.37%,51.63%,2.30 : 1,1.54 : 1,37.64%,33.20%,"20,498","27,988","18'36""","14'19""",62.89%,37.11%,52.37%,52.81%,3.67%,0.99%,4.67%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,58.17%,41.83%,55.97%,44.03%,2.25 : 1,1.23 : 1,38.52%,27.49%,"27,274","22,196","17'45""","15'12""",58.17%,41.83%,52.37%,49.41%,3.67%,1.69%,4.67%,2.88%
