Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,51.70%,48.30%,2.36 : 1,2.54 : 1,50.86%,49.54%,"21,884","17,825",51.70%,48.30%,50.44%,49.82%,7.02%,1.98%,7.74%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,47.51%,52.49%,2.24 : 1,2.85 : 1,47.99%,51.58%,"19,438","17,253",47.51%,52.49%,50.44%,51.15%,7.02%,1.95%,7.74%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,48.17%,51.83%,2.42 : 1,2.44 : 1,51.63%,52.44%,"22,795","23,641",48.17%,51.83%,50.44%,52.54%,7.02%,3.97%,7.74%,4.28%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,49.64%,50.36%,2.60 : 1,2.45 : 1,51.37%,51.30%,"21,462","22,381",49.64%,50.36%,50.44%,51.17%,7.02%,5.34%,7.74%,6.01%
drmundo,54.01%,45.99%,2.71 : 1,2.55 : 1,51.09%,45.58%,"26,771","20,700",54.01%,45.99%,50.44%,49.09%,7.02%,1.62%,7.74%,15.10%
draven,,,,,,,,,,,,,,,,
ekko,51.37%,48.63%,2.40 : 1,2.76 : 1,50.06%,51.18%,"22,380","22,092",51.37%,48.63%,50.44%,51.56%,7.02%,6.36%,7.74%,4.77%
elise,49.04%,50.96%,2.34 : 1,2.68 : 1,51.27%,51.81%,"21,610","21,801",49.04%,50.96%,50.44%,50.83%,7.02%,3.31%,7.74%,5.59%
evelynn,48.58%,51.42%,2.34 : 1,2.99 : 1,49.59%,51.41%,"22,003","24,174",48.58%,51.42%,50.44%,51.06%,7.02%,2.68%,7.74%,3.74%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,44.13%,55.87%,2.25 : 1,2.87 : 1,49.88%,50.60%,"21,725","22,027",44.13%,55.87%,50.44%,52.25%,7.02%,3.05%,7.74%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,46.03%,53.97%,2.22 : 1,2.91 : 1,49.97%,50.08%,"20,901","21,852",46.03%,53.97%,50.44%,50.95%,7.02%,1.19%,7.74%,1.66%
graves,51.10%,48.90%,2.40 : 1,2.57 : 1,49.96%,50.69%,"21,382","23,466",51.10%,48.90%,50.44%,49.64%,7.02%,5.72%,7.74%,4.43%
gwen,49.73%,50.27%,2.85 : 1,2.25 : 1,51.23%,47.79%,"22,940","23,150",49.73%,50.27%,50.44%,50.83%,7.02%,1.25%,7.74%,8.42%
hecarim,49.64%,50.36%,2.35 : 1,2.87 : 1,50.47%,53.75%,"21,419","20,756",49.64%,50.36%,50.44%,49.79%,7.02%,4.29%,7.74%,4.64%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,47.45%,52.55%,2.17 : 1,3.99 : 1,49.87%,59.30%,"19,215","11,797",47.45%,52.55%,50.44%,51.99%,7.02%,1.45%,7.74%,0.83%
janna,,,,,,,,,,,,,,,,
