Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.94%,49.06%,52.16%,47.84%,1.93 : 1,1.65 : 1,38.87%,34.39%,"25,106","19,701","17'35""","17'15""",50.94%,49.06%,52.57%,49.96%,2.32%,10.05%,2.01%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,52.56%,47.44%,41.00%,59.00%,1.92 : 1,2.13 : 1,39.47%,39.84%,"26,264","22,892","18'34""","18'0""",52.56%,47.44%,52.57%,49.80%,2.32%,1.62%,2.01%,9.78%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,53.80%,46.20%,47.40%,52.60%,1.82 : 1,1.86 : 1,38.00%,38.62%,"25,143","20,871","17'16""","17'38""",53.80%,46.20%,52.57%,51.15%,2.32%,3.68%,2.01%,1.44%
cassiopeia,62.00%,38.00%,57.95%,42.05%,2.14 : 1,1.34 : 1,40.85%,33.56%,"25,783","22,090","17'28""","17'39""",62.00%,38.00%,52.57%,51.32%,2.32%,0.58%,2.01%,1.11%
chogath,44.59%,55.41%,52.08%,47.92%,1.87 : 1,2.00 : 1,38.23%,36.85%,"28,145","21,382","17'30""","16'39""",44.59%,55.41%,52.57%,51.78%,2.32%,3.22%,2.01%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,56.36%,43.64%,47.86%,52.14%,2.00 : 1,1.67 : 1,39.29%,35.64%,"25,529","17,189","17'18""","17'6""",56.36%,43.64%,52.57%,50.09%,2.32%,5.74%,2.01%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,47.50%,52.50%,50.41%,49.59%,1.97 : 1,1.80 : 1,36.71%,33.23%,"30,696","23,383","18'3""","15'16""",47.50%,52.50%,52.57%,50.47%,2.32%,7.37%,2.01%,15.58%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,55.67%,44.33%,51.59%,48.41%,1.84 : 1,1.40 : 1,37.19%,34.56%,"25,612","20,305","16'51""","16'4""",55.67%,44.33%,52.57%,51.38%,2.32%,4.66%,2.01%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,54.43%,45.57%,54.87%,45.13%,2.21 : 1,1.96 : 1,41.98%,41.60%,"22,929","17,855","16'53""","18'3""",54.43%,45.57%,52.57%,48.98%,2.32%,0.54%,2.01%,2.77%
gangplank,51.10%,48.90%,50.33%,49.67%,1.85 : 1,2.30 : 1,37.37%,44.20%,"25,087","25,599","18'7""","16'30""",51.10%,48.90%,52.57%,50.81%,2.32%,4.85%,2.01%,4.90%
garen,52.04%,47.96%,52.35%,47.65%,2.08 : 1,1.83 : 1,37.08%,32.87%,"26,211","17,016","17'2""","16'48""",52.04%,47.96%,52.57%,50.49%,2.32%,3.85%,2.01%,2.29%
gnar,54.29%,45.71%,50.96%,49.04%,1.83 : 1,1.70 : 1,36.67%,34.77%,"22,560","18,869","17'25""","16'26""",54.29%,45.71%,52.57%,49.44%,2.32%,3.22%,2.01%,0.95%
gragas,47.29%,52.71%,47.53%,52.47%,1.85 : 1,2.00 : 1,38.88%,37.02%,"27,023","20,255","18'12""","16'39""",47.29%,52.71%,52.57%,50.75%,2.32%,3.45%,2.01%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,59.77%,40.23%,50.66%,49.34%,2.15 : 1,1.47 : 1,37.98%,33.59%,"25,367","20,882","16'29""","16'42""",59.77%,40.23%,52.57%,49.88%,2.32%,3.46%,2.01%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,63.38%,36.62%,57.07%,42.93%,2.48 : 1,1.45 : 1,38.98%,33.15%,"22,733","25,473","17'22""","15'59""",63.38%,36.62%,52.57%,52.81%,2.32%,0.99%,2.01%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,59.62%,40.38%,59.15%,40.85%,2.17 : 1,1.13 : 1,38.27%,29.24%,"25,865","20,325","18'0""","15'51""",59.62%,40.38%,52.57%,49.41%,2.32%,1.69%,2.01%,2.88%
irelia,49.32%,50.68%,48.03%,51.97%,1.85 : 1,1.51 : 1,38.89%,36.74%,"23,341","21,270","17'59""","15'16""",49.32%,50.68%,52.57%,51.32%,2.32%,4.45%,2.01%,13.88%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,50.46%,49.54%,52.77%,47.23%,2.03 : 1,1.51 : 1,38.97%,32.76%,"26,018","16,709","16'37""","16'42""",50.46%,49.54%,52.57%,50.47%,2.32%,6.90%,2.01%,8.88%
jayce,52.19%,47.81%,53.51%,46.49%,1.94 : 1,1.78 : 1,40.04%,39.77%,"22,942","24,808","17'47""","15'38""",52.19%,47.81%,52.57%,48.96%,2.32%,5.01%,2.01%,8.00%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,47.50%,52.50%,61.81%,38.19%,2.12 : 1,1.56 : 1,38.19%,35.73%,"25,898","19,457","16'29""","17'58""",47.50%,52.50%,52.57%,52.37%,2.32%,3.67%,2.01%,4.67%
kayn,,,,,,,,,,,,,,,,,,,,
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,44.62%,55.38%,48.40%,51.60%,2.12 : 1,2.16 : 1,41.54%,41.88%,"28,253","22,757","17'53""","16'23""",44.62%,55.38%,52.57%,52.08%,2.32%,1.49%,2.01%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,53.81%,46.19%,44.28%,55.72%,1.97 : 1,2.02 : 1,39.00%,34.90%,"26,198","16,876","18'55""","17'20""",53.81%,46.19%,52.57%,48.52%,2.32%,4.36%,2.01%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,48.11%,51.89%,37.07%,62.93%,1.58 : 1,2.55 : 1,36.64%,41.03%,"22,446","20,224","18'16""","16'44""",48.11%,51.89%,52.57%,52.33%,2.32%,4.64%,2.01%,8.58%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,50.70%,49.30%,42.46%,57.54%,1.69 : 1,1.98 : 1,35.87%,37.67%,"24,873","21,719","18'38""","17'13""",50.70%,49.30%,52.57%,51.91%,2.32%,5.23%,2.01%,5.97%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,47.16%,52.84%,50.36%,49.64%,1.96 : 1,1.80 : 1,37.27%,33.95%,"27,358","19,122","18'6""","16'30""",47.16%,52.84%,52.57%,51.39%,2.32%,2.96%,2.01%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,51.76%,48.24%,49.12%,50.88%,2.10 : 1,1.76 : 1,41.54%,38.99%,"25,951","22,503","17'57""","16'20""",51.76%,48.24%,52.57%,52.52%,2.32%,1.69%,2.01%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,41.87%,58.13%,42.05%,57.95%,1.77 : 1,2.71 : 1,37.08%,40.28%,"24,499","16,691","18'7""","16'29""",41.87%,58.13%,52.57%,51.19%,2.32%,3.76%,2.01%,0.43%
pantheon,58.75%,41.25%,51.82%,48.18%,2.12 : 1,1.84 : 1,41.97%,42.56%,"24,039","22,000","17'22""","17'41""",58.75%,41.25%,52.57%,51.48%,2.32%,2.16%,2.01%,10.61%
poppy,50.00%,50.00%,56.38%,43.62%,2.09 : 1,1.97 : 1,41.84%,38.70%,"26,989","18,260","17'6""","18'11""",50.00%,50.00%,52.57%,51.63%,2.32%,1.38%,2.01%,6.58%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,55.07%,44.93%,57.97%,42.03%,2.22 : 1,1.79 : 1,42.85%,43.01%,"26,935","24,732","15'56""","19'24""",55.07%,44.93%,52.57%,53.61%,2.32%,1.87%,2.01%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,55.86%,44.14%,50.08%,49.92%,1.95 : 1,1.75 : 1,38.02%,35.54%,"26,769","17,465","17'33""","16'51""",55.86%,44.14%,52.57%,50.36%,2.32%,6.82%,2.01%,5.72%
rengar,,,,,,,,,,,,,,,,,,,,
riven,51.06%,48.94%,53.13%,46.87%,1.95 : 1,1.67 : 1,37.76%,34.01%,"22,956","16,827","16'56""","17'50""",51.06%,48.94%,52.57%,52.38%,2.32%,4.77%,2.01%,3.77%
rumble,64.76%,35.24%,50.00%,50.00%,2.22 : 1,1.84 : 1,39.67%,40.94%,"24,533","23,226","18'8""","17'0""",64.76%,35.24%,52.57%,48.18%,2.32%,1.58%,2.01%,0.58%
ryze,51.75%,48.25%,55.46%,44.54%,2.25 : 1,1.81 : 1,40.45%,37.14%,"23,954","23,100","17'59""","16'10""",51.75%,48.25%,52.57%,50.56%,2.32%,1.11%,2.01%,0.64%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,48.73%,51.27%,53.63%,46.37%,1.99 : 1,1.62 : 1,39.62%,34.01%,"30,391","20,631","17'43""","16'54""",48.73%,51.27%,52.57%,52.67%,2.32%,7.21%,2.01%,4.79%
shaco,,,,,,,,,,,,,,,,,,,,
shen,50.85%,49.15%,46.02%,53.98%,1.89 : 1,2.67 : 1,38.84%,44.10%,"25,928","14,669","16'1""","19'28""",50.85%,49.15%,52.57%,51.66%,2.32%,5.08%,2.01%,3.71%
shyvana,,,,,,,,,,,,,,,,,,,,
singed,49.38%,50.62%,64.36%,35.64%,2.38 : 1,1.87 : 1,40.01%,40.69%,"25,559","16,594","16'24""","17'49""",49.38%,50.62%,52.57%,51.75%,2.32%,1.72%,2.01%,0.41%
sion,47.27%,52.73%,54.88%,45.12%,2.04 : 1,1.95 : 1,39.04%,38.51%,"28,050","19,861","18'55""","16'2""",47.27%,52.73%,52.57%,50.28%,2.32%,4.58%,2.01%,0.95%
