Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,53.29%,46.71%,2.79 : 1,2.26 : 1,50.69%,48.46%,"21,767","16,593",53.29%,46.71%,51.17%,49.82%,7.33%,1.98%,5.62%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,49.28%,50.72%,2.67 : 1,2.62 : 1,50.96%,50.57%,"19,905","15,676",49.28%,50.72%,51.17%,51.15%,7.33%,1.95%,5.62%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,46.15%,53.85%,2.49 : 1,2.46 : 1,51.05%,52.21%,"23,226","23,218",46.15%,53.85%,51.17%,52.54%,7.33%,3.97%,5.62%,4.28%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,49.69%,50.31%,2.88 : 1,2.23 : 1,51.75%,49.95%,"22,519","21,537",49.69%,50.31%,51.17%,51.17%,7.33%,5.34%,5.62%,6.01%
drmundo,50.37%,49.63%,2.94 : 1,2.52 : 1,51.07%,45.00%,"26,101","20,974",50.37%,49.63%,51.17%,49.09%,7.33%,1.62%,5.62%,15.10%
draven,,,,,,,,,,,,,,,,
ekko,52.68%,47.32%,2.78 : 1,2.62 : 1,50.87%,51.21%,"22,983","20,410",52.68%,47.32%,51.17%,51.56%,7.33%,6.36%,5.62%,4.77%
elise,49.31%,50.69%,2.59 : 1,2.61 : 1,49.90%,52.03%,"20,372","20,117",49.31%,50.69%,51.17%,50.83%,7.33%,3.31%,5.62%,5.59%
evelynn,50.09%,49.91%,2.75 : 1,2.62 : 1,50.44%,50.60%,"22,342","22,380",50.09%,49.91%,51.17%,51.06%,7.33%,2.68%,5.62%,3.74%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,49.91%,50.09%,2.63 : 1,2.81 : 1,50.18%,51.42%,"21,049","20,789",49.91%,50.09%,51.17%,52.25%,7.33%,3.05%,5.62%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,53.00%,47.00%,2.69 : 1,2.51 : 1,50.65%,49.06%,"21,913","19,769",53.00%,47.00%,51.17%,50.95%,7.33%,1.19%,5.62%,1.66%
graves,51.58%,48.42%,2.66 : 1,2.36 : 1,49.23%,50.45%,"21,900","22,733",51.58%,48.42%,51.17%,49.64%,7.33%,5.72%,5.62%,4.43%
gwen,55.05%,44.95%,2.90 : 1,2.26 : 1,49.51%,48.36%,"21,728","22,031",55.05%,44.95%,51.17%,50.83%,7.33%,1.25%,5.62%,8.42%
hecarim,50.18%,49.82%,2.51 : 1,2.88 : 1,50.33%,53.41%,"21,417","20,156",50.18%,49.82%,51.17%,49.79%,7.33%,4.29%,5.62%,4.64%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,49.11%,50.89%,2.51 : 1,3.81 : 1,50.51%,58.66%,"20,204","11,005",49.11%,50.89%,51.17%,51.99%,7.33%,1.45%,5.62%,0.83%
janna,,,,,,,,,,,,,,,,
